battle_id,pokemon_a_level,pokemon_a_type,pokemon_a_attack,pokemon_b_level,pokemon_b_type,pokemon_b_hp,opp1_level,opp2_level,used_spread_move,move_name,damage_to_opp1,damage_to_opp2,spillover_damage,pokemon_b_hp_remaining,pokemon_b_fainted,partner_vulnerable,battle_won,coordination,win_prob
33,41,Electric,73,50,Grass,184,64,42,1,Discharge,70.9,62.6,45.2,139,0,0.6,0,42.6,0.4864
34,36,Normal,71,49,Psychic,183,37,52,1,Bulldoze,54.5,49.3,25.6,157,0,0.6,1,36.5,0.532
35,44,Ground,70,57,Fire,193,43,46,1,Earthquake,39.4,45.1,76.8,116,0,1.5,1,46.8,0.46
36,48,Fire,86,52,Psychic,186,46,54,1,Bulldoze,59.6,75.3,33.2,153,0,0.6,0,45.2,0.5848
37,59,Fire,91,46,Flying,163,56,44,0,Thunderbolt,111.4,0.0,0.0,163,0,0.6,1,56.4,0.6586
38,38,Ground,83,36,Fire,130,28,40,1,Earthquake,65.6,80.5,88.9,41,0,1.5,0,29.8,0.4505
39,46,Water,105,45,Grass,169,37,44,1,Surf,87.7,90.1,47.2,122,0,0.6,0,68.3,0.6276
40,48,Fire,87,58,Flying,201,58,50,0,Psychic,63.2,0.0,0.0,201,0,0.6,0,89.9,0.5783
41,39,Fire,88,49,Fire,181,50,39,0,Body Slam,96.2,0.0,0.0,181,0,0.6,1,45.3,0.6001
42,44,Ground,68,54,Grass,209,43,57,1,Earthquake,67.5,53.7,80.6,128,0,1.5,0,9.8,0.4403
43,43,Water,77,36,Grass,158,52,55,0,Flamethrower,62.7,0.0,0.0,158,0,0.6,0,41.0,0.4473
44,35,Fire,75,35,Fire,145,41,56,0,Flamethrower,81.0,0.0,0.0,145,0,0.6,0,54.0,0.4626
45,36,Water,72,30,Fire,150,23,43,1,Surf,59.2,62.5,76.0,74,0,1.5,0,20.1,0.4203
46,33,Normal,69,65,Grass,198,53,44,1,Bulldoze,64.9,65.3,27.3,171,0,0.6,1,54.8,0.5946
47,33,Fire,61,29,Fire,135,25,30,1,Bulldoze,39.3,66.2,17.8,117,0,0.6,0,33.5,0.5657
48,47,Normal,91,53,Flying,196,46,49,1,Bulldoze,65.2,57.5,33.0,163,0,0.6,1,54.9,0.5887
49,66,Ground,98,42,Psychic,172,47,44,1,Earthquake,83.6,68.1,93.7,78,0,1.5,0,61.1,0.5291
50,37,Water,98,51,Water,170,46,33,1,Surf,66.5,60.2,42.6,127,0,0.6,0,60.7,0.5702
51,51,Normal,90,65,Fire,229,45,26,0,Psychic,77.1,0.0,0.0,229,0,0.6,1,79.5,0.7578
52,27,Water,72,48,Fire,196,64,31,1,Surf,57.1,46.1,83.8,112,0,1.5,0,39.9,0.3215
53,50,Electric,92,59,Flying,225,35,42,0,Flamethrower,76.3,0.0,0.0,225,0,0.6,1,55.0,0.7123
54,43,Fire,89,43,Psychic,164,52,43,0,Flamethrower,107.8,0.0,0.0,164,0,0.6,1,52.5,0.5827
55,50,Electric,99,29,Fire,133,34,59,0,Body Slam,107.5,0.0,0.0,133,0,0.6,0,42.8,0.5554
56,29,Water,58,50,Fire,175,50,31,0,Body Slam,64.8,0.0,0.0,175,0,1.5,0,41.7,0.5471
57,54,Fire,94,50,Flying,167,53,40,0,Thunderbolt,90.4,0.0,0.0,167,0,0.6,1,50.0,0.6541
58,31,Ground,81,13,Flying,105,52,38,0,Psychic,79.6,0.0,0.0,105,0,0.0,1,61.9,0.3608
59,63,Fire,100,39,Fire,170,46,47,1,Bulldoze,90.7,67.1,41.5,128,0,0.6,0,72.8,0.6269
60,43,Normal,76,31,Water,120,43,47,1,Bulldoze,64.4,48.7,29.8,90,0,0.6,1,70.3,0.4744
61,37,Normal,82,37,Water,172,45,38,0,Ice Beam,73.7,0.0,0.0,172,0,0.6,1,34.8,0.5259
62,42,Fire,95,40,Grass,164,38,38,0,Flamethrower,78.3,0.0,0.0,164,0,0.6,1,50.3,0.5966
63,54,Ground,99,45,Flying,154,28,62,0,Ice Beam,90.7,0.0,0.0,154,0,0.0,1,37.6,0.6419
64,41,Normal,71,49,Flying,179,58,42,0,Psychic,53.4,0.0,0.0,179,0,0.6,1,46.8,0.5167
65,52,Water,103,37,Grass,132,42,48,1,Surf,64.2,97.4,41.3,91,0,0.6,0,67.8,0.5805
66,65,Water,110,17,Psychic,142,49,47,1,Surf,57.5,86.5,53.6,88,0,0.6,0,79.4,0.471
67,16,Fire,80,75,Fire,207,46,62,0,Ice Beam,54.0,0.0,0.0,207,0,0.6,1,30.1,0.4925
68,29,Water,72,52,Psychic,179,43,34,0,Thunderbolt,62.3,0.0,0.0,179,0,0.6,1,54.9,0.5687
69,45,Water,101,34,Flying,120,45,39,0,Psychic,99.9,0.0,0.0,120,0,0.6,1,42.3,0.5792
70,65,Ground,110,46,Flying,168,51,51,0,Ice Beam,101.5,0.0,0.0,168,0,0.0,1,62.0,0.6676
71,47,Electric,84,59,Flying,210,48,57,1,Discharge,52.2,54.2,46.3,164,0,0.6,0,55.9,0.5285
72,39,Normal,66,37,Fire,168,53,49,0,Body Slam,44.1,0.0,0.0,168,0,0.6,1,51.6,0.4281
73,38,Electric,78,48,Fire,174,52,61,0,Psychic,62.2,0.0,0.0,174,0,0.6,0,72.9,0.4591
74,50,Fire,86,51,Fire,181,37,42,0,Flamethrower,104.3,0.0,0.0,181,0,0.6,1,56.4,0.7019
75,51,Fire,103,42,Grass,161,28,47,0,Ice Beam,87.1,0.0,0.0,161,0,0.6,1,34.4,0.6616
76,59,Electric,95,63,Flying,213,28,32,0,Flamethrower,92.4,0.0,0.0,213,0,0.6,1,33.8,0.8179
77,52,Normal,81,64,Psychic,214,58,43,0,Flamethrower,97.9,0.0,0.0,214,0,0.6,1,54.5,0.6888
78,51,Water,79,34,Fire,138,61,39,0,Flamethrower,64.3,0.0,0.0,138,0,1.5,1,38.8,0.5054
79,34,Fire,62,35,Water,128,47,58,1,Bulldoze,40.5,47.1,18.9,109,0,0.6,1,42.3,0.3903
80,39,Ground,71,62,Water,215,44,46,1,Earthquake,61.8,47.7,68.4,147,0,1.5,0,33.8,0.5084
81,58,Water,106,37,Water,180,39,48,0,Thunderbolt,86.0,0.0,0.0,180,0,0.6,1,64.6,0.6283
82,67,Ground,106,42,Flying,179,41,23,0,Psychic,108.0,0.0,0.0,179,0,0.0,1,57.8,0.779
83,49,Electric,108,51,Fire,192,50,50,1,Discharge,93.0,81.8,53.2,139,0,0.6,0,87.1,0.5847
84,47,Electric,91,42,Flying,173,28,41,1,Discharge,95.7,45.0,39.1,134,0,0.6,1,42.1,0.6359
85,45,Water,78,45,Water,153,37,47,1,Surf,30.5,33.9,44.9,108,0,0.6,1,55.6,0.4783
86,37,Normal,81,51,Fire,173,41,49,0,Thunderbolt,78.3,0.0,0.0,173,0,0.6,0,56.3,0.5748
87,46,Fire,87,38,Grass,148,58,32,0,Thunderbolt,95.7,0.0,0.0,148,0,0.6,0,61.3,0.5765
88,53,Ground,81,63,Fire,214,55,52,1,Earthquake,41.0,50.0,88.6,125,0,1.5,1,58.3,0.4462
89,34,Normal,87,75,Flying,238,41,49,1,Bulldoze,71.1,81.4,27.0,211,0,0.6,1,67.4,0.6948
90,30,Ground,90,47,Flying,189,42,52,0,Body Slam,87.5,0.0,0.0,189,0,0.0,1,34.3,0.5169
91,53,Normal,93,28,Psychic,131,33,40,0,Psychic,116.4,0.0,0.0,131,0,0.6,1,46.9,0.6473
92,46,Electric,83,43,Grass,150,67,44,1,Discharge,65.7,80.7,42.6,107,0,0.6,0,54.1,0.4803
93,31,Normal,75,46,Water,177,51,37,0,Ice Beam,63.2,0.0,0.0,177,0,0.6,1,56.0,0.509
94,48,Ground,96,53,Water,188,49,56,0,Ice Beam,105.6,0.0,0.0,188,0,1.5,1,27.2,0.6161
95,36,Ground,90,43,Water,153,51,46,1,Earthquake,57.9,68.7,97.6,55,0,1.5,0,49.0,0.3278
96,35,Water,71,42,Flying,160,56,50,0,Thunderbolt,75.2,0.0,0.0,160,0,0.6,0,34.1,0.4566
97,37,Normal,97,29,Water,135,44,47,1,Bulldoze,76.4,80.7,43.2,92,0,0.6,0,56.4,0.4523
98,40,Normal,87,34,Grass,146,42,35,0,Body Slam,77.3,0.0,0.0,146,0,0.6,1,45.3,0.5527
99,39,Ground,78,45,Fire,152,37,38,1,Earthquake,47.7,54.9,82.0,70,0,1.5,0,75.9,0.4373
100,33,Ground,73,41,Fire,194,42,61,0,Flamethrower,64.8,0.0,0.0,194,0,1.5,0,45.5,0.44
101,43,Water,91,52,Flying,187,60,49,0,Psychic,83.5,0.0,0.0,187,0,0.6,1,72.4,0.5455
102,44,Electric,76,40,Grass,160,46,27,1,Discharge,60.4,55.2,30.2,130,0,0.6,0,34.0,0.5893
103,51,Fire,89,58,Flying,212,58,45,1,Bulldoze,78.6,60.7,37.4,175,0,0.6,1,66.5,0.6124
104,46,Water,83,27,Grass,156,47,53,1,Surf,79.1,44.4,36.4,120,0,0.6,0,37.7,0.4289
105,36,Electric,67,32,Grass,133,48,53,0,Psychic,76.9,0.0,0.0,133,0,0.6,0,47.6,0.4328
106,44,Electric,96,50,Grass,183,41,23,1,Discharge,82.1,56.7,46.7,136,0,0.6,1,66.7,0.6563
107,40,Fire,80,43,Fire,161,29,38,0,Thunderbolt,100.5,0.0,0.0,161,0,0.6,1,38.0,0.6587
108,34,Electric,91,49,Grass,171,24,49,0,Flamethrower,82.1,0.0,0.0,171,0,0.6,1,61.9,0.6167
109,48,Water,91,59,Psychic,196,33,44,0,Ice Beam,74.4,0.0,0.0,196,0,0.6,1,55.4,0.702
110,39,Normal,74,65,Psychic,214,42,40,1,Bulldoze,57.7,51.3,31.3,183,0,0.6,1,34.2,0.6415
111,66,Electric,89,50,Fire,190,57,49,1,Discharge,78.8,74.5,32.4,158,0,0.6,1,29.1,0.6621
112,47,Ground,80,40,Fire,162,18,42,1,Earthquake,70.8,79.6,88.7,73,0,1.5,1,64.1,0.5511
113,47,Normal,103,30,Fire,140,56,43,0,Body Slam,122.6,0.0,0.0,140,0,0.6,1,47.6,0.5419
114,50,Fire,91,56,Flying,207,47,72,0,Ice Beam,69.9,0.0,0.0,207,0,0.6,1,46.9,0.546
115,23,Ground,52,45,Flying,161,35,44,0,Flamethrower,45.4,0.0,0.0,161,0,0.0,0,49.5,0.4755
116,54,Normal,99,40,Psychic,169,33,52,0,Body Slam,90.6,0.0,0.0,169,0,0.6,1,28.6,0.636
117,43,Normal,56,40,Flying,154,52,55,0,Body Slam,60.3,0.0,0.0,154,0,0.6,0,70.0,0.4642
118,61,Fire,105,48,Fire,158,54,37,1,Bulldoze,66.7,64.4,51.0,107,0,0.6,1,40.4,0.6131
119,53,Normal,61,35,Grass,149,40,51,0,Psychic,36.3,0.0,0.0,149,0,0.6,0,50.2,0.5191
120,37,Fire,97,53,Grass,211,35,48,1,Bulldoze,72.3,67.8,43.3,168,0,0.6,0,33.7,0.5799
121,42,Fire,76,34,Grass,180,41,35,1,Bulldoze,51.3,61.2,57.3,123,0,0.6,0,61.7,0.4674
122,40,Normal,92,55,Grass,220,65,46,1,Bulldoze,81.9,60.4,40.4,180,0,0.6,0,65.4,0.5106
123,59,Water,112,39,Flying,144,55,51,1,Surf,85.2,69.0,41.4,103,0,0.6,0,45.7,0.5565
124,53,Normal,90,33,Water,114,37,53,1,Bulldoze,68.8,89.4,32.5,82,0,0.6,0,66.7,0.5832
125,45,Normal,81,39,Flying,191,32,36,1,Bulldoze,83.4,58.2,40.0,151,0,0.6,0,73.4,0.6149
126,42,Fire,85,44,Water,198,20,38,0,Body Slam,83.1,0.0,0.0,198,0,0.6,1,59.6,0.6825
127,41,Electric,97,56,Fire,241,37,59,1,Discharge,68.9,86.1,32.3,209,0,0.6,0,37.0,0.6111
128,50,Electric,99,20,Fire,130,61,44,0,Psychic,89.2,0.0,0.0,130,0,0.6,0,41.1,0.443
129,52,Water,88,58,Psychic,159,46,46,1,Surf,70.2,35.5,41.0,118,0,0.6,1,30.4,0.6079
130,52,Electric,93,21,Psychic,152,36,30,1,Discharge,59.6,68.3,37.9,114,0,0.6,1,42.0,0.5574
131,42,Electric,101,37,Grass,134,35,48,1,Discharge,71.9,75.5,41.7,92,0,0.6,1,54.7,0.5387
132,50,Water,98,47,Water,159,41,49,0,Flamethrower,103.2,0.0,0.0,159,0,0.6,0,49.1,0.647
133,58,Water,101,19,Psychic,140,33,33,1,Surf,83.8,81.1,51.1,89,0,0.6,0,31.1,0.5899
134,35,Fire,86,46,Grass,168,42,52,1,Bulldoze,58.7,74.9,42.9,125,0,0.6,0,29.6,0.4873
135,50,Electric,103,46,Grass,191,51,45,1,Discharge,68.8,51.4,49.6,141,0,0.6,0,54.5,0.5212
136,52,Normal,79,26,Psychic,114,44,59,0,Ice Beam,61.3,0.0,0.0,114,0,0.6,1,44.9,0.4555
137,33,Electric,77,70,Water,232,63,35,0,Flamethrower,68.9,0.0,0.0,232,0,2.0,0,50.0,0.6069
138,59,Electric,93,53,Flying,182,55,48,0,Ice Beam,101.4,0.0,0.0,182,0,0.6,1,36.1,0.6686
139,54,Ground,95,44,Fire,172,48,38,0,Ice Beam,71.2,0.0,0.0,172,0,1.5,1,52.8,0.6285
140,53,Normal,105,38,Water,170,47,36,1,Bulldoze,57.9,104.9,49.8,120,0,0.6,1,40.9,0.5965
141,33,Water,76,43,Water,191,55,36,1,Surf,51.0,39.3,23.7,167,0,0.6,1,58.5,0.4674
142,32,Normal,77,38,Fire,133,37,64,0,Thunderbolt,81.1,0.0,0.0,133,0,0.6,1,54.2,0.4478
143,45,Fire,89,32,Flying,158,54,56,1,Bulldoze,77.1,69.1,40.0,118,0,0.6,0,64.2,0.4307
144,53,Fire,98,54,Psychic,188,60,54,0,Body Slam,82.6,0.0,0.0,188,0,0.6,1,38.7,0.5849
145,36,Fire,66,35,Flying,134,45,28,1,Bulldoze,52.4,49.5,32.7,101,0,0.6,0,62.4,0.5019
146,25,Normal,76,51,Flying,152,47,36,1,Bulldoze,45.7,70.8,27.6,124,0,0.6,0,45.0,0.5204
147,68,Fire,89,48,Fire,181,60,54,1,Bulldoze,57.4,82.1,51.6,129,0,0.6,1,71.6,0.5724
148,46,Fire,84,46,Fire,192,37,39,1,Bulldoze,61.8,71.0,48.6,143,0,0.6,1,26.8,0.5934
149,43,Electric,68,59,Psychic,161,43,44,1,Discharge,44.0,54.3,17.7,143,0,0.6,1,67.9,0.634
150,45,Electric,85,49,Grass,180,36,49,1,Discharge,50.2,53.6,48.7,131,0,0.6,0,83.2,0.5342
151,31,Fire,58,41,Grass,156,46,50,0,Psychic,59.4,0.0,0.0,156,0,0.6,0,19.3,0.4494
152,47,Fire,89,57,Psychic,197,48,59,1,Bulldoze,80.1,73.7,42.8,154,0,0.6,1,40.4,0.5783
153,45,Water,87,50,Psychic,208,31,29,1,Surf,38.0,52.3,35.3,173,0,0.6,1,48.3,0.6453
154,42,Electric,91,49,Water,184,48,27,1,Discharge,42.8,78.2,144.2,40,0,2.0,0,51.4,0.3448
155,23,Ground,64,37,Grass,156,37,40,1,Earthquake,38.9,29.0,69.0,87,0,1.5,0,64.3,0.3089
156,43,Normal,95,54,Water,178,57,37,1,Bulldoze,54.5,68.2,33.0,145,0,0.6,1,70.7,0.5777
157,36,Normal,71,47,Water,141,15,33,1,Bulldoze,31.4,53.1,21.8,119,0,0.6,0,53.6,0.6558
158,37,Fire,80,49,Water,187,24,61,0,Psychic,84.1,0.0,0.0,187,0,0.6,0,42.3,0.5904
159,44,Electric,75,59,Flying,189,49,54,0,Thunderbolt,77.8,0.0,0.0,189,0,0.6,1,47.3,0.5996
160,52,Fire,90,48,Psychic,152,71,34,0,Psychic,96.6,0.0,0.0,152,0,0.6,0,54.1,0.6006
161,65,Fire,109,40,Fire,193,37,47,0,Thunderbolt,87.7,0.0,0.0,193,0,0.6,0,46.2,0.6854
162,34,Fire,86,39,Flying,139,36,44,0,Body Slam,95.8,0.0,0.0,139,0,0.6,1,54.5,0.5595
163,51,Fire,90,43,Fire,156,70,51,1,Bulldoze,68.7,68.3,28.0,128,0,0.6,0,52.8,0.4925
164,50,Ground,95,41,Psychic,193,25,34,0,Body Slam,103.9,0.0,0.0,193,0,1.5,1,68.8,0.722
165,40,Normal,66,35,Psychic,160,45,42,0,Flamethrower,63.9,0.0,0.0,160,0,0.6,1,43.2,0.5036
166,42,Normal,85,35,Grass,149,37,40,1,Bulldoze,57.8,64.3,34.0,115,0,0.6,1,38.3,0.5388
167,40,Ground,84,50,Psychic,171,40,49,1,Earthquake,63.8,40.3,102.5,68,0,1.5,0,47.2,0.3683
168,48,Fire,86,51,Flying,164,57,51,0,Flamethrower,92.0,0.0,0.0,164,0,0.6,1,64.1,0.5793
169,56,Normal,111,49,Grass,209,41,38,1,Bulldoze,62.0,109.1,50.7,158,0,0.6,0,57.8,0.6821
170,40,Fire,72,36,Fire,169,49,62,1,Bulldoze,73.5,47.5,27.8,141,0,0.6,1,53.5,0.4212
171,53,Electric,84,45,Flying,163,35,42,0,Thunderbolt,101.7,0.0,0.0,163,0,0.6,1,51.3,0.6929
172,28,Fire,77,53,Fire,177,36,45,0,Psychic,77.2,0.0,0.0,177,0,0.6,1,54.2,0.5722
173,37,Ground,90,55,Water,193,47,55,0,Body Slam,92.3,0.0,0.0,193,0,1.5,0,32.4,0.5675
174,43,Normal,110,51,Grass,195,46,58,0,Ice Beam,119.5,0.0,0.0,195,0,0.6,1,49.2,0.6029
175,36,Fire,92,34,Fire,148,51,40,0,Ice Beam,74.1,0.0,0.0,148,0,0.6,1,33.5,0.4764
176,41,Electric,88,19,Water,116,53,63,1,Discharge,65.0,53.9,146.3,0,1,2.0,0,33.5,0.0986
177,49,Normal,88,46,Grass,165,56,38,0,Body Slam,105.6,0.0,0.0,165,0,0.6,1,52.2,0.6267
178,45,Electric,74,39,Grass,163,37,49,1,Discharge,32.7,71.1,28.4,135,0,0.6,1,63.2,0.5312
179,57,Electric,89,38,Fire,153,45,30,1,Discharge,77.1,72.7,41.9,111,0,0.6,1,80.5,0.6468
180,35,Fire,79,37,Grass,148,43,46,0,Body Slam,67.1,0.0,0.0,148,0,0.6,1,63.9,0.4851
181,62,Electric,106,27,Fire,127,60,60,0,Body Slam,96.2,0.0,0.0,127,0,0.6,1,71.6,0.4903
182,52,Electric,96,46,Grass,162,41,48,1,Discharge,67.8,92.9,45.0,117,0,0.6,0,68.4,0.6174
183,49,Electric,89,46,Water,167,36,36,1,Discharge,86.1,70.7,136.6,30,0,2.0,0,69.0,0.4349
184,53,Fire,90,42,Water,149,49,37,1,Bulldoze,66.4,67.6,38.1,111,0,0.6,1,49.0,0.5984
185,41,Fire,74,48,Fire,210,28,37,1,Bulldoze,49.7,56.0,40.0,170,0,0.6,0,34.0,0.6067
186,36,Fire,91,49,Grass,171,38,48,0,Thunderbolt,102.7,0.0,0.0,171,0,0.6,1,66.9,0.6043
187,40,Fire,79,63,Fire,215,41,50,0,Flamethrower,63.2,0.0,0.0,215,0,0.6,0,49.7,0.625
188,55,Normal,112,37,Flying,134,52,47,0,Ice Beam,105.3,0.0,0.0,134,0,0.6,1,50.5,0.5942
189,37,Ground,88,40,Fire,149,46,37,0,Body Slam,67.3,0.0,0.0,149,0,1.5,1,44.3,0.5328
190,60,Normal,79,49,Grass,190,53,56,1,Bulldoze,55.0,52.7,41.2,149,0,0.6,1,41.1,0.5428
191,54,Electric,93,47,Fire,152,53,42,0,Body Slam,92.4,0.0,0.0,152,0,0.6,1,48.5,0.6358
192,56,Normal,95,29,Psychic,138,44,57,1,Bulldoze,72.4,57.4,42.2,96,0,0.6,1,59.6,0.478
193,36,Ground,85,29,Fire,159,34,52,0,Psychic,73.0,0.0,0.0,159,0,1.5,0,78.4,0.4688
194,25,Normal,81,58,Grass,173,47,57,0,Ice Beam,77.0,0.0,0.0,173,0,0.6,1,64.4,0.4963
195,45,Water,80,39,Flying,148,46,46,0,Thunderbolt,88.7,0.0,0.0,148,0,0.6,1,41.1,0.5606
196,54,Normal,85,34,Flying,127,41,30,1,Bulldoze,51.7,62.1,32.0,95,0,0.6,0,72.2,0.6092
197,39,Ground,75,23,Water,106,47,37,1,Earthquake,49.1,83.0,92.0,14,0,1.5,1,40.2,0.3144
198,48,Electric,114,50,Flying,187,60,69,1,Discharge,85.8,76.5,37.7,149,0,0.6,0,63.4,0.4899
199,54,Ground,94,35,Fire,159,43,43,0,Thunderbolt,93.2,0.0,0.0,159,0,1.5,1,42.1,0.6121
200,24,Fire,57,48,Water,169,34,71,0,Ice Beam,71.1,0.0,0.0,169,0,0.6,1,56.2,0.4306
201,41,Ground,74,50,Fire,181,30,44,1,Earthquake,53.3,44.2,84.9,96,0,1.5,1,72.2,0.4622
202,36,Ground,94,40,Water,156,44,60,0,Body Slam,99.6,0.0,0.0,156,0,1.5,1,56.4,0.4895
203,67,Normal,120,40,Fire,139,36,35,1,Bulldoze,99.1,81.7,46.8,92,0,0.6,1,54.6,0.7332
204,48,Electric,82,53,Flying,173,40,51,0,Body Slam,97.1,0.0,0.0,173,0,0.6,0,48.5,0.6549
205,56,Normal,80,52,Water,191,25,45,1,Bulldoze,33.5,65.5,35.8,155,0,0.6,0,81.4,0.6785
206,48,Normal,85,58,Water,209,62,47,0,Ice Beam,91.1,0.0,0.0,209,0,0.6,0,68.7,0.6084
207,60,Water,101,37,Grass,168,19,41,0,Thunderbolt,87.8,0.0,0.0,168,0,0.6,1,34.6,0.7269
208,59,Water,108,38,Grass,194,55,42,0,Ice Beam,130.7,0.0,0.0,194,0,0.6,1,32.3,0.6544
209,48,Water,83,31,Water,163,44,48,1,Surf,67.1,67.7,27.4,136,0,0.6,0,48.4,0.525
210,43,Water,92,39,Grass,159,49,61,0,Thunderbolt,74.5,0.0,0.0,159,0,0.6,0,41.4,0.4657
211,56,Ground,84,35,Water,178,50,50,1,Earthquake,59.1,43.9,84.7,93,0,1.5,1,69.4,0.3747
212,53,Electric,88,44,Water,177,49,58,0,Body Slam,76.9,0.0,0.0,177,0,2.0,0,39.4,0.5547
213,38,Normal,82,41,Fire,160,45,68,1,Bulldoze,64.6,58.2,32.0,128,0,0.6,1,38.7,0.4204
214,25,Water,64,30,Flying,122,36,24,0,Psychic,90.2,0.0,0.0,122,0,0.6,0,64.0,0.5377
215,56,Fire,117,38,Fire,164,37,53,1,Bulldoze,96.2,93.4,48.6,115,0,0.6,0,24.9,0.6206
216,41,Ground,74,45,Fire,147,31,49,1,Earthquake,63.0,44.5,76.2,71,0,1.5,0,19.4,0.4491
217,41,Normal,71,47,Psychic,171,41,49,1,Bulldoze,36.3,47.5,34.6,136,0,0.6,1,57.3,0.4958
218,38,Ground,90,57,Water,191,47,45,0,Body Slam,92.4,0.0,0.0,191,0,1.5,1,29.6,0.6182
219,63,Electric,93,36,Water,172,51,41,1,Discharge,68.7,63.7,129.0,43,0,2.0,0,50.3,0.371
220,59,Normal,89,40,Psychic,172,42,60,1,Bulldoze,78.0,71.9,42.1,130,0,0.6,0,77.1,0.5692
221,51,Fire,105,52,Fire,183,45,63,1,Bulldoze,65.8,91.2,60.0,123,0,0.6,0,74.8,0.5312
222,42,Ground,82,44,Water,195,40,42,1,Earthquake,72.4,53.3,98.3,97,0,1.5,0,49.8,0.4099
223,40,Water,79,33,Water,136,40,57,1,Surf,56.6,68.5,42.7,93,0,0.6,1,55.5,0.4264
224,57,Normal,88,60,Grass,189,62,54,0,Flamethrower,92.4,0.0,0.0,189,0,0.6,0,72.9,0.6369
