trainer_id,trainer_name,hometown,starter_type,starter_species,team_size,team_level_avg,team_level_max,team_avg_iv_total,team_avg_ev_total,type_diversity,trainer_experience,play_hours,strategy_score,wealth,cave_training,safari_zone_visits,dept_store_spending,potions_purchased,revives_used,tm_count,exp_share_used,held_item_count,rare_candy_used,gym_pokemon_center_visits,fishing_attempts,traded_pokemon_count,team_happiness_avg,team_friendship_max,badges,elite_four_attempted,elite_four_wins,champion_defeated,hall_of_fame_time,total_battles_won,total_pokemon_caught,pokedex_completion,patience,natural_talent,dedication,hometown_gym_type,region
47,Tracey_7493,Blackthorn City,Fire,Cyndaquil,5,23.3,23.5,65.3,107.9,1,0.9,328,49.1,2,0,3,908,35,10,3,0,1,0,21,2,1,115.5,116.8,1,0,0,0,,82,47,18.7,22.35,75.14,58.4,Dragon,Johto
48,Stella_6894,Ecruteak City,Water,Totodile,3,22.7,32.9,76.8,143.0,1,0.5,224,53.3,3,0,9,922,25,3,6,0,0,1,25,6,1,122.9,125.7,2,0,0,0,,107,42,16.7,67.44,66.53,38.63,Ghost,Johto
49,Todd_5622,Azalea Town,Grass,Chikorita,6,38.0,40.5,77.1,230.4,1,3.9,505,75.3,3,1,5,1536,48,13,9,0,0,1,47,10,1,182.1,184.5,6,0,0,0,,128,61,24.3,62.4,75.55,82.43,Bug,Johto
50,Green_4794,Violet City,Grass,Chikorita,2,28.9,43.6,53.0,190.0,1,1.3,378,55.9,3,0,7,1163,35,9,3,1,0,0,33,5,3,132.0,142.2,3,0,0,0,,31,56,22.3,84.4,40.34,65.58,Flying,Johto
51,Samurai_6471,New Bark Town,Fire,Cyndaquil,6,45.6,65.3,58.7,267.8,4,6.0,406,63.9,2,1,10,963,48,7,11,1,1,0,35,7,1,185.1,186.5,6,0,0,0,,125,61,24.3,91.03,40.25,76.54,None,Johto
52,Bruno_2428,Azalea Town,Fire,Cyndaquil,2,31.6,36.3,47.4,206.7,3,2.2,450,41.9,2,1,2,1423,59,5,8,0,1,0,44,8,0,160.6,172.8,2,0,0,0,,72,44,17.5,30.52,5.32,86.58,Bug,Johto
53,Samurai_1107,Ecruteak City,Fire,Cyndaquil,4,35.6,42.8,52.7,267.3,4,0.7,486,55.1,1,1,4,1202,60,12,13,0,2,0,51,2,1,170.2,173.8,5,0,0,0,,132,60,23.9,85.6,27.41,96.47,Ghost,Johto
54,Gold_7747,Blackthorn City,Grass,Chikorita,5,25.4,27.9,50.6,238.3,1,1.5,345,65.6,1,1,9,768,54,9,8,0,1,0,38,3,1,184.0,184.9,4,0,0,0,,86,53,21.1,83.91,10.78,81.51,Dragon,Johto
55,Silver_4417,Cherrygrove City,Grass,Chikorita,5,33.2,33.6,62.7,236.5,3,0.5,258,42.1,3,1,0,1729,20,4,6,1,2,0,27,7,2,146.9,162.3,2,0,0,0,,59,30,12.0,87.99,23.3,29.69,None,Johto
56,Casey_1677,Goldenrod City,Water,Totodile,6,46.9,50.4,80.6,180.0,3,4.6,444,70.6,3,0,1,1248,39,9,8,0,1,0,41,4,1,178.9,179.3,6,0,0,0,,77,34,13.5,31.99,91.37,81.74,Normal,Johto
57,Stella_6340,New Bark Town,Water,Totodile,6,24.7,29.1,65.7,197.0,6,1.1,195,58.1,1,1,5,438,25,5,2,1,1,0,26,2,0,136.8,137.9,4,0,0,0,,74,44,17.5,68.77,84.1,30.61,None,Johto
58,Will_4865,Ecruteak City,Fire,Cyndaquil,6,26.2,28.5,82.1,180.3,2,1.4,210,76.6,1,1,3,334,18,4,1,0,1,0,24,6,0,157.5,164.5,3,0,0,0,,75,28,11.2,66.16,93.7,40.86,Ghost,Johto
59,Stella_2947,Blackthorn City,Grass,Chikorita,1,35.5,40.0,77.5,154.0,2,2.9,378,58.4,4,0,4,2263,38,13,1,0,0,0,48,5,3,144.2,198.2,3,0,0,0,,60,32,12.7,32.32,89.54,62.42,Dragon,Johto
60,Aya_6507,Cianwood City,Water,Totodile,6,38.9,42.4,28.4,238.8,1,6.3,472,47.6,1,1,2,368,51,10,8,1,1,0,43,4,2,138.3,168.9,4,0,0,0,,120,59,23.5,42.39,0.21,90.58,Fighting,Johto
61,Brock_3178,New Bark Town,Fire,Cyndaquil,1,33.3,34.3,69.8,216.4,2,0.0,341,70.4,4,1,4,1498,37,10,4,0,1,1,36,14,0,166.5,168.6,4,0,0,0,,31,34,13.5,95.58,91.21,61.56,None,Johto
62,Brock_4359,Blackthorn City,Fire,Cyndaquil,5,43.2,46.8,64.2,225.7,4,6.4,349,60.2,2,1,3,700,36,9,8,0,3,0,27,8,1,163.0,205.1,4,0,0,0,,107,37,14.7,100.0,48.05,56.33,Dragon,Johto
63,Karen_8024,Goldenrod City,Fire,Cyndaquil,1,46.0,54.4,49.4,204.9,3,7.2,442,37.6,2,1,3,1279,39,13,7,0,2,1,33,5,2,158.2,185.1,3,0,0,0,,161,55,21.9,35.16,31.32,66.3,Normal,Johto
64,Blue_8117,Goldenrod City,Water,Totodile,3,29.0,44.2,75.7,171.7,1,1.1,167,71.0,2,1,2,368,38,7,7,0,1,0,22,5,1,160.5,164.1,4,0,0,0,,44,36,14.3,40.54,88.01,18.92,Normal,Johto
65,Lorelei_6520,New Bark Town,Water,Totodile,1,37.4,39.4,30.0,207.8,2,5.9,255,39.6,1,1,5,323,22,9,5,0,3,1,25,9,0,104.6,121.5,1,0,0,0,,95,27,10.8,39.59,13.45,25.35,None,Johto
66,Stella_4642,Goldenrod City,Grass,Chikorita,5,29.8,30.4,89.9,176.7,3,1.3,433,67.9,4,0,7,1416,46,6,6,0,1,0,42,12,0,183.7,208.6,5,0,0,0,,91,51,20.3,98.42,95.21,78.0,Normal,Johto
67,Pryce_5031,Violet City,Grass,Chikorita,2,56.5,59.2,58.2,297.3,2,7.9,604,67.3,3,1,7,1042,66,13,13,1,1,0,48,6,1,174.6,192.4,7,0,0,0,,143,73,29.1,91.12,23.25,99.15,Flying,Johto
68,Lorelei_3489,Ecruteak City,Grass,Chikorita,2,35.0,38.5,69.3,189.3,1,1.5,375,46.3,4,1,1,1867,28,6,7,0,1,0,34,2,2,159.7,163.4,3,0,0,0,,66,48,19.1,52.23,44.69,83.2,Ghost,Johto
69,Yellow_1674,Blackthorn City,Grass,Chikorita,5,24.6,29.4,58.3,182.5,6,1.1,441,51.5,4,0,6,1723,38,9,3,0,1,2,42,9,4,174.6,175.1,5,0,0,0,,73,70,27.9,68.09,37.08,82.67,Dragon,Johto
70,Will_4684,Cherrygrove City,Water,Totodile,6,45.9,50.4,81.8,154.6,5,6.2,287,82.0,2,0,3,942,37,5,8,1,2,0,24,9,2,196.5,197.8,8,1,1,1,308.0,128,47,18.7,90.28,82.9,43.55,None,Johto
71,Jessie_4269,Azalea Town,Fire,Cyndaquil,2,22.6,31.7,87.4,77.6,2,1.8,223,65.3,1,0,2,607,36,7,2,0,1,0,21,7,2,148.7,155.3,3,0,0,0,,76,15,6.0,44.1,78.36,41.55,Bug,Johto
72,Will_6450,Violet City,Grass,Chikorita,4,40.6,58.4,64.8,232.7,2,6.2,283,66.5,1,1,5,593,27,4,9,0,1,1,26,11,1,141.3,144.1,5,0,0,0,,123,42,16.7,62.88,68.31,39.98,Flying,Johto
73,Bruno_8421,Ecruteak City,Fire,Cyndaquil,6,35.8,36.3,68.6,206.4,3,1.4,488,52.3,2,0,1,1437,44,15,6,0,3,0,44,5,2,137.8,138.8,4,0,0,0,,65,62,24.7,39.53,58.61,80.05,Ghost,Johto
74,Bruno_4488,Olivine City,Fire,Cyndaquil,6,35.8,40.7,58.1,206.0,1,0.5,271,48.2,3,1,5,1739,42,6,4,0,2,0,44,14,3,133.3,154.9,2,0,0,0,,15,37,14.7,42.61,55.36,49.62,Steel,Johto
75,Lorelei_6646,Goldenrod City,Grass,Chikorita,6,30.9,34.3,41.7,265.1,3,1.1,443,62.3,2,1,1,599,38,13,4,0,2,1,38,4,2,154.8,160.7,4,0,0,0,,33,54,21.5,100.0,34.58,96.97,Normal,Johto
76,Samurai_3025,Olivine City,Grass,Chikorita,1,30.9,42.7,62.0,199.2,4,1.4,311,61.6,4,0,8,1921,23,3,11,0,2,1,27,10,2,178.7,197.1,5,0,0,0,,26,46,18.3,92.02,53.26,68.08,Steel,Johto
77,Gold_1522,Goldenrod City,Water,Totodile,5,48.1,65.4,70.8,184.9,2,9.3,120,65.2,2,1,0,1084,16,5,6,1,2,1,17,6,1,142.5,147.3,7,0,0,0,,131,8,3.2,44.55,58.45,19.18,Normal,Johto
78,Karen_2271,New Bark Town,Grass,Chikorita,5,35.3,39.8,87.8,139.2,3,3.1,416,53.4,3,0,3,1294,45,17,1,0,1,0,46,8,1,159.9,166.0,3,0,0,0,,114,52,20.7,39.88,78.12,76.86,None,Johto
79,Jessie_7948,Ecruteak City,Grass,Chikorita,3,33.1,42.1,52.4,132.6,3,0.6,440,78.3,2,0,5,1441,55,14,2,0,4,0,36,5,0,178.0,202.2,5,0,0,0,,44,58,23.1,100.0,52.12,75.85,Ghost,Johto
80,Lorelei_4938,Olivine City,Water,Totodile,6,53.0,55.2,62.4,211.7,3,10.7,331,64.6,2,1,4,1223,33,14,14,0,0,0,32,3,0,125.3,158.1,6,0,0,0,,120,63,25.1,50.7,58.15,33.41,Steel,Johto
81,Agatha_5131,Cianwood City,Water,Totodile,5,63.4,66.5,45.0,168.6,2,12.4,491,51.4,2,1,3,736,39,13,13,0,1,1,42,2,3,143.4,159.5,5,0,0,0,,130,69,27.5,42.81,7.28,73.02,Fighting,Johto
82,Surge_2518,Cherrygrove City,Fire,Cyndaquil,3,29.9,58.3,48.8,30.0,1,3.3,229,38.5,2,0,1,1224,33,4,2,0,0,0,21,5,2,173.7,195.4,2,0,0,0,,96,30,12.0,36.62,42.34,33.47,None,Johto
83,Aya_6574,Violet City,Fire,Cyndaquil,4,15.1,19.4,60.2,135.4,4,1.3,76,71.2,2,0,6,952,9,2,8,0,1,0,4,10,0,174.8,196.9,4,0,0,0,,74,36,14.3,99.85,42.38,8.67,Flying,Johto
84,Morty_9247,Violet City,Fire,Cyndaquil,3,20.7,33.7,86.1,135.9,3,1.1,101,76.7,2,0,8,551,5,4,4,0,1,0,18,9,3,149.4,168.2,4,0,0,0,,74,36,14.3,100.0,91.9,16.52,Flying,Johto
85,Daisy_7230,Cianwood City,Fire,Cyndaquil,2,25.9,29.8,45.9,170.9,3,0.7,359,50.9,1,0,9,798,44,7,7,0,1,0,36,9,2,186.7,208.9,3,0,0,0,,67,62,24.7,100.0,2.85,55.99,Fighting,Johto
86,Falkner_3950,Mahogany Town,Fire,Cyndaquil,3,39.0,51.7,58.5,196.2,6,6.2,474,64.4,3,1,4,1649,55,12,16,1,3,1,41,6,1,142.1,153.6,7,0,0,0,,77,39,15.5,84.44,30.26,95.52,Ice,Johto
87,Sabrina_4661,Blackthorn City,Water,Totodile,4,47.8,77.0,52.9,276.4,4,8.5,484,46.0,2,1,4,973,64,19,11,0,1,0,48,6,1,157.5,183.1,5,0,0,0,,144,47,18.7,38.71,0.74,73.1,Dragon,Johto
88,James_5479,Olivine City,Grass,Chikorita,3,40.1,45.6,83.8,177.8,1,5.7,177,70.9,2,1,2,1089,10,4,10,0,2,1,13,4,1,177.5,191.6,6,0,0,0,,129,45,17.9,64.17,83.0,6.95,Steel,Johto
89,Brock_6776,Blackthorn City,Water,Totodile,6,46.8,53.3,47.2,180.3,1,5.7,422,45.8,4,0,4,1581,38,14,7,0,1,0,42,6,1,168.3,186.3,4,0,0,0,,107,32,12.7,41.86,16.29,81.86,Dragon,Johto
90,Giselle_5016,Blackthorn City,Grass,Chikorita,6,33.1,33.8,76.6,101.0,1,6.1,201,92.1,3,0,6,1359,20,5,4,0,3,1,27,10,1,140.3,146.1,6,0,0,0,,122,44,17.5,100.0,56.74,16.88,Dragon,Johto
91,Bugsy_2884,Goldenrod City,Water,Totodile,4,21.7,27.4,48.7,191.6,1,0.6,307,23.7,4,1,5,1434,36,8,10,1,1,0,31,8,3,138.0,157.6,1,0,0,0,,61,57,22.7,35.14,9.69,44.28,Normal,Johto
92,Janine_3507,Blackthorn City,Fire,Cyndaquil,6,21.2,26.8,68.8,180.8,3,2.8,149,46.8,2,0,3,763,19,2,4,1,2,0,15,9,0,123.3,126.7,3,0,0,0,,103,20,8.0,40.45,75.86,18.55,Dragon,Johto
93,Lara_9604,Ecruteak City,Fire,Cyndaquil,6,34.6,44.3,75.5,113.7,5,5.4,82,42.5,3,0,4,1327,10,3,5,0,1,0,13,2,2,160.8,162.4,3,0,0,0,,139,17,6.8,46.39,44.22,17.32,Ghost,Johto
94,Giselle_3615,Blackthorn City,Grass,Chikorita,3,40.0,45.5,63.9,153.3,3,4.3,265,64.8,3,0,4,1445,26,8,14,0,1,0,27,10,1,167.3,198.6,6,0,0,0,,82,45,17.9,62.96,77.62,46.26,Dragon,Johto
95,Dario_3626,Goldenrod City,Water,Totodile,5,31.4,33.5,39.4,206.4,2,1.8,286,34.0,2,1,5,1115,45,8,5,1,1,1,30,6,1,187.4,192.6,2,0,0,0,,85,59,23.5,75.21,6.95,59.43,Normal,Johto
96,Morty_7545,Cianwood City,Fire,Cyndaquil,4,24.6,26.8,70.4,125.4,4,2.6,231,62.2,2,0,5,1034,27,8,7,0,2,0,30,4,0,161.5,161.9,4,0,0,0,,129,37,14.7,21.36,88.11,28.42,Fighting,Johto
97,Giovanni_1733,Blackthorn City,Fire,Cyndaquil,4,59.8,61.6,52.1,183.0,1,14.2,341,71.4,2,0,4,1104,34,3,12,0,3,0,33,3,1,162.7,180.1,6,0,0,0,,137,42,16.7,57.05,35.03,45.02,Dragon,Johto
98,Koji_4770,Goldenrod City,Fire,Cyndaquil,5,28.7,39.7,52.1,120.5,2,2.1,283,43.0,3,0,1,1680,35,5,7,0,1,0,26,7,4,175.3,194.2,3,0,0,0,,60,42,16.7,56.14,2.99,50.51,Normal,Johto
99,Todd_5875,Cianwood City,Water,Totodile,3,26.0,30.6,51.8,160.6,3,1.1,126,42.5,2,0,3,602,19,1,1,0,0,0,15,8,2,154.1,193.8,3,0,0,0,,90,36,14.3,54.09,40.83,14.97,Fighting,Johto
100,Whitney_5840,Azalea Town,Fire,Cyndaquil,3,26.4,37.2,51.5,224.9,1,2.5,235,36.5,3,1,8,1371,21,9,6,0,1,2,22,4,2,167.4,167.6,2,0,0,0,,98,50,19.9,71.79,19.83,34.08,Bug,Johto
101,Jessie_4547,Cherrygrove City,Fire,Cyndaquil,6,29.2,43.2,53.2,207.0,1,0.1,383,61.0,2,1,4,844,45,14,12,0,2,0,35,5,2,161.1,171.9,3,0,0,0,,85,57,22.7,70.61,63.45,85.61,None,Johto
102,Falkner_2519,Violet City,Water,Totodile,2,56.8,69.9,37.9,222.5,3,11.7,426,61.1,2,1,2,987,39,11,9,1,1,0,57,6,0,162.1,165.8,6,0,0,0,,169,55,21.9,54.8,31.56,69.73,Flying,Johto
103,Red_4043,Goldenrod City,Fire,Cyndaquil,4,27.4,48.3,69.7,139.4,1,1.3,159,45.9,3,0,4,1173,15,6,0,1,1,1,16,6,0,145.7,152.3,2,0,0,0,,116,32,12.7,36.59,58.65,32.82,Normal,Johto
104,Erika_4205,Violet City,Water,Totodile,6,45.9,49.0,51.5,156.6,3,6.9,397,52.9,3,0,4,1242,43,9,3,0,2,2,37,6,2,151.1,158.2,4,0,0,0,,96,46,18.3,73.49,26.5,58.03,Flying,Johto
