trainer_id,treatment_assigned,treatment_received,compliance_type,starter_type,team_level,trainer_experience,strategy_score,brock_win,damage_to_onix,pokemon_remaining,win_prob
101,0,0,never_taker,Water,15,0.3,39.9,1,106,4,0.4253
102,1,1,complier,Grass,12,1.5,43.1,0,136,1,0.4678
103,1,1,always_taker,Water,13,1.1,13.6,1,99,4,0.474
104,1,1,always_taker,Water,18,0.9,39.3,0,131,3,0.6798
105,1,1,complier,Fire,14,0.1,28.3,0,113,3,0.192
106,1,1,complier,Grass,11,0.5,37.7,0,130,2,0.4248
107,0,0,complier,Fire,13,3.3,45.5,0,93,0,0.1106
108,0,0,complier,Grass,17,0.9,40.0,0,126,2,0.4354
109,1,0,never_taker,Fire,16,1.3,33.3,0,81,1,0.1362
110,1,1,complier,Fire,13,1.1,40.5,0,95,2,0.1923
111,0,0,complier,Water,20,4.2,47.2,1,114,3,0.5919
112,0,1,always_taker,Grass,14,0.2,24.8,1,128,2,0.482
113,1,1,complier,Water,16,0.5,25.5,1,121,5,0.5927
114,0,1,always_taker,Water,19,6.3,71.1,1,134,5,0.7669
115,1,1,complier,Water,15,2.0,43.3,1,145,2,0.6066
116,0,0,complier,Water,10,0.1,35.5,0,118,0,0.2799
117,1,1,complier,Fire,16,0.3,45.5,0,127,0,0.2641
118,0,0,never_taker,Water,17,2.5,44.7,0,115,2,0.4968
119,0,1,always_taker,Grass,15,0.8,31.7,1,151,4,0.5292
120,0,0,complier,Grass,16,3.0,44.1,1,118,5,0.4161
121,0,1,always_taker,Grass,16,1.0,53.3,1,132,3,0.6114
122,0,0,complier,Grass,16,2.0,39.7,0,84,1,0.4054
123,1,1,complier,Fire,17,0.8,36.4,0,122,2,0.2697
124,0,0,complier,Fire,18,1.5,39.2,0,108,1,0.1754
125,1,1,always_taker,Water,11,4.2,49.3,1,123,6,0.5032
126,0,0,never_taker,Fire,18,0.6,38.3,0,92,2,0.1741
127,0,1,always_taker,Grass,10,0.3,26.3,0,106,2,0.3689
128,0,1,always_taker,Water,11,0.2,27.5,1,100,4,0.4489
129,0,0,complier,Fire,8,3.8,36.2,0,67,0,0.0585
130,1,0,never_taker,Grass,14,3.6,57.8,0,100,1,0.3913
131,1,1,always_taker,Grass,15,5.9,49.4,0,114,1,0.573
132,0,1,always_taker,Fire,13,0.4,23.1,0,92,2,0.1667
133,1,1,always_taker,Fire,16,0.3,33.7,0,83,1,0.2418
134,1,0,never_taker,Grass,15,1.4,21.9,0,141,3,0.336
135,0,0,never_taker,Water,16,0.3,25.1,1,119,3,0.4185
136,1,1,complier,Water,14,1.0,43.2,1,123,3,0.5774
137,1,1,always_taker,Grass,15,0.4,18.9,1,124,6,0.4973
138,0,0,complier,Grass,12,1.1,41.0,0,89,3,0.2994
139,1,1,complier,Fire,10,0.2,26.2,1,99,4,0.1259
140,1,1,complier,Fire,21,1.1,27.8,0,105,2,0.3539
141,0,0,complier,Water,18,5.3,57.2,0,118,4,0.5577
142,0,0,complier,Water,15,3.3,43.6,0,128,0,0.4344
143,1,1,always_taker,Fire,11,1.7,34.3,0,78,2,0.1497
144,0,0,complier,Grass,13,0.1,37.7,0,114,2,0.318
145,0,0,complier,Grass,13,1.7,52.5,1,86,6,0.3509
146,0,0,complier,Fire,17,0.3,44.4,0,126,3,0.1658
147,1,1,complier,Fire,13,1.3,39.3,1,90,5,0.1905
148,1,0,never_taker,Grass,11,1.6,30.3,0,108,2,0.2541
149,0,0,never_taker,Water,20,1.8,52.2,1,121,4,0.604
150,0,0,complier,Fire,10,0.5,27.1,0,62,1,0.0673
151,1,1,complier,Fire,15,2.0,32.9,1,95,6,0.2191
152,1,1,complier,Water,10,1.1,48.0,1,108,4,0.47
153,1,0,never_taker,Grass,22,1.6,34.3,0,129,2,0.5703
154,0,0,complier,Water,11,0.5,30.9,1,124,6,0.295
155,1,0,never_taker,Water,13,0.2,43.1,0,106,3,0.3754
156,1,0,never_taker,Grass,13,3.8,51.6,0,87,3,0.3489
157,0,0,complier,Water,12,3.2,51.0,0,83,0,0.3659
158,1,1,complier,Water,11,5.1,42.0,0,118,1,0.485
159,0,0,complier,Water,9,1.9,44.3,0,121,1,0.2735
160,0,0,complier,Water,18,7.7,73.5,0,102,3,0.5975
161,1,1,complier,Fire,14,2.4,33.4,0,108,0,0.2
162,0,0,complier,Water,14,1.8,49.5,0,119,0,0.4195
163,0,0,complier,Grass,17,7.5,69.0,0,133,2,0.5075
164,0,0,complier,Grass,22,1.6,44.8,0,111,1,0.5958
165,1,1,complier,Fire,13,0.2,38.2,0,83,1,0.1888
166,0,0,complier,Fire,13,2.2,62.4,1,97,4,0.1283
167,0,0,complier,Water,15,10.0,78.2,1,101,2,0.5205
168,0,0,complier,Fire,9,0.1,24.9,0,79,0,0.0589
169,0,1,always_taker,Grass,13,0.7,53.0,1,104,6,0.5225
170,0,0,complier,Grass,15,3.2,44.8,0,104,2,0.3889
171,1,1,always_taker,Water,12,1.8,40.5,1,108,3,0.5112
172,1,1,complier,Fire,15,1.8,39.2,0,110,3,0.2301
173,0,0,never_taker,Grass,13,0.9,39.4,1,127,1,0.3217
174,1,1,always_taker,Water,11,2.7,71.3,0,132,1,0.558
175,0,0,never_taker,Fire,15,1.6,38.3,0,108,2,0.1282
176,1,1,complier,Water,12,3.2,54.5,1,100,4,0.5461
177,1,1,complier,Grass,15,0.3,31.7,1,114,2,0.5292
178,1,1,complier,Water,16,6.2,57.3,0,113,2,0.6666
179,1,1,complier,Grass,16,2.2,48.8,0,117,0,0.6006
180,0,1,always_taker,Water,15,2.0,29.9,0,114,3,0.5742
181,0,0,never_taker,Fire,14,1.5,37.4,0,87,1,0.1145
182,0,0,complier,Fire,15,0.5,36.8,0,70,2,0.1265
183,1,1,complier,Grass,10,0.8,29.9,0,93,4,0.3773
184,1,1,always_taker,Water,12,0.5,34.1,1,134,1,0.4953
185,1,1,complier,Grass,16,1.3,46.7,1,133,3,0.5956
186,1,0,never_taker,Fire,14,3.8,52.0,0,70,1,0.1301
187,0,0,never_taker,Water,12,2.6,31.9,1,118,3,0.3228
188,1,1,complier,Fire,14,1.1,41.1,0,87,1,0.2127
189,0,0,complier,Grass,14,0.7,28.2,0,98,1,0.3234
190,0,1,always_taker,Water,19,0.4,40.6,1,125,4,0.7081
191,1,1,complier,Fire,15,1.4,42.8,1,103,2,0.2365
192,0,0,never_taker,Fire,12,1.0,36.5,0,71,1,0.0915
193,1,1,always_taker,Water,20,0.3,42.4,1,155,4,0.7358
194,0,1,always_taker,Fire,19,0.6,26.5,0,126,3,0.2984
195,1,1,complier,Grass,14,0.6,32.3,1,129,3,0.5007
196,1,1,complier,Grass,13,0.9,23.4,1,129,2,0.4487
197,1,1,complier,Fire,15,1.0,50.2,1,98,2,0.2501
198,1,0,never_taker,Fire,13,2.8,49.0,1,56,6,0.1141
199,0,1,always_taker,Grass,16,5.0,51.6,1,127,5,0.6073
200,0,0,complier,Fire,17,1.9,35.9,0,95,2,0.1543
