battle_id,trainer_id,battle_type,attacker_level,attacker_type,defender_level,defender_type,type_advantage,weather,weather_multiplier,terrain,held_item,held_item_bonus,move_power,move_accuracy,move_hit,critical_hit,crit_multiplier,damage_dealt,strategy_score,turns,battle_won,exp_gained,pokemon_fainted,win_prob,attacker_hp_remaining_pct,defender_hp_remaining_pct,reward_money
27,1814,trainer,42,Fire,29,Normal,1.0,clear,1.0,water,choice_band,1.3,58,70,1,0,1.0,37.4,61.1,6,1,159,0,0.636,0.722,0.249,1382
28,647,trainer,37,Poison,30,Poison,1.0,clear,1.0,urban,focus_sash,1.0,76,89,1,0,1.0,32.8,53.9,4,1,116,1,0.5849,0.432,0.692,1417
29,439,trainer,46,Ground,34,Grass,1.0,clear,1.0,cave,focus_sash,1.0,64,84,1,0,1.0,43.9,64.9,3,0,0,0,0.6476,0.173,0.554,80
30,722,wild,47,Dragon,30,Water,1.0,clear,1.0,mountain,berry,1.0,50,81,0,0,1.0,2.1,75.1,2,0,8,0,0.646,0.254,0.75,146
31,42,trainer,56,Rock,65,Fighting,1.0,sun,1.0,urban,leftovers,1.05,48,95,1,0,1.0,34.7,34.4,3,0,0,0,0.4595,0.44,0.951,0
32,360,wild,41,Dragon,26,Rock,1.0,sandstorm,1.0,water,berry,1.0,109,88,1,0,1.0,38.4,45.2,4,1,131,0,0.6092,0.86,0.14,1276
33,1317,trainer,40,Rock,49,Fighting,1.0,rain,1.0,cave,none,1.0,55,95,1,0,1.0,19.6,55.6,5,0,23,0,0.4935,0.259,0.782,75
34,1050,trainer,63,Electric,69,Fire,2.0,rain,1.0,grass,choice_band,1.3,69,92,1,0,1.0,124.6,61.3,2,1,324,0,0.7236,0.735,0.32,3235
35,1979,wild,35,Water,32,Grass,1.0,sun,0.5,grass,none,1.0,99,86,1,0,1.0,12.9,46.4,5,1,179,0,0.4846,0.711,0.591,1617
36,932,trainer,77,Electric,65,Psychic,2.0,rain,1.0,cave,none,1.0,78,100,1,0,1.0,123.4,42.3,3,1,360,0,0.7552,0.624,0.484,3273
37,1155,trainer,55,Poison,42,Flying,0.5,rain,1.0,cave,focus_sash,1.0,48,80,0,0,1.0,3.2,45.4,4,0,0,1,0.4709,0.174,0.585,0
38,1789,trainer,35,Flying,36,Water,1.0,clear,1.0,grass,berry,1.0,59,83,1,0,1.0,21.2,70.7,3,1,134,0,0.5727,0.571,0.593,1782
39,1995,trainer,50,Flying,56,Ghost,1.0,rain,1.0,mountain,focus_sash,1.0,72,91,1,0,1.0,38.7,42.3,3,1,274,0,0.4991,0.721,0.226,2742
40,349,wild,30,Electric,5,Fighting,1.0,clear,1.0,urban,none,1.0,97,100,1,0,1.0,30.6,31.2,4,0,19,0,0.6142,0.203,0.923,121
41,804,gym,57,Ice,64,Grass,2.0,clear,1.0,urban,berry,1.0,55,99,1,0,1.0,67.2,50.1,6,1,671,0,0.6326,0.886,0.124,15948
42,527,wild,58,Psychic,50,Bug,1.0,clear,1.0,water,none,1.0,50,100,1,0,1.0,30.1,43.5,5,1,234,0,0.5611,0.771,0.186,2467
43,1548,wild,68,Dragon,33,Fighting,1.0,clear,1.0,grass,leftovers,1.05,57,100,1,0,1.0,43.7,73.3,2,1,181,1,0.7598,0.941,0.377,1745
44,1070,wild,74,Water,47,Grass,1.0,sun,0.5,grass,none,1.0,93,91,1,0,1.0,48.0,91.9,4,1,214,0,0.7406,0.537,0.185,2155
45,377,wild,33,Fire,16,Dragon,1.0,sandstorm,1.0,grass,none,1.0,105,91,1,0,1.0,47.3,60.1,3,0,6,0,0.6632,0.415,0.486,0
46,1032,wild,35,Ground,39,Fire,2.0,sun,1.0,grass,leftovers,1.05,90,84,1,0,1.0,70.6,43.4,6,1,196,0,0.635,0.819,0.261,1849
47,1497,wild,53,Rock,31,Dragon,2.0,rain,1.0,urban,focus_sash,1.0,63,87,1,0,1.0,73.0,64.6,1,1,116,0,0.7854,0.614,0.442,1532
48,470,wild,49,Electric,38,Ground,0.5,sun,1.0,cave,none,1.0,80,91,1,0,1.0,18.3,44.3,5,1,189,0,0.477,0.747,0.446,1951
49,833,wild,23,Dragon,6,Ghost,1.0,sandstorm,1.0,grass,focus_sash,1.0,84,100,1,0,1.0,27.0,62.4,1,1,24,0,0.6454,0.9,0.459,190
50,1039,elite_four,36,Electric,50,Water,1.0,rain,1.0,grass,berry,1.0,57,76,0,0,1.0,0.0,68.2,4,0,0,0,0.4755,0.496,0.809,0
51,353,trainer,50,Dragon,46,Bug,1.0,clear,1.0,mountain,leftovers,1.05,66,86,0,1,1.5,0.0,58.4,6,0,7,1,0.5409,0.343,0.578,32
52,689,wild,47,Rock,58,Ghost,1.0,clear,1.0,urban,none,1.0,56,86,1,0,1.0,34.6,21.9,8,0,4,0,0.4187,0.615,0.899,23
53,423,trainer,39,Grass,47,Bug,1.0,clear,1.0,grass,none,1.0,111,89,1,0,1.0,51.6,58.2,7,0,0,0,0.5449,0.144,0.75,0
54,1651,trainer,80,Ground,85,Water,0.5,rain,1.0,cave,none,1.0,69,76,1,1,1.5,52.2,59.7,4,0,0,0,0.4779,0.277,0.682,0
55,1634,gym,58,Ghost,66,Poison,0.5,sandstorm,1.0,grass,berry,1.0,85,90,1,1,1.5,37.2,44.9,3,0,66,0,0.4082,0.308,0.831,0
56,1173,trainer,32,Ice,29,Water,2.0,clear,1.0,urban,choice_band,1.3,82,87,0,0,1.0,0.0,29.5,4,0,53,1,0.5502,0.19,0.762,0
57,855,gym,36,Normal,39,Psychic,1.0,rain,1.0,grass,leftovers,1.05,68,100,1,0,1.0,25.6,46.1,2,0,4,1,0.5072,0.378,0.652,54
58,1821,wild,71,Ice,50,Electric,0.5,rain,1.0,water,berry,1.0,77,79,0,0,1.0,0.0,54.4,4,1,251,0,0.5293,0.864,0.429,2398
59,1447,trainer,46,Normal,42,Poison,0.5,sandstorm,1.0,grass,none,1.0,75,92,1,0,1.0,15.2,59.7,6,1,189,0,0.4766,0.98,0.381,1977
60,615,wild,44,Dragon,41,Normal,1.0,clear,1.0,mountain,none,1.0,103,71,1,0,1.0,52.5,31.7,2,1,224,0,0.5348,0.36,0.433,1966
61,1138,trainer,20,Normal,29,Poison,0.5,clear,1.0,grass,none,1.0,128,92,1,0,1.0,20.7,43.1,5,1,143,1,0.3794,0.874,0.211,1720
62,1199,wild,14,Ground,9,Ice,0.5,clear,1.0,grass,none,1.0,117,98,1,0,1.0,11.2,60.3,4,0,30,0,0.4781,0.233,0.805,18
63,434,wild,41,Ghost,41,Water,2.0,clear,1.0,mountain,none,1.0,64,84,1,0,1.0,56.0,60.9,6,1,202,0,0.676,0.666,0.133,2070
64,1847,trainer,33,Ground,33,Fighting,2.0,clear,1.0,grass,leftovers,1.05,87,80,1,0,1.0,70.4,50.8,2,1,155,0,0.6696,0.785,0.056,1948
65,718,trainer,39,Normal,40,Bug,1.0,rain,1.0,grass,none,1.0,73,90,1,0,1.0,30.4,57.1,5,1,203,0,0.5506,0.533,0.337,2008
66,1187,gym,39,Poison,40,Rock,1.0,clear,1.0,grass,none,1.0,64,100,1,0,1.0,29.5,53.8,2,1,389,0,0.5413,0.893,0.057,10022
67,1790,elite_four,34,Grass,50,Dragon,2.0,clear,1.0,mountain,choice_band,1.3,68,95,1,0,1.0,76.5,73.6,4,1,725,1,0.6559,0.537,0.485,2601
68,1979,wild,38,Ice,18,Ice,2.0,hail,1.0,grass,none,1.0,91,100,1,0,1.0,80.5,46.4,2,1,92,0,0.7527,0.847,0.206,864
69,991,wild,30,Water,13,Flying,1.0,clear,1.0,mountain,choice_band,1.3,34,95,1,0,1.0,23.2,68.1,6,1,96,0,0.6541,0.7,0.154,688
70,709,wild,52,Flying,24,Ghost,1.0,rain,1.0,urban,focus_sash,1.0,63,92,0,1,1.5,11.3,66.4,3,0,0,0,0.6858,0.074,0.687,82
71,1528,wild,42,Normal,18,Ghost,1.0,sandstorm,1.0,water,leftovers,1.05,65,69,1,0,1.0,37.2,66.2,5,1,72,0,0.6959,0.499,0.182,784
72,1431,gym,47,Fire,55,Ghost,1.0,sun,1.5,mountain,none,1.0,54,91,1,0,1.0,48.6,64.8,4,0,0,0,0.5941,0.317,0.868,0
73,586,wild,58,Poison,39,Fire,1.0,sun,1.0,urban,berry,1.0,64,80,1,0,1.0,47.6,67.0,5,1,171,0,0.6874,0.705,0.086,2024
74,168,gym,43,Ground,46,Ghost,1.0,clear,1.0,cave,none,1.0,95,76,1,0,1.0,55.9,55.2,2,1,473,0,0.5675,0.808,0.409,11563
75,1810,wild,63,Fire,54,Electric,1.0,rain,0.5,urban,choice_band,1.3,79,93,1,0,1.0,43.8,80.2,3,1,259,0,0.6344,0.542,0.316,2688
76,352,gym,61,Ice,70,Rock,1.0,clear,1.0,cave,choice_band,1.3,77,61,1,0,1.0,65.1,76.2,4,0,0,0,0.6005,0.282,0.98,0
77,1350,trainer,63,Fire,56,Poison,0.5,clear,1.0,urban,focus_sash,1.0,77,91,1,0,1.0,26.4,73.6,6,0,0,0,0.5403,0.396,0.549,0
78,1914,trainer,52,Ghost,61,Dragon,2.0,sandstorm,1.0,cave,none,1.0,35,91,1,0,1.0,44.4,56.7,2,0,12,1,0.612,0.162,0.81,0
79,563,trainer,37,Fire,33,Fire,0.5,clear,1.0,water,none,1.0,72,81,0,0,1.0,0.0,68.3,6,0,2,1,0.4791,0.139,0.638,44
80,1704,trainer,54,Poison,57,Flying,0.5,clear,1.0,water,leftovers,1.05,90,74,0,0,1.0,6.2,61.9,1,1,299,0,0.4362,0.734,0.261,3033
81,71,trainer,56,Water,51,Electric,1.0,sun,0.5,grass,focus_sash,1.0,39,100,1,0,1.0,13.8,31.5,2,1,272,1,0.4586,0.534,0.295,2566
82,1209,gym,35,Ground,40,Flying,1.0,rain,1.0,cave,berry,1.0,89,93,1,0,1.0,38.5,51.6,5,1,380,0,0.5271,0.702,0.356,10205
83,318,trainer,34,Electric,40,Electric,1.0,clear,1.0,water,leftovers,1.05,49,84,1,0,1.0,25.9,50.0,2,1,195,0,0.5024,0.802,0.339,2045
84,364,trainer,47,Flying,58,Flying,1.0,rain,1.0,grass,none,1.0,99,96,1,0,1.0,60.5,56.3,5,0,12,0,0.5363,0.21,0.993,169
85,435,trainer,15,Dragon,3,Fighting,1.0,clear,1.0,water,focus_sash,1.0,65,75,1,0,1.0,10.4,58.9,3,1,6,1,0.5941,0.677,0.253,105
86,563,gym,34,Ice,38,Rock,1.0,sun,1.0,water,none,1.0,25,82,1,0,1.0,15.1,68.3,4,1,388,0,0.5445,0.616,0.073,9552
87,496,wild,46,Dragon,31,Grass,1.0,rain,1.0,water,berry,1.0,65,74,1,0,1.0,30.2,29.2,4,0,0,0,0.5605,0.215,0.705,0
88,1460,trainer,42,Water,31,Water,1.0,hail,1.0,urban,none,1.0,76,91,1,0,1.0,34.4,45.2,4,1,169,1,0.5852,0.842,0.175,1602
89,1706,trainer,55,Ice,53,Psychic,1.0,sun,1.0,cave,focus_sash,1.0,91,80,0,0,1.0,0.0,30.5,3,0,0,0,0.4613,0.044,0.782,0
90,1974,wild,43,Fighting,32,Ground,0.5,sun,1.0,cave,berry,1.0,61,100,1,0,1.0,20.6,30.2,6,1,160,0,0.4448,0.636,0.209,1517
91,5,elite_four,40,Electric,51,Grass,2.0,sun,1.0,water,choice_band,1.3,92,89,1,0,1.0,107.4,35.7,5,1,750,0,0.6273,0.873,0.124,2417
92,637,gym,48,Psychic,44,Normal,0.5,hail,1.0,grass,focus_sash,1.0,93,91,1,0,1.0,19.5,53.2,6,0,0,0,0.4658,0.223,0.748,52
93,108,trainer,31,Poison,18,Normal,0.5,clear,1.0,grass,choice_band,1.3,56,92,1,0,1.0,15.8,39.0,5,1,93,0,0.4706,0.576,0.275,708
94,754,elite_four,11,Normal,50,Poison,0.5,sandstorm,1.0,mountain,none,1.0,115,71,0,0,1.0,0.3,68.2,4,1,755,1,0.2803,0.729,0.093,2428
95,1116,wild,45,Water,30,Flying,1.0,sun,0.5,urban,choice_band,1.3,68,100,1,0,1.0,29.8,62.4,5,0,13,1,0.6042,0.281,0.703,8
96,367,trainer,57,Ground,77,Rock,0.5,clear,1.0,urban,none,1.0,74,100,1,0,1.0,14.2,51.3,3,0,0,0,0.3402,0.334,0.645,0
97,433,trainer,76,Rock,79,Bug,0.5,sandstorm,1.0,urban,choice_band,1.3,65,72,1,0,1.0,39.3,94.0,5,1,392,0,0.5572,0.949,0.239,3989
98,593,elite_four,50,Rock,55,Ghost,1.0,sandstorm,1.0,grass,berry,1.0,121,100,1,0,1.0,63.7,35.7,7,1,829,1,0.5189,0.869,0.169,2628
99,1713,trainer,59,Bug,58,Rock,0.5,sun,1.0,cave,choice_band,1.3,75,84,1,0,1.0,31.9,22.8,1,1,295,0,0.392,0.737,0.151,2663
100,577,wild,33,Fire,18,Grass,1.0,sandstorm,1.0,urban,leftovers,1.05,61,100,1,0,1.0,28.3,31.9,2,1,72,1,0.5648,0.957,0.117,905
101,546,elite_four,39,Dragon,50,Dragon,1.0,clear,1.0,cave,berry,1.0,69,87,1,0,1.0,36.2,52.4,5,0,12,0,0.4963,0.095,0.825,135
102,1326,elite_four,43,Flying,50,Ground,1.0,clear,1.0,grass,berry,1.0,85,89,1,0,1.0,42.7,66.4,2,0,0,1,0.5591,0.443,0.709,0
103,14,trainer,63,Ice,63,Fire,1.0,sandstorm,1.0,mountain,leftovers,1.05,97,82,1,0,1.0,74.4,57.0,6,1,285,0,0.6087,0.727,0.22,3012
104,1529,gym,49,Rock,57,Poison,1.0,sun,1.0,water,focus_sash,1.0,63,87,0,0,1.0,5.7,41.2,3,1,575,0,0.4453,0.901,0.34,14173
105,517,trainer,36,Normal,38,Ground,1.0,clear,1.0,grass,focus_sash,1.0,88,82,1,0,1.0,41.0,64.2,2,0,0,0,0.5762,0.183,0.505,130
106,937,wild,16,Psychic,12,Poison,1.0,rain,1.0,urban,berry,1.0,55,71,1,0,1.0,13.5,40.0,4,0,0,0,0.5119,0.259,0.879,63
107,86,wild,50,Fire,39,Flying,0.5,hail,1.0,grass,leftovers,1.05,61,100,1,0,1.0,11.3,60.8,2,1,175,0,0.5095,0.839,0.519,2050
108,23,wild,54,Ice,30,Flying,1.0,sandstorm,1.0,cave,leftovers,1.05,95,100,1,0,1.0,66.0,54.1,4,1,113,0,0.7008,0.918,0.405,1639
109,1376,wild,47,Grass,45,Dragon,2.0,clear,1.0,cave,none,1.0,98,97,1,0,1.0,108.1,64.6,7,1,212,0,0.7452,0.559,0.536,2173
110,1082,gym,51,Ground,60,Fighting,2.0,sun,1.0,grass,berry,1.0,83,91,1,0,1.0,72.8,14.4,4,1,607,0,0.5435,0.898,0.165,15071
111,380,trainer,31,Normal,52,Dragon,0.5,clear,1.0,cave,none,1.0,61,84,0,0,1.0,0.0,35.5,1,0,10,0,0.2867,0.264,0.533,0
112,503,wild,25,Water,19,Flying,1.0,clear,1.0,grass,none,1.0,82,90,1,0,1.0,26.5,55.9,7,1,84,0,0.5773,0.931,0.518,1029
113,1808,wild,36,Psychic,23,Fighting,1.0,clear,1.0,grass,choice_band,1.3,69,100,1,0,1.0,43.8,76.6,2,0,0,1,0.6781,0.337,0.561,0
114,466,wild,39,Fire,18,Grass,1.0,sandstorm,1.0,cave,berry,1.0,83,88,1,0,1.0,28.5,44.9,2,0,0,0,0.6252,0.626,0.841,106
115,633,trainer,47,Fighting,59,Water,1.0,clear,1.0,grass,none,1.0,98,99,1,0,1.0,49.8,38.0,5,1,306,0,0.4723,0.575,0.043,2949
116,522,gym,26,Water,32,Rock,0.5,rain,1.5,water,berry,1.0,85,92,1,0,1.0,14.7,56.5,2,0,5,0,0.4556,0.349,0.966,4
117,581,wild,44,Flying,23,Poison,2.0,clear,1.0,mountain,none,1.0,68,100,1,0,1.0,79.2,77.8,5,0,7,0,0.8085,0.212,0.583,0
118,781,trainer,44,Ghost,56,Normal,1.0,rain,1.0,grass,berry,1.0,72,87,1,0,1.0,39.0,46.3,6,0,1,0,0.4795,0.239,0.878,142
119,1713,wild,53,Flying,32,Fighting,1.0,sun,1.0,cave,none,1.0,78,89,1,0,1.0,47.0,22.8,8,0,51,0,0.5946,0.212,0.899,81
120,458,trainer,48,Psychic,35,Bug,1.0,sun,1.0,cave,focus_sash,1.0,80,80,0,0,1.0,0.0,57.8,6,0,8,0,0.5837,0.297,0.774,17
121,1314,wild,23,Bug,25,Ghost,1.0,clear,1.0,water,choice_band,1.3,60,81,1,0,1.0,28.6,73.1,2,0,22,0,0.5827,0.246,0.326,94
122,205,gym,54,Psychic,60,Ground,1.0,clear,1.0,grass,choice_band,1.3,92,92,1,0,1.0,70.0,44.3,6,0,0,1,0.5431,0.086,0.791,87
123,1159,wild,89,Poison,77,Normal,0.5,clear,1.0,grass,none,1.0,45,98,1,0,1.0,23.2,52.6,6,0,0,0,0.5089,0.204,0.842,25
124,154,wild,51,Normal,36,Normal,2.0,clear,1.0,cave,berry,1.0,72,84,1,0,1.0,85.9,54.7,6,1,141,0,0.7546,0.836,0.015,1797
125,237,wild,44,Poison,13,Grass,1.0,clear,1.0,urban,none,1.0,60,81,1,0,1.0,28.7,36.6,7,1,72,0,0.6524,0.894,0.304,610
126,409,trainer,16,Rock,2,Water,2.0,clear,1.0,cave,none,1.0,68,82,1,1,1.5,40.9,42.0,2,1,0,1,0.6794,0.779,0.43,82
127,747,wild,38,Ground,36,Ground,0.5,rain,1.0,grass,none,1.0,101,86,1,0,1.0,21.1,51.2,2,0,0,0,0.4529,0.639,0.745,52
128,1126,trainer,34,Bug,26,Ground,0.5,clear,1.0,urban,berry,1.0,74,78,0,0,1.0,6.1,59.2,3,1,146,1,0.484,0.737,0.156,1430
129,1750,trainer,41,Psychic,32,Fire,1.0,clear,1.0,cave,none,1.0,41,86,1,0,1.0,22.2,43.7,1,0,0,0,0.5568,0.422,0.779,193
130,703,gym,22,Grass,25,Ice,2.0,sun,1.0,water,focus_sash,1.0,20,100,1,0,1.0,4.2,67.3,5,1,215,0,0.6179,0.631,0.383,6234
131,1012,trainer,35,Rock,30,Water,2.0,clear,1.0,water,berry,1.0,83,69,0,0,1.0,0.0,32.3,4,0,14,0,0.567,0.122,0.54,0
132,1399,gym,44,Grass,51,Poison,1.0,rain,1.0,mountain,choice_band,1.3,48,100,1,0,1.0,22.3,54.4,4,1,468,1,0.5039,0.772,0.625,12781
133,133,wild,35,Water,32,Rock,0.5,rain,1.5,grass,berry,1.0,56,71,1,0,1.0,14.2,47.2,3,0,0,0,0.4766,0.327,0.587,133
134,812,wild,23,Ice,9,Fighting,1.0,clear,1.0,cave,choice_band,1.3,74,96,1,0,1.0,27.4,48.8,5,0,4,1,0.5999,0.573,0.453,0
135,549,wild,42,Electric,23,Electric,1.0,clear,1.0,grass,none,1.0,50,92,1,0,1.0,25.1,34.8,5,1,79,0,0.5875,0.535,0.306,1197
136,57,wild,87,Fire,48,Fire,0.5,sandstorm,1.0,grass,none,1.0,91,85,1,0,1.0,44.6,59.0,5,1,231,0,0.6784,0.798,0.209,2412
137,605,trainer,30,Poison,33,Flying,0.5,hail,1.0,mountain,berry,1.0,65,88,1,0,1.0,11.2,57.8,2,0,0,0,0.4323,0.144,0.783,0
138,1052,wild,64,Fighting,40,Water,1.0,sandstorm,1.0,cave,focus_sash,1.0,65,100,1,0,1.0,55.2,79.8,5,1,202,0,0.7415,0.64,0.097,2100
139,402,gym,56,Fire,55,Fire,0.5,clear,1.0,mountain,focus_sash,1.0,94,100,1,0,1.0,36.4,48.5,1,1,534,0,0.4602,0.786,0.103,13883
140,1063,gym,44,Bug,51,Ghost,1.0,sandstorm,1.0,urban,leftovers,1.05,103,75,1,1,1.5,75.7,58.8,1,1,535,0,0.5809,0.662,0.35,12663
141,406,elite_four,49,Ice,58,Electric,0.5,clear,1.0,grass,choice_band,1.3,46,92,1,0,1.0,19.6,39.4,5,0,0,0,0.3695,0.256,0.732,0
142,1598,trainer,66,Electric,59,Dragon,1.0,sandstorm,1.0,grass,none,1.0,111,86,1,0,1.0,80.1,43.8,2,0,0,0,0.6174,0.374,0.706,0
143,744,wild,56,Ground,43,Electric,1.0,rain,1.0,grass,berry,1.0,92,97,1,0,1.0,47.4,50.3,3,1,226,1,0.6225,0.581,0.185,2122
144,84,trainer,37,Rock,34,Fighting,1.0,sun,1.0,cave,choice_band,1.3,60,66,0,0,1.0,0.4,68.5,6,0,0,0,0.5614,0.502,0.568,0
145,1144,wild,36,Rock,12,Normal,1.0,clear,1.0,mountain,berry,1.0,48,73,1,0,1.0,26.0,55.8,5,1,91,0,0.6611,0.824,0.519,718
146,1270,trainer,23,Psychic,35,Ice,1.0,clear,1.0,urban,none,1.0,99,100,1,0,1.0,19.6,61.5,2,0,0,1,0.4933,0.605,0.741,0
147,334,wild,50,Psychic,26,Fire,1.0,clear,1.0,urban,none,1.0,95,91,1,0,1.0,44.1,35.4,9,1,149,0,0.6352,0.966,0.207,1246
148,1001,wild,62,Flying,44,Flying,1.0,sandstorm,1.0,grass,none,1.0,68,100,1,1,1.5,73.2,45.8,3,0,39,0,0.6646,0.333,0.884,0
149,1879,trainer,71,Ice,71,Normal,0.5,clear,1.0,grass,none,1.0,90,86,1,0,1.0,40.4,49.2,3,0,42,1,0.4619,0.372,0.726,0
150,1088,trainer,47,Poison,17,Grass,1.0,rain,1.0,urban,berry,1.0,66,89,1,1,1.5,49.8,60.3,3,0,26,0,0.7215,0.165,0.776,61
151,345,wild,24,Bug,12,Bug,0.5,clear,1.0,grass,focus_sash,1.0,91,86,1,1,1.5,18.8,55.0,1,1,70,0,0.5094,0.657,0.17,584
152,373,elite_four,21,Ghost,50,Bug,0.5,sun,1.0,urban,none,1.0,89,76,1,0,1.0,13.4,28.5,2,0,11,1,0.2545,0.135,0.453,84
153,751,gym,57,Grass,59,Flying,1.0,sandstorm,1.0,urban,focus_sash,1.0,77,91,1,0,1.0,47.2,75.1,3,0,1,0,0.6099,0.641,0.463,33
154,1884,elite_four,55,Fire,61,Ghost,1.0,clear,1.0,grass,none,1.0,81,98,1,0,1.0,47.7,38.0,4,0,2,0,0.4996,0.633,0.74,36
155,1052,wild,51,Rock,38,Ground,1.0,rain,1.0,grass,focus_sash,1.0,72,76,1,0,1.0,45.5,79.8,9,0,0,0,0.6869,0.306,0.441,11
156,732,wild,39,Rock,29,Fire,1.0,rain,1.0,urban,none,1.0,74,90,1,0,1.0,27.6,32.4,4,1,127,0,0.5404,0.846,0.379,1530
157,573,wild,34,Poison,32,Normal,0.5,rain,1.0,cave,none,1.0,82,84,0,0,1.0,8.6,45.0,1,0,6,0,0.4222,0.474,0.977,0
158,1269,wild,42,Bug,27,Flying,1.0,clear,1.0,grass,focus_sash,1.0,91,100,1,0,1.0,53.2,72.7,5,1,147,1,0.6885,0.762,0.266,1304
159,372,elite_four,42,Fighting,50,Grass,1.0,hail,1.0,urban,leftovers,1.05,73,100,1,0,1.0,23.9,41.4,5,0,0,0,0.4684,0.17,0.775,116
