pokemon_id,happiness_score,above_threshold,trainer_pressed_b,evolved,pokemon_level,friendship_days,trainer_skill,pokemon_species,battle_performance_post,battle_performance_itt,y0,y1
57,172.0,0,0,0,30,32,50.0,Chansey,67.2,72.7,66.2,85.1
58,232.8,1,0,1,25,66,39.8,Togepi,92.8,90.1,77.7,76.5
59,211.6,0,0,0,31,50,42.4,Eevee,72.2,84.2,71.9,89.4
60,265.7,1,0,1,40,88,69.9,Togepi,107.7,102.3,97.3,100.3
61,219.4,0,0,0,25,73,54.3,Pichu,76.6,80.6,73.6,86.4
62,258.0,1,0,1,25,92,63.4,Togepi,89.4,92.9,81.6,92.6
63,212.8,0,0,0,26,48,66.5,Pichu,66.1,74.4,77.4,86.9
64,222.8,1,0,1,24,59,81.0,Chansey,89.8,89.4,77.4,88.1
65,264.6,1,0,1,38,97,68.8,Chansey,99.2,92.5,83.2,97.3
66,218.8,0,0,0,29,63,43.2,Togepi,75.7,76.9,80.1,81.5
67,197.0,0,0,0,36,40,81.2,Pichu,65.8,75.2,70.1,85.8
68,256.4,1,0,1,34,70,54.2,Pichu,96.0,95.6,87.3,103.7
69,229.0,1,0,1,28,57,63.1,Golbat,84.0,85.4,80.2,86.1
70,253.2,1,0,1,51,80,76.8,Chansey,102.9,107.2,93.9,100.7
71,200.4,0,0,0,42,55,53.1,Togepi,90.9,84.9,82.2,96.7
72,154.7,0,0,0,30,31,59.9,Chansey,73.7,64.3,71.0,81.5
73,233.9,1,0,1,41,59,53.6,Togepi,101.6,81.3,81.5,96.7
74,225.5,1,0,1,18,62,47.0,Eevee,88.9,81.8,80.7,86.2
75,225.7,1,0,1,33,64,40.2,Togepi,79.4,92.6,79.4,85.3
76,238.5,1,0,1,32,77,31.5,Chansey,99.2,96.6,72.9,98.7
77,258.8,1,0,1,35,81,59.4,Eevee,98.0,94.0,83.0,101.6
78,226.3,1,0,1,26,63,65.2,Pichu,88.9,85.8,73.5,81.1
79,224.1,1,0,1,41,65,39.6,Pichu,93.5,89.2,86.6,83.9
80,209.6,0,0,0,33,53,28.4,Golbat,76.3,67.9,65.5,76.8
81,194.9,0,0,0,32,38,34.0,Pichu,69.0,71.6,72.2,85.0
82,200.5,0,0,0,34,46,46.8,Togepi,68.8,79.4,78.6,86.8
83,212.4,0,0,0,38,58,37.9,Golbat,74.3,68.3,68.4,82.6
84,197.3,0,0,0,32,48,32.3,Pichu,66.4,76.7,74.0,83.4
85,150.0,0,0,0,29,34,88.1,Togepi,78.2,76.6,70.7,87.5
86,191.9,0,0,0,37,46,41.8,Pichu,66.3,73.1,78.9,86.0
87,183.8,0,0,0,18,36,39.3,Eevee,60.7,68.1,74.6,82.3
88,210.4,0,0,0,38,43,48.6,Togepi,83.8,77.9,75.2,80.9
89,225.9,1,0,1,29,58,74.7,Pichu,94.5,92.3,80.1,94.1
90,216.0,0,0,0,32,50,51.8,Golbat,69.5,75.3,76.7,79.9
91,201.9,0,0,0,27,57,58.4,Pichu,82.0,68.6,80.1,85.9
92,249.2,1,0,1,27,76,56.0,Pichu,85.6,89.0,75.1,94.2
93,195.4,0,0,0,54,38,59.8,Pichu,77.0,77.7,81.5,90.3
94,199.1,0,0,0,29,46,55.6,Golbat,67.8,73.0,79.5,80.1
95,177.0,0,0,0,27,33,51.0,Eevee,67.6,67.2,67.6,81.1
96,225.0,1,0,1,37,63,55.9,Pichu,92.9,90.3,86.1,93.8
97,217.3,0,0,0,44,48,48.4,Chansey,81.1,82.6,77.6,98.0
98,280.0,1,0,1,24,92,73.5,Pichu,97.9,100.0,89.7,104.9
99,193.0,0,0,0,31,46,39.9,Eevee,68.7,74.6,73.7,83.6
100,197.0,0,0,0,28,51,73.0,Togepi,75.5,76.7,76.3,82.8
101,232.0,1,0,1,32,57,63.7,Togepi,83.6,93.2,78.4,90.3
102,240.8,1,0,1,31,73,57.0,Pichu,98.8,90.8,79.9,98.0
103,150.0,0,0,0,23,14,55.9,Pichu,63.9,58.7,70.1,67.9
104,229.4,1,0,1,27,66,42.2,Eevee,87.3,83.3,79.9,97.2
105,224.5,1,0,1,29,74,49.7,Pichu,93.4,85.3,82.3,90.2
106,246.1,1,0,1,37,68,34.5,Golbat,95.9,83.7,84.0,87.5
107,264.3,1,0,1,38,100,35.5,Pichu,101.1,101.4,88.2,97.2
108,235.6,1,0,1,33,65,70.4,Togepi,97.8,87.9,84.1,102.9
109,252.2,1,0,1,28,66,58.2,Chansey,99.6,97.5,84.5,101.8
110,204.2,0,0,0,21,48,49.9,Pichu,82.0,69.5,65.8,87.7
111,233.6,1,0,1,27,73,44.9,Togepi,91.1,84.7,79.9,86.7
112,235.8,1,0,1,28,55,28.5,Golbat,89.2,77.0,75.6,81.8
113,280.0,1,0,1,17,100,67.9,Golbat,99.8,95.5,72.5,94.4
114,235.5,1,0,1,30,69,60.1,Pichu,89.8,96.9,72.2,100.0
115,203.3,0,0,0,27,52,82.9,Golbat,86.6,84.9,80.8,91.7
116,183.7,0,0,0,37,43,57.6,Eevee,63.3,83.2,79.9,84.6
117,195.7,0,0,0,28,51,50.8,Pichu,63.5,71.2,69.5,74.3
118,219.1,0,0,0,39,49,53.5,Chansey,81.7,83.7,80.3,93.3
119,192.8,0,0,0,27,45,47.7,Golbat,77.4,74.2,73.7,87.1
120,211.7,0,0,0,30,60,26.7,Togepi,64.9,76.0,77.0,91.7
121,276.0,1,0,1,31,89,65.5,Eevee,102.8,87.2,86.0,90.3
122,219.3,0,0,0,28,63,51.8,Pichu,68.4,82.7,77.2,87.9
123,237.9,1,0,1,43,80,38.7,Pichu,87.5,94.5,87.2,90.6
124,223.9,1,0,1,31,59,33.2,Chansey,91.2,91.9,77.4,79.6
125,193.2,0,0,0,24,46,19.7,Eevee,67.6,70.7,58.3,82.7
126,193.9,0,0,0,17,58,55.0,Golbat,68.1,67.5,71.3,84.0
127,206.9,0,0,0,38,63,51.1,Pichu,73.0,77.6,86.3,86.2
128,222.1,1,0,1,26,52,42.7,Chansey,89.6,78.2,69.2,82.9
129,229.9,1,1,0,33,58,45.5,Golbat,76.0,90.8,79.9,98.4
130,217.6,0,0,0,34,70,54.9,Golbat,90.1,72.2,80.2,101.1
131,237.7,1,0,1,30,54,40.7,Eevee,84.9,87.0,81.3,92.4
132,224.1,1,0,1,29,69,62.0,Togepi,87.0,80.4,83.8,96.6
133,219.5,0,0,0,36,63,46.1,Chansey,70.8,74.5,66.1,87.5
134,208.4,0,0,0,29,67,23.3,Chansey,69.4,68.9,75.1,91.6
135,280.0,1,0,1,27,90,54.5,Eevee,98.9,90.9,87.3,98.6
136,218.1,0,0,0,32,50,43.1,Chansey,77.2,73.2,71.6,93.0
137,189.7,0,0,0,33,47,34.9,Chansey,68.9,74.3,70.0,82.8
138,200.6,0,0,0,27,55,21.7,Eevee,70.5,73.0,70.0,87.2
139,243.7,1,0,1,29,62,53.3,Eevee,85.3,91.3,79.5,96.7
140,215.2,0,0,0,20,76,45.7,Pichu,70.1,71.4,70.6,82.6
141,241.8,1,1,0,34,62,48.5,Chansey,86.5,84.9,83.6,97.0
142,180.8,0,0,0,22,43,50.2,Golbat,71.1,71.9,69.4,73.9
143,209.5,0,0,0,36,70,32.3,Golbat,75.3,71.7,68.5,79.6
144,237.3,1,0,1,18,85,56.2,Golbat,87.7,89.3,78.6,83.5
145,192.6,0,0,0,28,44,48.2,Togepi,63.5,69.3,72.3,92.9
146,239.4,1,0,1,19,94,65.2,Golbat,93.3,97.6,77.9,93.7
147,215.5,0,0,0,28,54,51.9,Eevee,66.6,72.1,72.3,85.7
148,180.2,0,0,0,20,38,53.8,Eevee,73.2,70.1,71.2,79.9
149,222.5,1,0,1,50,65,62.7,Togepi,101.9,98.6,85.9,94.1
150,246.2,1,0,1,33,65,64.6,Golbat,99.1,82.5,77.9,91.5
151,221.3,1,1,0,23,66,60.8,Eevee,79.2,87.6,75.3,89.1
152,236.3,1,0,1,25,63,53.5,Togepi,90.1,89.1,75.1,84.3
153,227.3,1,0,1,26,71,49.5,Togepi,84.1,85.2,74.2,89.2
154,235.7,1,0,1,17,76,73.3,Chansey,86.3,87.3,76.6,88.9
155,200.9,0,0,0,27,35,41.1,Pichu,80.2,74.2,76.6,78.7
156,196.6,0,0,0,37,61,64.3,Chansey,72.2,78.3,76.1,92.3
157,207.3,0,0,0,28,46,14.8,Pichu,72.5,75.1,67.6,80.7
158,216.0,0,0,0,39,52,71.8,Golbat,84.9,80.9,76.7,87.7
159,222.3,1,0,1,28,62,66.2,Pichu,92.2,92.8,79.7,93.3
160,248.5,1,0,1,22,65,57.5,Togepi,91.9,92.5,76.8,97.8
161,205.4,0,0,0,28,55,64.0,Togepi,79.8,72.4,62.7,83.4
162,263.6,1,0,1,32,73,33.9,Golbat,91.5,88.4,81.6,92.9
163,246.4,1,0,1,30,69,42.1,Eevee,87.4,96.0,70.7,90.2
164,184.1,0,0,0,17,30,44.8,Golbat,66.4,62.8,69.5,74.4
165,227.5,1,0,1,39,59,43.8,Togepi,95.9,96.3,77.2,89.6
166,192.8,0,0,0,27,56,67.8,Golbat,78.9,70.6,69.7,85.2
167,192.6,0,0,0,27,34,40.0,Togepi,66.0,60.1,67.1,89.6
168,204.2,0,0,0,10,37,40.5,Pichu,70.9,64.0,74.4,79.7
169,221.8,1,0,1,23,57,53.8,Pichu,88.2,85.5,81.6,86.5
170,213.1,0,0,0,40,58,57.0,Golbat,81.6,73.9,83.0,98.1
171,222.7,1,1,0,34,70,19.6,Pichu,73.1,77.4,75.1,96.8
172,200.3,0,0,0,24,55,91.7,Golbat,77.6,83.9,78.3,90.7
173,259.8,1,0,1,23,76,63.7,Pichu,84.3,92.4,80.4,94.5
174,220.5,1,0,1,22,61,48.8,Eevee,87.5,89.1,70.1,94.8
175,226.8,1,1,0,26,71,62.1,Eevee,77.9,84.7,75.2,85.9
176,208.1,0,0,0,29,50,47.6,Togepi,76.6,70.4,68.4,87.4
177,214.7,0,0,0,32,43,71.4,Togepi,84.2,80.8,80.3,91.0
178,222.1,1,0,1,34,46,54.6,Golbat,91.5,85.7,75.0,96.0
179,236.7,1,0,1,28,79,63.2,Eevee,99.3,99.2,81.3,85.4
180,197.2,0,0,0,35,62,61.4,Eevee,73.9,74.7,74.5,95.2
181,198.6,0,0,0,29,59,57.2,Togepi,74.0,79.4,71.5,90.3
182,226.5,1,0,1,37,57,52.1,Chansey,89.8,92.7,79.6,86.3
183,264.1,1,0,1,27,85,83.4,Golbat,92.9,96.9,77.4,95.7
184,258.0,1,0,1,23,66,90.3,Eevee,103.3,101.2,80.9,96.5
185,241.4,1,0,1,36,46,39.0,Golbat,87.2,82.9,87.6,95.0
186,171.8,0,0,0,16,41,51.9,Eevee,65.3,64.6,70.3,81.8
187,190.3,0,0,0,22,24,58.8,Togepi,70.5,62.9,71.2,88.9
188,228.1,1,0,1,23,73,67.8,Togepi,101.4,89.1,83.8,92.5
189,181.4,0,0,0,31,38,85.1,Togepi,78.8,67.1,86.6,93.6
190,169.9,0,0,0,38,29,67.2,Eevee,73.3,76.3,78.2,84.3
191,217.0,0,0,0,31,54,27.4,Chansey,77.2,76.9,75.5,94.9
192,208.4,0,0,0,19,62,51.8,Togepi,73.1,85.0,71.4,80.6
193,174.5,0,0,0,19,23,53.2,Golbat,78.7,68.6,68.6,79.1
194,211.4,0,0,0,22,39,74.8,Chansey,84.0,72.8,84.3,89.9
195,238.1,1,0,1,17,89,65.4,Chansey,95.2,82.6,72.8,93.0
196,270.2,1,0,1,23,69,63.1,Togepi,95.4,99.4,84.3,93.0
197,265.9,1,0,1,29,75,58.1,Togepi,90.1,99.3,78.4,104.6
198,229.7,1,0,1,33,59,24.1,Pichu,89.3,86.6,75.2,88.4
199,217.8,0,0,0,24,59,49.1,Eevee,68.6,71.4,75.9,80.9
200,150.0,0,0,0,30,27,63.4,Togepi,66.3,60.0,68.7,82.9
201,275.5,1,0,1,33,76,48.2,Chansey,102.6,96.9,86.1,103.4
202,245.5,1,0,1,22,85,57.7,Chansey,85.3,89.7,78.7,88.3
203,215.4,0,0,0,37,54,76.7,Golbat,81.6,79.1,79.8,97.1
204,227.6,1,0,1,40,78,56.7,Pichu,92.1,92.3,89.3,90.7
205,207.0,0,0,0,30,50,93.5,Chansey,84.8,77.9,78.3,86.2
206,235.8,1,0,1,28,74,47.8,Togepi,100.9,93.4,73.2,97.1
207,222.0,1,0,1,31,53,76.3,Golbat,97.2,98.2,84.4,96.8
208,268.5,1,0,1,25,81,73.1,Pichu,96.6,91.2,79.7,92.8
209,280.0,1,0,1,33,74,33.3,Eevee,99.3,94.1,88.7,94.0
210,197.6,0,0,0,27,56,39.2,Chansey,72.6,71.9,72.6,83.3
211,272.4,1,0,1,33,83,59.5,Pichu,99.3,95.5,93.9,100.6
212,251.6,1,0,1,30,80,72.6,Eevee,98.6,88.3,87.7,96.5
213,222.3,1,0,1,24,71,49.5,Togepi,86.8,86.5,74.6,93.9
214,225.2,1,0,1,40,61,64.2,Togepi,98.4,93.5,84.5,99.9
215,192.8,0,0,0,31,41,60.8,Chansey,74.6,82.6,74.3,87.0
216,213.3,0,0,0,24,49,57.1,Golbat,73.2,76.7,69.6,85.6
217,231.9,1,0,1,29,63,51.9,Pichu,86.6,87.6,81.6,95.6
218,222.2,1,0,1,26,61,76.6,Togepi,79.6,78.9,85.4,86.3
219,201.9,0,0,0,24,33,38.6,Chansey,63.2,67.2,67.5,82.2
220,209.6,0,0,0,34,55,44.0,Eevee,77.3,75.2,81.1,91.8
221,183.8,0,0,0,17,45,78.9,Pichu,62.5,64.7,72.7,77.5
222,232.8,1,0,1,26,71,47.1,Pichu,84.2,92.4,70.3,93.1
223,239.1,1,0,1,26,67,45.8,Pichu,90.3,86.9,69.6,80.9
224,203.3,0,0,0,15,33,49.4,Eevee,70.4,65.1,63.5,75.9
225,213.5,0,0,0,18,50,57.1,Togepi,66.0,66.6,69.0,92.3
226,247.0,1,0,1,35,68,41.3,Eevee,89.4,98.2,83.4,94.0
227,218.3,0,0,0,32,50,59.1,Pichu,70.0,82.1,71.4,94.7
228,221.3,1,0,1,23,53,47.5,Chansey,85.8,89.4,69.4,78.9
229,248.7,1,0,1,31,52,39.9,Chansey,91.3,92.5,82.8,98.8
230,219.3,0,0,0,35,81,53.9,Chansey,78.5,77.7,80.9,92.6
231,259.3,1,0,1,41,90,77.0,Golbat,100.8,101.9,93.7,91.7
232,198.6,0,0,0,28,48,51.2,Togepi,83.6,71.5,75.5,87.6
233,210.5,0,0,0,22,63,54.3,Golbat,73.1,76.2,60.6,83.5
234,214.8,0,0,0,19,63,39.9,Eevee,80.0,76.2,71.7,82.3
235,207.5,0,0,0,26,64,54.8,Eevee,78.4,74.4,70.7,87.4
236,202.8,0,0,0,25,39,52.3,Pichu,74.0,67.7,79.6,86.5
237,257.3,1,0,1,32,90,79.1,Pichu,98.2,95.3,84.1,93.3
238,255.8,1,0,1,28,76,34.1,Chansey,100.4,87.8,73.3,91.4
239,150.7,0,0,0,35,20,61.0,Eevee,70.8,68.0,64.3,87.8
240,181.9,0,0,0,36,30,76.7,Togepi,79.6,72.5,76.9,83.5
241,212.9,0,0,0,39,50,35.9,Chansey,74.4,68.6,72.2,91.1
242,227.3,1,0,1,34,54,48.8,Chansey,92.1,83.7,84.7,94.8
243,233.6,1,1,0,41,65,43.1,Togepi,80.2,85.2,87.8,94.6
244,223.7,1,0,1,35,63,42.6,Eevee,84.5,92.8,81.5,90.3
245,176.1,0,0,0,36,51,64.2,Golbat,71.4,76.4,63.6,87.4
246,179.3,0,0,0,24,53,38.6,Togepi,73.4,70.4,59.2,71.8
247,168.5,0,0,0,12,32,36.0,Chansey,61.0,66.8,72.1,69.2
248,232.3,1,0,1,23,72,16.2,Chansey,81.4,82.5,69.0,81.6
249,157.5,0,0,0,26,31,23.3,Togepi,66.7,62.2,65.3,74.6
250,186.6,0,0,0,25,54,58.7,Golbat,79.7,65.3,72.4,95.5
251,259.8,1,0,1,22,78,72.8,Pichu,101.0,91.1,87.8,102.0
252,255.2,1,1,0,16,77,88.5,Eevee,79.2,88.4,83.8,95.7
253,221.8,1,0,1,36,70,29.5,Eevee,94.2,81.1,70.3,89.4
254,246.0,1,0,1,41,68,36.5,Togepi,104.1,90.8,78.0,94.9
255,238.9,1,0,1,38,65,41.5,Golbat,97.0,99.0,84.1,97.6
256,249.9,1,0,1,35,76,44.3,Golbat,94.1,94.7,75.8,90.2
257,256.1,1,0,1,15,74,58.7,Togepi,91.7,84.4,77.9,82.6
258,280.0,1,0,1,28,91,30.1,Golbat,90.2,94.0,80.3,89.7
259,210.0,0,0,0,38,65,58.1,Pichu,83.0,74.5,74.9,99.0
260,218.3,0,0,0,23,58,47.4,Eevee,69.6,79.9,73.4,91.9
261,250.1,1,0,1,21,66,68.3,Chansey,89.0,89.2,80.0,94.4
262,247.6,1,0,1,31,63,27.8,Eevee,90.0,95.0,76.1,80.7
263,278.7,1,0,1,33,77,65.8,Togepi,99.5,98.4,89.8,91.0
264,225.1,1,0,1,32,69,58.6,Togepi,82.5,93.5,78.7,91.6
265,231.6,1,0,1,38,70,49.9,Eevee,90.0,86.9,83.6,92.1
266,222.5,1,0,1,28,41,45.2,Golbat,85.1,86.3,78.9,86.0
267,190.9,0,0,0,40,46,61.6,Pichu,67.4,77.0,82.2,88.0
268,212.8,0,0,0,32,53,42.2,Golbat,78.7,79.8,78.2,96.7
269,214.1,0,0,0,28,64,52.1,Pichu,73.1,77.8,82.2,89.6
270,205.5,0,0,0,47,57,56.1,Pichu,82.8,83.5,86.1,89.1
271,250.3,1,0,1,32,88,53.1,Pichu,86.8,93.8,83.0,99.5
272,204.7,0,0,0,28,58,54.4,Eevee,75.4,71.0,78.2,85.2
273,255.3,1,0,1,30,67,55.8,Chansey,95.2,90.1,78.5,96.8
274,217.2,0,0,0,37,60,76.8,Pichu,87.5,84.5,82.7,95.7
275,189.5,0,0,0,18,55,60.9,Togepi,70.6,64.5,82.0,87.4
276,197.6,0,0,0,34,56,36.1,Togepi,70.7,76.1,63.5,79.5
277,225.2,1,0,1,24,59,21.9,Eevee,92.2,71.5,75.3,81.5
278,227.9,1,0,1,12,64,51.2,Togepi,82.6,80.2,73.5,90.9
279,158.6,0,0,0,19,3,31.6,Golbat,63.4,63.0,62.8,76.8
280,150.0,0,0,0,35,51,43.9,Pichu,71.4,70.1,68.8,80.1
281,255.2,1,0,1,29,55,51.0,Togepi,90.7,89.1,72.1,99.0
282,193.1,0,0,0,10,45,59.3,Togepi,67.4,60.8,71.2,83.0
283,213.5,0,0,0,25,42,60.5,Pichu,71.4,67.2,75.8,92.9
284,213.3,0,0,0,27,61,57.2,Chansey,72.0,69.1,74.5,90.8
285,233.1,1,0,1,30,82,34.5,Golbat,93.1,88.9,79.0,81.1
286,230.1,1,0,1,15,48,85.7,Togepi,87.0,90.4,76.7,87.2
287,213.8,0,0,0,20,73,27.1,Eevee,72.9,74.7,79.6,76.7
288,258.2,1,0,1,37,85,44.0,Pichu,97.6,100.3,91.1,97.6
289,232.0,1,0,1,24,61,22.1,Eevee,83.4,88.9,69.7,90.6
290,177.4,0,0,0,32,35,55.0,Togepi,64.4,85.3,68.6,76.3
291,184.4,0,0,0,21,57,37.7,Eevee,74.7,77.1,75.2,86.8
292,239.2,1,0,1,14,61,53.8,Togepi,92.9,82.4,84.4,86.6
293,208.9,0,0,0,35,60,69.3,Togepi,76.1,74.1,79.5,84.6
294,231.6,1,0,1,23,75,56.8,Eevee,88.6,83.5,81.8,97.5
295,196.5,0,0,0,30,37,39.4,Togepi,70.5,86.4,66.7,85.0
296,175.8,0,0,0,46,34,58.2,Togepi,79.5,71.5,74.6,99.1
297,202.3,0,0,0,26,58,65.4,Chansey,70.1,81.0,76.9,76.4
298,242.1,1,0,1,24,75,71.3,Golbat,95.2,94.4,80.5,94.9
299,214.0,0,0,0,18,57,26.4,Eevee,72.9,68.1,69.4,85.3
300,173.0,0,0,0,32,51,65.6,Chansey,79.8,77.7,75.8,85.3
301,175.8,0,0,0,29,59,66.1,Pichu,70.2,69.0,67.4,80.4
302,240.1,1,0,1,29,56,100.0,Golbat,93.3,92.9,84.9,103.8
303,269.2,1,0,1,43,98,75.3,Togepi,103.4,91.2,88.2,103.7
304,232.8,1,0,1,29,57,75.3,Eevee,91.0,87.6,80.1,97.1
305,227.5,1,0,1,33,63,33.9,Eevee,91.5,90.7,81.4,88.7
306,202.2,0,0,0,36,38,29.7,Chansey,82.6,82.1,72.6,84.0
307,210.3,0,0,0,22,58,50.9,Chansey,71.9,71.3,75.9,81.7
308,226.7,1,0,1,26,65,45.3,Golbat,100.2,86.8,77.5,95.8
309,198.0,0,0,0,23,55,60.4,Eevee,68.9,76.6,73.2,89.4
310,248.1,1,1,0,36,93,45.0,Golbat,89.7,92.5,83.0,89.9
311,230.1,1,0,1,35,68,53.0,Pichu,97.0,86.5,82.4,86.7
312,238.9,1,1,0,23,62,14.4,Chansey,71.9,81.9,62.7,83.1
313,228.6,1,0,1,24,92,69.6,Pichu,88.7,92.7,79.9,93.7
314,223.2,1,0,1,27,76,55.9,Eevee,86.3,95.0,68.8,93.5
315,218.5,0,0,0,29,76,34.3,Chansey,76.1,79.0,75.4,87.5
316,243.4,1,0,1,32,66,60.4,Golbat,96.7,89.0,80.3,93.8
317,205.5,0,0,0,30,32,57.9,Pichu,81.6,76.3,76.0,79.4
318,218.2,0,0,0,28,48,55.2,Golbat,75.9,80.1,87.6,86.2
319,246.9,1,0,1,44,90,55.0,Golbat,94.8,100.2,91.2,94.8
320,243.7,1,0,1,23,70,46.8,Pichu,89.7,85.4,68.4,81.3
321,244.6,1,0,1,34,66,43.6,Togepi,101.0,88.1,82.9,92.2
322,280.0,1,0,1,29,100,32.5,Eevee,102.8,98.2,91.0,90.9
323,218.1,0,0,0,11,62,65.7,Pichu,70.9,71.1,67.0,80.7
324,173.7,0,0,0,39,33,89.6,Golbat,81.9,66.3,76.1,101.9
325,231.4,1,0,1,37,50,24.1,Golbat,78.4,87.7,82.6,88.0
326,201.2,0,0,0,24,39,46.7,Pichu,70.0,72.1,76.4,80.9
327,181.9,0,0,0,26,58,44.4,Chansey,67.9,68.1,78.6,74.3
328,195.8,0,0,0,19,36,76.1,Pichu,68.5,77.2,75.8,86.1
329,196.3,0,0,0,34,40,55.8,Chansey,68.5,77.1,70.6,84.7
330,239.5,1,0,1,20,64,60.3,Pichu,85.0,89.2,71.8,89.4
331,177.2,0,0,0,28,30,27.9,Chansey,68.1,73.0,62.0,86.4
332,235.0,1,0,1,25,68,63.2,Eevee,98.2,85.2,81.0,87.6
333,187.9,0,0,0,28,65,60.6,Eevee,76.5,76.5,73.2,87.5
334,204.9,0,0,0,24,55,40.4,Togepi,68.5,73.4,64.5,85.3
335,219.0,0,0,0,39,62,57.4,Togepi,78.0,81.4,85.7,91.3
336,235.7,1,0,1,26,62,35.5,Golbat,83.1,87.0,75.2,91.6
337,231.2,1,0,1,27,70,43.3,Golbat,97.3,92.1,77.9,93.3
