trainer_id,trainer_name,hometown,starter_type,starter_species,team_size,team_level_avg,team_level_max,team_avg_iv_total,team_avg_ev_total,type_diversity,trainer_experience,play_hours,strategy_score,wealth,cave_training,safari_zone_visits,dept_store_spending,potions_purchased,revives_used,tm_count,exp_share_used,held_item_count,rare_candy_used,gym_pokemon_center_visits,fishing_attempts,traded_pokemon_count,team_happiness_avg,team_friendship_max,badges,elite_four_attempted,elite_four_wins,champion_defeated,hall_of_fame_time,total_battles_won,total_pokemon_caught,pokedex_completion,patience,natural_talent,dedication,hometown_gym_type,region
33,Blaine_7548,Saffron City,Fire,Charmander,6,24.0,45.6,73.5,227.4,4,1.3,350,77.2,4,1,6,2266,45,7,7,0,1,0,45,9,2,170.7,187.4,5,0,0,0,,123,61,40.4,90.06,78.2,75.52,Psychic,Kanto
34,Bugsy_4717,Celadon City,Water,Squirtle,4,38.3,39.6,48.9,252.2,1,3.8,213,57.0,4,1,6,2653,30,8,7,0,4,1,22,12,0,171.2,171.5,3,0,0,0,,106,60,39.7,63.28,49.64,31.91,Grass,Kanto
35,Karen_5994,Vermilion City,Fire,Charmander,5,31.8,51.2,84.1,266.0,6,0.5,445,60.9,3,1,2,1795,63,10,13,1,1,0,55,9,1,175.5,207.3,5,0,0,0,,45,68,45.0,85.3,66.58,73.16,Electric,Kanto
36,Green_9137,Vermilion City,Fire,Charmander,5,42.9,51.7,38.1,309.9,4,3.6,437,35.8,4,1,0,2178,54,7,21,0,3,1,38,3,1,124.3,147.1,4,0,0,0,,144,50,33.1,17.38,9.86,79.83,Electric,Kanto
37,Lara_5841,Celadon City,Water,Squirtle,5,34.4,38.3,68.0,252.7,5,1.8,324,30.9,4,1,0,2384,43,10,9,1,2,0,38,7,1,146.8,147.4,3,0,0,0,,124,51,33.8,31.23,22.28,44.42,Grass,Kanto
38,Gary_5272,Cinnabar Island,Grass,Bulbasaur,6,46.7,47.0,87.2,172.5,2,3.9,429,61.9,3,0,2,1986,53,8,5,0,3,1,45,4,1,168.4,170.0,5,0,0,0,,93,38,25.2,24.76,77.3,73.58,Fire,Kanto
39,Crystal_5152,Celadon City,Fire,Charmander,3,34.1,37.1,47.8,248.3,3,2.3,502,28.3,5,1,1,2364,65,11,9,1,2,0,72,5,1,170.0,174.3,2,0,0,0,,21,68,45.0,13.1,31.92,87.57,Grass,Kanto
40,Crystal_2070,Celadon City,Grass,Bulbasaur,6,39.1,40.4,63.2,233.6,5,3.7,532,48.9,5,0,3,2738,64,12,17,1,2,1,63,2,0,148.8,153.9,5,0,0,0,,110,72,47.7,28.53,22.57,86.98,Grass,Kanto
41,Surge_8779,Celadon City,Grass,Bulbasaur,6,30.5,37.0,87.0,141.8,1,1.5,175,65.2,2,0,4,1134,20,3,0,0,3,0,22,1,1,133.6,139.5,4,0,0,0,,127,37,24.5,30.36,96.44,15.19,Grass,Kanto
42,Daisy_4763,Pewter City,Water,Squirtle,5,59.9,70.4,40.6,310.1,1,9.2,487,34.4,3,1,4,1645,52,9,12,0,3,0,57,7,2,159.4,192.2,4,0,0,0,,126,67,44.4,72.09,0.3,54.77,Rock,Kanto
43,Bruno_4590,Cerulean City,Water,Squirtle,5,24.8,28.1,37.3,94.3,2,1.8,118,50.8,3,0,3,1378,16,4,6,0,2,2,25,2,0,159.2,180.8,2,0,0,0,,87,35,23.2,75.38,4.98,1.1,Water,Kanto
44,Lorelei_8672,Vermilion City,Fire,Charmander,6,71.2,78.9,69.1,175.0,4,10.0,465,38.0,4,0,0,2392,60,13,14,1,2,2,59,4,0,169.5,175.3,6,0,0,0,,149,42,27.8,44.24,50.04,76.51,Electric,Kanto
45,Sabrina_7162,Cerulean City,Water,Squirtle,5,52.3,70.3,83.0,251.4,2,4.8,238,56.3,2,1,2,1256,35,8,12,0,3,0,33,6,0,150.6,164.4,5,0,0,0,,124,34,22.5,75.66,86.7,29.35,Water,Kanto
46,Ash_4712,Vermilion City,Fire,Charmander,3,35.3,35.7,56.2,90.4,3,2.4,108,27.4,3,0,0,1485,7,4,6,0,3,0,19,3,2,140.2,172.0,1,0,0,0,,89,25,16.6,13.58,17.89,2.47,Electric,Kanto
47,Yellow_3380,Vermilion City,Grass,Bulbasaur,6,56.7,74.2,41.5,268.8,1,9.4,422,49.0,3,1,0,1646,51,11,10,1,1,2,46,7,0,139.2,142.4,4,0,0,0,,104,48,31.8,3.92,9.9,58.41,Electric,Kanto
48,Giovanni_7011,Cinnabar Island,Fire,Charmander,6,33.3,46.3,66.4,246.9,2,4.1,361,56.9,3,1,4,1812,48,8,10,1,3,1,39,6,2,126.5,137.1,5,0,0,0,,53,65,43.0,91.2,50.24,58.81,Fire,Kanto
49,Will_6745,Celadon City,Fire,Charmander,6,25.3,41.5,49.3,158.8,4,0.5,259,46.1,4,0,2,2956,39,5,4,0,1,4,43,6,0,150.9,174.8,3,0,0,0,,64,41,27.2,72.35,21.07,32.43,Grass,Kanto
50,Bill_4845,Pallet Town,Grass,Bulbasaur,3,20.7,32.1,59.7,213.3,2,0.3,149,39.5,2,1,1,830,19,2,5,1,0,0,22,7,0,140.0,145.9,2,0,0,0,,62,19,12.6,54.98,24.28,22.94,None,Kanto
51,Red_9183,Pewter City,Water,Squirtle,3,52.9,66.3,55.8,243.7,2,8.1,483,44.8,4,1,0,2221,46,17,11,1,4,1,48,5,3,123.9,146.4,5,0,0,0,,135,48,31.8,28.14,29.26,65.92,Rock,Kanto
52,Lance_5278,Saffron City,Grass,Bulbasaur,6,37.1,38.4,92.2,170.8,2,0.7,437,40.5,4,0,3,2222,52,9,10,0,2,2,43,4,1,156.7,158.3,2,0,0,0,,71,65,43.0,21.81,76.96,89.33,Psychic,Kanto
53,Misty_6407,Pallet Town,Water,Squirtle,6,46.2,50.7,62.1,233.3,2,5.8,466,71.3,3,1,4,1440,60,11,10,1,2,1,50,12,3,116.8,133.3,7,0,0,0,,132,72,47.7,91.03,40.37,71.09,None,Kanto
54,Janine_8320,Celadon City,Fire,Charmander,5,25.4,31.9,63.4,165.4,2,0.5,365,54.0,2,0,3,1602,42,4,6,1,2,0,61,8,0,147.7,148.3,4,0,0,0,,99,51,33.8,33.35,84.05,56.79,Grass,Kanto
55,James_1775,Cinnabar Island,Water,Squirtle,6,72.6,76.5,47.1,243.1,5,13.0,630,60.4,3,1,4,1733,58,15,10,0,0,2,74,4,3,176.8,188.8,6,0,0,0,,153,97,64.2,65.39,32.44,86.32,Fire,Kanto
56,Erika_9208,Pallet Town,Fire,Charmander,3,39.2,43.0,43.5,223.9,2,4.0,483,39.5,4,0,4,2456,60,8,9,1,3,1,72,10,0,118.3,124.2,4,0,0,0,,144,79,52.3,21.94,23.99,77.29,None,Kanto
57,Erika_8602,Cinnabar Island,Water,Squirtle,1,84.0,84.7,54.8,236.8,4,15.0,535,59.0,4,1,1,2340,63,16,15,0,4,2,72,2,0,117.5,167.6,7,0,0,0,,232,52,34.4,49.68,2.02,67.77,Fire,Kanto
58,Brock_4865,Saffron City,Fire,Charmander,5,39.0,42.6,89.6,235.5,3,3.1,379,42.4,2,1,0,1558,51,9,7,0,2,0,52,1,3,103.1,108.6,3,0,0,0,,87,43,28.5,5.84,89.96,58.34,Psychic,Kanto
59,Aya_7744,Cinnabar Island,Fire,Charmander,3,34.8,35.1,55.2,240.5,4,0.7,401,47.7,4,1,2,2983,47,11,10,0,1,2,38,5,0,109.9,116.8,3,0,0,0,,65,48,31.8,77.81,7.55,66.25,Fire,Kanto
60,Jasmine_6565,Lavender Town,Water,Squirtle,5,74.4,78.1,53.7,263.5,6,15.0,597,94.9,2,1,3,1214,70,14,7,1,3,0,70,6,0,144.1,157.2,8,1,1,1,618.0,189,72,47.7,98.35,64.66,80.47,Ghost,Kanto
61,Jasmine_9099,Vermilion City,Grass,Bulbasaur,6,42.0,45.3,77.0,79.4,6,7.9,163,71.4,3,0,5,1516,22,7,7,0,0,3,33,1,1,127.8,135.0,7,0,0,0,,163,52,34.4,74.27,78.1,22.28,Electric,Kanto
62,Red_2366,Vermilion City,Grass,Bulbasaur,3,41.8,42.9,58.1,187.4,4,1.0,121,60.5,4,1,5,2408,38,8,4,1,2,2,27,2,1,132.2,142.7,7,0,0,0,,107,23,15.2,73.65,54.22,22.8,Electric,Kanto
63,Red_4661,Cinnabar Island,Fire,Charmander,6,15.6,16.6,70.7,150.8,2,0.6,350,73.5,3,0,4,1447,47,6,11,0,1,0,35,6,3,156.2,165.2,4,0,0,0,,66,57,37.7,74.65,76.45,61.59,Fire,Kanto
64,Sabrina_2377,Viridian City,Water,Squirtle,3,46.6,71.3,68.4,281.6,2,5.1,469,60.2,4,1,1,2140,52,6,10,1,3,3,47,5,0,144.0,157.8,6,0,0,0,,57,56,37.1,18.02,63.09,68.26,Ground,Kanto
65,Duplica_4559,Lavender Town,Water,Squirtle,5,25.7,31.9,90.1,153.2,3,0.3,350,38.4,3,0,3,1554,48,8,7,1,2,2,48,4,0,133.1,148.3,2,0,0,0,,29,60,39.7,24.79,95.46,70.6,Ghost,Kanto
66,Clair_8519,Vermilion City,Grass,Bulbasaur,6,25.6,27.7,85.6,244.1,2,0.4,444,58.6,3,1,3,1370,69,5,10,0,2,0,53,7,1,175.0,194.4,2,0,0,0,,125,59,39.1,72.68,89.36,81.16,Electric,Kanto
67,Crystal_7381,Pewter City,Fire,Charmander,6,44.5,52.2,56.7,214.9,3,3.8,301,44.1,4,0,0,1861,44,11,10,1,1,1,35,2,2,135.0,149.5,5,0,0,0,,113,29,19.2,10.54,9.52,49.85,Rock,Kanto
68,Karen_9391,Pewter City,Fire,Charmander,1,39.8,73.6,44.4,136.8,3,2.3,278,19.2,4,0,1,2631,52,6,9,1,2,0,45,2,2,133.9,170.6,2,0,0,0,,112,29,19.2,5.67,0.22,35.86,Rock,Kanto
69,Lara_5460,Cinnabar Island,Water,Squirtle,6,35.5,37.1,46.2,152.6,2,4.5,165,49.9,4,0,5,1826,28,4,0,1,4,4,20,3,1,160.1,178.0,4,0,0,0,,95,36,23.8,64.8,17.88,17.5,Fire,Kanto
70,Bill_8922,Fuchsia City,Water,Squirtle,6,30.9,58.8,43.9,83.0,3,1.0,67,36.9,2,0,4,1343,15,1,0,0,1,0,13,2,2,146.1,165.3,1,0,0,0,,91,32,21.2,31.6,11.9,2.29,Poison,Kanto
71,Bugsy_1128,Pewter City,Fire,Charmander,5,49.1,52.5,43.6,216.8,2,7.0,382,31.5,5,1,0,2930,37,10,6,0,3,2,31,5,0,131.4,136.9,2,0,0,0,,99,34,22.5,5.06,9.4,44.27,Rock,Kanto
72,Silver_9220,Vermilion City,Grass,Bulbasaur,6,28.5,35.9,51.8,200.2,4,4.0,113,48.8,2,1,3,775,18,8,8,1,2,0,19,4,2,157.0,162.4,4,0,0,0,,134,25,16.6,34.02,33.12,7.47,Electric,Kanto
73,Blaine_7602,Cinnabar Island,Grass,Bulbasaur,6,52.9,55.5,66.0,270.0,5,8.5,441,42.2,3,1,3,1505,54,12,9,1,0,0,53,1,2,124.1,132.7,5,0,0,0,,82,61,40.4,51.4,17.7,67.68,Fire,Kanto
74,Lara_5120,Cinnabar Island,Fire,Charmander,6,39.9,73.9,67.8,272.7,1,5.3,464,51.4,5,1,1,2807,49,10,11,1,2,1,61,5,1,117.7,125.2,5,0,0,0,,98,81,53.6,8.01,35.57,67.21,Fire,Kanto
75,Giselle_1402,Pewter City,Fire,Charmander,5,47.4,48.4,47.2,232.1,1,1.8,483,50.8,4,0,4,2400,64,14,11,1,5,0,42,5,3,158.3,195.3,7,0,0,0,,69,75,49.7,61.06,29.07,87.52,Rock,Kanto
76,Giovanni_9725,Celadon City,Grass,Bulbasaur,6,30.2,33.5,59.2,167.4,3,4.6,219,45.5,3,0,1,2385,28,7,10,0,1,1,33,4,0,158.8,160.8,3,0,0,0,,97,18,11.9,10.84,55.49,32.69,Grass,Kanto
77,Green_6270,Pallet Town,Fire,Charmander,6,34.0,40.8,46.4,115.4,1,2.1,273,63.9,1,0,7,571,51,11,2,0,1,1,33,11,0,177.6,195.2,4,0,0,0,,71,60,39.7,88.85,25.76,44.73,None,Kanto
78,Bugsy_1687,Saffron City,Grass,Bulbasaur,3,41.4,46.1,77.3,310.5,2,1.8,638,49.4,5,1,3,2465,71,21,15,0,5,1,65,0,1,148.8,151.3,3,0,0,0,,62,87,57.6,26.35,91.29,94.63,Psychic,Kanto
79,Sabrina_1360,Lavender Town,Fire,Charmander,3,30.7,40.4,44.4,251.5,2,0.5,434,21.1,3,1,5,1329,50,8,15,1,2,0,39,3,2,126.5,128.7,2,0,0,0,,76,56,37.1,39.54,5.88,78.05,Ghost,Kanto
80,Gold_1900,Vermilion City,Grass,Bulbasaur,4,21.2,32.9,68.7,228.7,3,0.6,526,58.6,3,0,1,1534,56,9,13,1,2,3,61,1,1,139.0,140.0,4,0,0,0,,99,63,41.7,16.54,92.2,94.22,Electric,Kanto
81,Surge_2287,Pallet Town,Water,Squirtle,6,56.5,64.5,58.9,247.8,1,14.0,404,65.0,1,1,4,525,34,9,5,0,3,0,55,3,3,135.1,138.3,6,0,0,0,,174,81,53.6,50.12,60.74,43.24,None,Kanto
82,Aya_7599,Pallet Town,Grass,Bulbasaur,3,50.4,60.3,60.1,246.8,3,3.1,403,42.9,3,1,6,1845,49,9,8,1,6,1,50,7,1,161.3,165.4,5,0,0,0,,89,74,49.0,53.93,17.16,79.15,None,Kanto
83,Morty_8446,Celadon City,Fire,Charmander,4,71.3,75.2,59.5,386.1,4,15.0,663,74.3,5,1,1,2965,90,20,18,1,0,2,74,5,1,134.0,134.9,7,0,0,0,,157,82,54.3,30.71,60.67,93.95,Grass,Kanto
84,Chuck_9953,Vermilion City,Grass,Bulbasaur,4,46.1,65.8,80.6,249.3,3,6.4,364,68.5,3,1,7,1222,51,9,4,0,2,0,44,5,1,135.8,163.8,6,0,0,0,,67,59,39.1,30.11,96.74,53.94,Electric,Kanto
85,Ash_3600,Cinnabar Island,Grass,Bulbasaur,5,20.7,56.4,81.6,118.5,1,0.7,163,65.9,3,0,3,2320,20,8,7,0,2,1,25,6,0,164.1,168.4,4,0,0,0,,124,53,35.1,78.76,95.9,18.13,Fire,Kanto
86,Samurai_5243,Cerulean City,Fire,Charmander,6,41.1,44.2,90.4,214.7,3,4.4,378,60.8,3,0,0,1721,52,7,11,0,0,1,53,9,3,143.8,168.5,5,0,0,0,,84,60,39.7,72.01,94.31,63.04,Water,Kanto
87,Aya_2151,Vermilion City,Fire,Charmander,6,38.2,43.8,47.6,230.0,2,2.3,316,45.4,2,1,6,1184,43,5,6,0,0,0,33,5,1,174.0,175.6,3,0,0,0,,81,58,38.4,67.72,29.55,39.65,Electric,Kanto
88,Silver_6537,Pallet Town,Water,Squirtle,2,44.4,54.2,71.4,215.1,6,0.8,420,67.6,2,1,8,1279,48,11,9,0,0,0,56,7,2,138.2,143.1,7,0,0,0,,96,65,43.0,78.87,50.79,69.55,None,Kanto
89,Morty_3058,Viridian City,Water,Squirtle,4,42.3,46.0,71.5,228.5,3,1.8,421,65.1,4,1,6,1665,54,15,9,0,3,1,45,6,2,171.4,181.3,5,0,0,0,,94,60,39.7,98.57,61.1,77.25,Ground,Kanto
90,Misty_8389,Celadon City,Water,Squirtle,3,21.5,31.0,67.4,75.4,1,1.2,10,43.4,3,0,2,2146,16,3,4,0,4,2,8,2,3,132.8,137.8,1,0,0,0,,70,26,17.2,41.36,40.36,1.0,Grass,Kanto
91,Duplica_1647,Pallet Town,Fire,Charmander,5,40.9,54.3,53.8,257.5,1,1.8,413,37.3,3,1,1,1716,61,10,11,0,4,0,47,3,1,153.4,156.6,2,0,0,0,,35,56,37.1,40.37,27.41,83.41,None,Kanto
92,Giovanni_7830,Lavender Town,Water,Squirtle,3,37.0,40.0,49.0,135.2,1,2.5,107,70.7,3,0,4,1503,19,3,3,1,4,1,24,11,2,169.1,175.6,6,0,0,0,,101,37,24.5,88.88,55.17,3.56,Ghost,Kanto
93,Giselle_3746,Viridian City,Fire,Charmander,4,49.0,60.5,80.2,205.0,4,5.0,469,49.0,4,0,4,1504,72,13,8,1,3,1,64,5,0,134.0,162.3,6,0,0,0,,76,69,45.7,30.42,67.03,66.48,Ground,Kanto
94,James_2369,Fuchsia City,Water,Squirtle,6,46.9,47.3,60.6,316.7,3,0.3,498,61.0,3,1,5,2069,58,11,10,1,4,1,67,5,0,177.2,180.0,6,0,0,0,,93,72,47.7,26.7,82.28,82.57,Poison,Kanto
95,Giselle_2266,Viridian City,Water,Squirtle,6,37.2,43.0,46.8,135.3,3,5.7,233,43.6,2,0,3,694,24,11,10,0,0,2,32,2,2,114.3,125.3,2,0,0,0,,110,35,23.2,25.99,17.47,21.91,Ground,Kanto
96,Gary_4117,Pallet Town,Water,Squirtle,5,43.5,63.0,68.9,258.7,2,4.7,259,58.0,4,1,7,2362,43,9,9,1,1,1,30,4,2,135.7,168.1,4,0,0,0,,116,44,29.1,54.33,79.72,42.15,None,Kanto
97,Karen_7630,Pewter City,Fire,Charmander,2,38.6,41.3,58.1,110.8,2,1.2,138,54.9,4,0,4,1599,26,3,4,0,1,2,18,8,4,160.2,170.7,4,0,0,0,,115,41,27.2,91.89,15.37,12.67,Rock,Kanto
98,Samurai_1594,Lavender Town,Fire,Charmander,1,20.0,23.7,33.4,93.2,3,0.6,229,24.2,2,0,1,1601,38,8,4,0,2,0,18,6,0,166.0,175.2,1,0,0,0,,57,50,33.1,53.57,0.28,39.9,Ghost,Kanto
99,Todd_3038,Lavender Town,Fire,Charmander,5,41.2,48.3,63.0,256.1,3,1.3,327,37.4,2,1,1,1608,48,5,10,0,3,1,38,5,1,107.0,112.5,2,0,0,0,,134,50,33.1,16.42,58.81,57.11,Ghost,Kanto
100,Lance_4191,Pewter City,Water,Squirtle,3,39.6,43.2,61.0,195.3,2,0.6,514,43.9,3,0,1,2098,74,9,10,0,2,1,74,3,2,134.0,208.1,2,0,0,0,,56,83,55.0,47.93,29.11,88.69,Rock,Kanto
101,Richie_7757,Cerulean City,Fire,Charmander,3,43.5,45.7,53.3,235.8,4,6.7,464,48.4,2,1,4,1337,52,9,14,0,2,1,59,3,2,155.2,165.9,5,0,0,0,,123,76,50.3,58.16,19.05,69.86,Water,Kanto
102,Crystal_1730,Lavender Town,Fire,Charmander,5,46.8,48.4,71.8,186.7,2,4.8,323,47.6,2,0,3,841,40,13,12,1,6,1,33,11,2,200.1,205.3,5,0,0,0,,71,35,23.2,39.76,72.67,46.48,Ghost,Kanto
103,Crystal_5829,Cerulean City,Fire,Charmander,3,25.8,41.1,54.9,154.9,2,2.7,98,40.5,3,0,1,1123,3,6,0,0,1,0,12,2,3,118.4,168.0,2,0,0,0,,109,35,23.2,4.94,10.93,14.03,Water,Kanto
104,Bruno_6867,Pewter City,Fire,Charmander,5,34.0,41.6,77.4,293.9,1,0.3,490,43.5,3,0,0,1551,66,6,4,0,1,1,61,1,1,163.5,176.6,2,0,0,0,,58,63,41.7,22.85,64.11,84.29,Rock,Kanto
