trainer_id,battle_round,opponent,opponent_type,team_level,strategy_score,type_coverage,fatigue,morale,pokemon_health_entering,item_used,item_type,battle_won,damage_taken,damage_dealt,turns,still_in_tournament
5,4,Lance,Dragon,62,41.3,6,24.7,100.0,46.1,0,none,1,21.1,27.8,9,1
6,1,Lorelei,Ice,57,43.7,3,0.0,74.33,100.0,0,none,1,35.8,34.3,4,1
6,2,Bruno,Fighting,57,43.7,3,14.12,87.2,64.2,0,none,1,8.0,35.0,6,1
6,3,Agatha,Ghost,57,43.7,3,27.74,96.99,96.2,1,revive,1,28.5,59.5,6,1
6,4,Lance,Dragon,57,43.7,3,39.46,100.0,67.7,0,none,1,25.7,28.9,5,1
7,1,Lorelei,Ice,61,47.2,3,0.0,69.65,100.0,0,none,1,30.0,30.6,8,1
7,2,Bruno,Fighting,61,47.2,3,11.13,75.85,100.0,1,revive,0,5.9,44.7,5,1
7,3,Agatha,Ghost,61,47.2,3,32.19,53.08,94.1,0,none,0,0.0,0.0,0,0
7,4,Lance,Dragon,61,47.2,3,32.19,53.08,94.1,0,none,0,0.0,0.0,0,0
8,1,Lorelei,Ice,52,86.4,4,0.0,76.31,100.0,0,none,1,15.3,43.7,2,1
8,2,Bruno,Fighting,52,86.4,4,10.31,84.96,84.7,0,none,1,14.2,32.8,6,1
8,3,Agatha,Ghost,52,86.4,4,19.51,100.0,70.5,0,none,1,8.0,36.2,11,1
8,4,Lance,Dragon,52,86.4,4,36.72,100.0,62.5,0,none,1,12.2,54.6,10,1
9,1,Lorelei,Ice,50,47.2,4,0.0,73.8,100.0,0,none,1,27.9,36.6,5,1
9,2,Bruno,Fighting,50,47.2,4,8.53,85.36,72.1,0,none,1,23.5,42.8,5,1
9,3,Agatha,Ghost,50,47.2,4,16.11,100.0,48.6,0,none,1,41.1,52.6,7,1
9,4,Lance,Dragon,50,47.2,4,24.86,100.0,7.5,0,none,0,38.5,36.6,6,1
10,1,Lorelei,Ice,49,70.4,6,0.0,76.09,100.0,0,none,1,19.9,25.1,4,1
10,2,Bruno,Fighting,49,70.4,6,9.26,92.09,80.1,0,none,1,17.8,36.5,9,1
10,3,Agatha,Ghost,49,70.4,6,17.73,100.0,62.3,0,none,1,37.9,38.7,4,1
10,4,Lance,Dragon,49,70.4,6,28.66,100.0,64.4,1,revive,1,8.4,54.3,9,1
11,1,Lorelei,Ice,65,47.3,6,0.0,84.73,100.0,0,none,1,22.7,48.1,8,1
11,2,Bruno,Fighting,65,47.3,6,17.1,94.37,77.3,0,none,1,28.9,38.0,8,1
11,3,Agatha,Ghost,65,47.3,6,24.29,100.0,48.4,0,none,1,40.5,56.3,5,1
11,4,Lance,Dragon,65,47.3,6,33.31,100.0,7.9,0,none,1,41.6,56.7,5,1
12,1,Lorelei,Ice,62,60.7,3,0.0,61.58,100.0,0,none,1,18.2,43.4,7,1
12,2,Bruno,Fighting,62,60.7,3,10.97,71.43,81.8,0,none,1,18.9,46.3,5,1
12,3,Agatha,Ghost,62,60.7,3,18.72,88.07,62.9,0,none,1,27.4,43.9,9,1
12,4,Lance,Dragon,62,60.7,3,32.05,100.0,35.5,0,none,1,30.4,49.0,5,1
13,1,Lorelei,Ice,40,60.9,5,0.0,51.11,100.0,0,none,1,6.1,40.9,12,1
13,2,Bruno,Fighting,40,60.9,5,10.87,61.57,93.9,0,none,1,27.1,34.4,9,1
13,3,Agatha,Ghost,40,60.9,5,19.08,80.34,66.8,0,none,0,32.9,48.0,8,1
13,4,Lance,Dragon,40,60.9,5,35.38,51.82,33.9,0,none,0,0.0,0.0,0,0
14,1,Lorelei,Ice,56,38.9,3,0.0,76.26,100.0,0,none,1,7.3,40.5,7,1
14,2,Bruno,Fighting,56,38.9,3,13.99,81.23,92.7,0,none,0,27.5,48.1,5,1
14,3,Agatha,Ghost,56,38.9,3,28.18,66.08,65.2,0,none,0,0.0,0.0,0,0
14,4,Lance,Dragon,56,38.9,3,28.18,66.08,65.2,0,none,0,0.0,0.0,0,0
15,1,Lorelei,Ice,54,59.7,4,0.0,67.18,100.0,0,none,1,43.4,51.6,4,1
15,2,Bruno,Fighting,54,59.7,4,8.67,76.28,56.6,0,none,1,26.4,41.2,6,1
15,3,Agatha,Ghost,54,59.7,4,19.47,84.72,30.2,0,none,1,6.6,41.7,9,1
15,4,Lance,Dragon,54,59.7,4,28.5,99.5,23.6,0,none,0,29.8,40.7,4,1
16,1,Lorelei,Ice,67,67.1,4,0.0,50.47,100.0,0,none,1,15.2,48.4,8,1
16,2,Bruno,Fighting,67,67.1,4,12.03,67.95,84.8,0,none,0,23.4,48.6,9,1
16,3,Agatha,Ghost,67,67.1,4,31.45,41.14,61.4,0,none,0,0.0,0.0,0,0
16,4,Lance,Dragon,67,67.1,4,31.45,41.14,61.4,0,none,0,0.0,0.0,0,0
17,1,Lorelei,Ice,43,47.7,4,0.0,74.11,100.0,0,none,1,40.9,42.7,5,1
17,2,Bruno,Fighting,43,47.7,4,8.03,82.38,59.1,0,none,1,14.5,47.4,8,1
17,3,Agatha,Ghost,43,47.7,4,17.66,88.0,44.6,0,none,1,46.4,38.2,9,1
17,4,Lance,Dragon,43,47.7,4,25.58,100.0,0.0,0,none,1,21.8,32.3,4,1
18,1,Lorelei,Ice,44,51.4,5,0.0,66.97,100.0,0,none,1,25.8,37.2,7,1
18,2,Bruno,Fighting,44,51.4,5,10.45,82.42,74.2,0,none,1,21.4,61.2,8,1
18,3,Agatha,Ghost,44,51.4,5,20.58,95.79,52.8,0,none,1,30.7,36.7,7,1
18,4,Lance,Dragon,44,51.4,5,27.38,100.0,22.1,0,none,0,19.3,29.4,7,1
19,1,Lorelei,Ice,41,36.3,1,0.0,61.91,100.0,0,none,1,27.2,32.3,4,1
19,2,Bruno,Fighting,41,36.3,1,13.69,80.25,72.8,0,none,0,16.7,27.6,8,1
19,3,Agatha,Ghost,41,36.3,1,32.14,52.7,56.1,0,none,0,0.0,0.0,0,0
19,4,Lance,Dragon,41,36.3,1,32.14,52.7,56.1,0,none,0,0.0,0.0,0,0
20,1,Lorelei,Ice,65,50.6,6,0.0,80.25,100.0,0,none,1,27.1,36.4,5,1
20,2,Bruno,Fighting,65,50.6,6,7.22,93.1,72.9,0,none,1,18.5,55.1,9,1
20,3,Agatha,Ghost,65,50.6,6,17.45,100.0,54.4,0,none,1,36.3,34.5,7,1
20,4,Lance,Dragon,65,50.6,6,25.7,100.0,58.1,1,revive,1,38.8,34.5,7,1
21,1,Lorelei,Ice,66,51.9,5,0.0,60.82,100.0,0,none,1,25.7,49.6,4,1
21,2,Bruno,Fighting,66,51.9,5,10.68,86.12,74.3,0,none,1,18.4,42.8,5,1
21,3,Agatha,Ghost,66,51.9,5,17.77,98.66,55.9,0,none,1,20.8,43.9,7,1
21,4,Lance,Dragon,66,51.9,5,29.8,100.0,65.1,1,potion,1,44.5,46.2,8,1
22,1,Lorelei,Ice,55,28.7,5,0.0,66.52,100.0,0,none,1,21.4,57.1,11,1
22,2,Bruno,Fighting,55,28.7,5,12.82,82.79,78.6,0,none,1,42.3,34.0,5,1
22,3,Agatha,Ghost,55,28.7,5,21.44,93.57,36.3,0,none,1,24.0,38.1,6,1
22,4,Lance,Dragon,55,28.7,5,28.18,100.0,12.3,0,none,1,33.3,52.7,10,1
23,1,Lorelei,Ice,53,71.3,1,0.0,76.67,100.0,0,none,1,11.2,30.7,6,1
23,2,Bruno,Fighting,53,71.3,1,9.68,92.67,88.8,0,none,0,35.0,38.3,6,1
23,3,Agatha,Ghost,53,71.3,1,26.77,70.33,53.8,0,none,0,0.0,0.0,0,0
23,4,Lance,Dragon,53,71.3,1,26.77,70.33,53.8,0,none,0,0.0,0.0,0,0
24,1,Lorelei,Ice,61,46.0,4,0.0,92.41,100.0,1,x_attack,1,23.7,50.2,3,1
24,2,Bruno,Fighting,61,46.0,4,6.26,100.0,76.3,0,none,1,28.5,42.5,4,1
24,3,Agatha,Ghost,61,46.0,4,12.77,100.0,47.8,0,none,1,47.6,43.2,7,1
24,4,Lance,Dragon,61,46.0,4,25.8,100.0,0.2,0,none,1,35.3,52.9,11,1
25,1,Lorelei,Ice,61,54.8,5,0.0,57.93,100.0,0,none,1,8.2,49.2,3,1
25,2,Bruno,Fighting,61,54.8,5,8.15,66.24,91.8,0,none,1,19.9,50.9,8,1
25,3,Agatha,Ghost,61,54.8,5,24.56,73.2,71.9,0,none,1,25.9,44.2,5,1
25,4,Lance,Dragon,61,54.8,5,34.09,93.03,46.0,0,none,1,27.8,62.8,9,1
26,1,Lorelei,Ice,41,57.2,5,0.0,72.01,100.0,0,none,1,34.1,54.3,7,1
26,2,Bruno,Fighting,41,57.2,5,9.27,86.93,65.9,0,none,1,27.4,31.3,5,1
26,3,Agatha,Ghost,41,57.2,5,24.14,99.42,38.5,0,none,1,41.4,36.8,5,1
26,4,Lance,Dragon,41,57.2,5,42.4,100.0,0.0,0,none,0,19.0,51.9,5,1
27,1,Lorelei,Ice,60,70.4,2,0.0,70.17,100.0,0,none,1,1.5,26.8,3,1
27,2,Bruno,Fighting,60,70.4,2,15.03,80.94,98.5,0,none,1,32.5,30.0,6,1
27,3,Agatha,Ghost,60,70.4,2,30.53,90.87,66.0,0,none,1,27.2,44.4,8,1
27,4,Lance,Dragon,60,70.4,2,46.58,100.0,38.8,0,none,1,24.0,38.6,1,1
28,1,Lorelei,Ice,45,37.1,6,0.0,49.69,100.0,0,none,1,22.0,49.8,8,1
28,2,Bruno,Fighting,45,37.1,6,9.11,58.02,78.0,0,none,1,14.6,37.8,5,1
28,3,Agatha,Ghost,45,37.1,6,20.48,77.87,63.4,0,none,1,31.0,38.8,6,1
28,4,Lance,Dragon,45,37.1,6,30.89,94.13,32.4,0,none,0,27.2,39.2,5,1
29,1,Lorelei,Ice,58,70.3,5,0.0,66.09,100.0,0,none,1,9.9,24.5,6,1
29,2,Bruno,Fighting,58,70.3,5,7.89,82.66,90.1,0,none,1,18.6,44.4,7,1
29,3,Agatha,Ghost,58,70.3,5,13.26,89.81,71.5,0,none,1,21.7,45.8,6,1
29,4,Lance,Dragon,58,70.3,5,20.44,100.0,49.8,0,none,1,60.0,25.5,5,1
30,1,Lorelei,Ice,58,64.6,3,0.0,85.75,100.0,0,none,1,18.3,54.4,10,1
30,2,Bruno,Fighting,58,64.6,3,10.51,100.0,81.7,0,none,1,0.0,49.5,7,1
30,3,Agatha,Ghost,58,64.6,3,23.54,100.0,81.7,0,none,1,26.6,23.1,3,1
30,4,Lance,Dragon,58,64.6,3,37.81,100.0,55.1,0,none,1,28.2,43.0,4,1
31,1,Lorelei,Ice,54,66.1,4,0.0,60.46,100.0,0,none,1,20.6,42.1,2,1
31,2,Bruno,Fighting,54,66.1,4,12.76,69.12,79.4,0,none,1,10.7,36.3,6,1
31,3,Agatha,Ghost,54,66.1,4,20.66,80.71,100.0,1,revive,1,20.1,45.6,4,1
31,4,Lance,Dragon,54,66.1,4,34.7,92.23,79.9,0,none,1,26.3,47.4,8,1
32,1,Lorelei,Ice,51,95.5,3,0.0,67.14,100.0,0,none,1,0.0,52.3,5,1
32,2,Bruno,Fighting,51,95.5,3,8.22,76.25,100.0,0,none,1,6.5,47.8,3,1
32,3,Agatha,Ghost,51,95.5,3,20.99,93.42,93.5,0,none,1,14.4,38.9,8,1
32,4,Lance,Dragon,51,95.5,3,30.91,100.0,79.1,0,none,1,23.8,43.4,6,1
33,1,Lorelei,Ice,64,60.8,2,0.0,75.65,100.0,0,none,1,20.3,49.5,4,1
33,2,Bruno,Fighting,64,60.8,2,6.53,86.18,79.7,0,none,1,24.6,36.1,7,1
33,3,Agatha,Ghost,64,60.8,2,10.83,100.0,55.1,0,none,1,20.6,60.4,5,1
33,4,Lance,Dragon,64,60.8,2,21.64,100.0,34.5,0,none,1,32.0,27.2,7,1
34,1,Lorelei,Ice,65,85.0,6,0.0,58.42,100.0,0,none,1,0.0,53.1,6,1
34,2,Bruno,Fighting,65,85.0,6,8.39,72.17,100.0,0,none,1,27.7,58.5,8,1
34,3,Agatha,Ghost,65,85.0,6,18.43,76.48,72.3,0,none,1,11.0,56.1,7,1
34,4,Lance,Dragon,65,85.0,6,28.65,88.75,61.3,0,none,1,39.1,64.7,5,1
35,1,Lorelei,Ice,54,69.0,6,0.0,79.4,100.0,0,none,1,33.2,45.5,4,1
35,2,Bruno,Fighting,54,69.0,6,8.87,100.0,66.8,0,none,1,27.8,31.0,6,1
35,3,Agatha,Ghost,54,69.0,6,17.11,100.0,39.0,0,none,1,12.1,57.3,9,1
35,4,Lance,Dragon,54,69.0,6,28.49,100.0,26.9,0,none,0,35.1,39.4,8,1
36,1,Lorelei,Ice,67,73.5,4,0.0,76.56,100.0,0,none,1,40.3,46.4,6,1
36,2,Bruno,Fighting,67,73.5,4,8.69,85.91,59.7,0,none,1,10.6,67.0,5,1
36,3,Agatha,Ghost,67,73.5,4,20.45,100.0,49.1,0,none,1,17.9,48.9,8,1
36,4,Lance,Dragon,67,73.5,4,27.6,100.0,71.2,1,revive,1,10.0,45.1,6,1
37,1,Lorelei,Ice,45,70.3,6,0.0,78.04,100.0,0,none,1,8.4,44.3,8,1
37,2,Bruno,Fighting,45,70.3,6,12.89,92.37,91.6,0,none,0,40.7,31.0,6,1
37,3,Agatha,Ghost,45,70.3,6,28.31,73.93,50.9,0,none,0,0.0,0.0,0,0
37,4,Lance,Dragon,45,70.3,6,28.31,73.93,50.9,0,none,0,0.0,0.0,0,0
38,1,Lorelei,Ice,55,39.7,3,0.0,80.73,100.0,0,none,1,34.1,29.1,8,1
38,2,Bruno,Fighting,55,39.7,3,7.56,94.73,65.9,0,none,1,13.5,61.6,6,1
38,3,Agatha,Ghost,55,39.7,3,15.1,100.0,52.4,0,none,1,7.3,47.5,6,1
38,4,Lance,Dragon,55,39.7,3,22.88,100.0,45.1,0,none,0,46.4,44.5,7,1
39,1,Lorelei,Ice,63,83.9,5,0.0,62.17,100.0,0,none,1,0.0,45.1,9,1
39,2,Bruno,Fighting,63,83.9,5,13.12,86.39,100.0,0,none,1,23.8,21.0,7,1
39,3,Agatha,Ghost,63,83.9,5,24.24,100.0,76.2,0,none,1,25.6,47.7,7,1
39,4,Lance,Dragon,63,83.9,5,30.71,100.0,100.0,1,full_restore,1,14.9,51.0,6,1
40,1,Lorelei,Ice,59,63.5,2,0.0,67.68,100.0,0,none,1,34.9,45.0,6,1
40,2,Bruno,Fighting,59,63.5,2,11.43,78.2,65.1,0,none,1,3.7,22.2,9,1
40,3,Agatha,Ghost,59,63.5,2,20.55,99.11,91.4,1,potion,1,22.2,58.5,8,1
40,4,Lance,Dragon,59,63.5,2,29.94,100.0,69.2,0,none,1,20.9,57.7,2,1
41,1,Lorelei,Ice,52,59.0,2,0.0,64.32,100.0,0,none,1,6.5,29.6,8,1
41,2,Bruno,Fighting,52,59.0,2,9.02,77.37,93.5,0,none,1,28.6,39.6,6,1
41,3,Agatha,Ghost,52,59.0,2,19.44,94.49,64.9,0,none,1,5.3,33.3,6,1
41,4,Lance,Dragon,52,59.0,2,32.05,100.0,59.6,0,none,1,32.8,44.1,9,1
42,1,Lorelei,Ice,58,56.9,6,0.0,65.65,100.0,0,none,1,12.6,44.2,3,1
42,2,Bruno,Fighting,58,56.9,6,10.42,77.96,87.4,0,none,1,9.8,36.7,3,1
42,3,Agatha,Ghost,58,56.9,6,19.29,88.74,77.6,0,none,1,9.5,44.2,6,1
42,4,Lance,Dragon,58,56.9,6,26.04,99.52,68.1,0,none,1,32.7,50.1,9,1
43,1,Lorelei,Ice,58,45.0,5,0.0,72.33,100.0,0,none,1,22.1,54.6,2,1
43,2,Bruno,Fighting,58,45.0,5,14.79,88.15,77.9,0,none,1,33.0,47.5,7,1
43,3,Agatha,Ghost,58,45.0,5,23.14,100.0,84.9,1,revive,1,24.7,42.6,4,1
43,4,Lance,Dragon,58,45.0,5,30.31,100.0,60.2,0,none,1,46.8,36.2,8,1
44,1,Lorelei,Ice,47,70.8,2,0.0,81.14,100.0,0,none,1,22.0,23.9,3,1
44,2,Bruno,Fighting,47,70.8,2,9.01,92.74,78.0,0,none,1,0.0,28.0,8,1
44,3,Agatha,Ghost,47,70.8,2,18.0,100.0,78.0,0,none,1,23.3,42.6,10,1
44,4,Lance,Dragon,47,70.8,2,20.84,100.0,54.7,0,none,1,21.6,20.6,7,1
45,1,Lorelei,Ice,51,64.7,4,0.0,77.94,100.0,0,none,0,24.4,55.2,10,1
45,2,Bruno,Fighting,51,64.7,4,15.14,48.39,75.6,0,none,0,0.0,0.0,0,0
45,3,Agatha,Ghost,51,64.7,4,15.14,48.39,75.6,0,none,0,0.0,0.0,0,0
45,4,Lance,Dragon,51,64.7,4,15.14,48.39,75.6,0,none,0,0.0,0.0,0,0
46,1,Lorelei,Ice,53,78.7,4,0.0,79.75,100.0,0,none,1,6.1,49.0,1,1
46,2,Bruno,Fighting,53,78.7,4,14.53,100.0,93.9,0,none,1,24.2,43.8,10,1
46,3,Agatha,Ghost,53,78.7,4,28.25,100.0,69.7,0,none,0,0.0,14.8,10,1
46,4,Lance,Dragon,53,78.7,4,39.68,82.52,69.7,0,none,0,0.0,0.0,0,0
47,1,Lorelei,Ice,47,45.2,2,0.0,69.18,100.0,0,none,1,33.6,42.0,4,1
47,2,Bruno,Fighting,47,45.2,2,3.05,89.39,66.4,0,none,0,22.7,46.1,2,1
47,3,Agatha,Ghost,47,45.2,2,21.59,70.26,43.7,0,none,0,0.0,0.0,0,0
47,4,Lance,Dragon,47,45.2,2,21.59,70.26,43.7,0,none,0,0.0,0.0,0,0
48,1,Lorelei,Ice,58,43.0,6,0.0,60.61,100.0,0,none,1,18.2,32.6,1,1
48,2,Bruno,Fighting,58,43.0,6,14.2,79.47,100.0,1,full_restore,1,18.6,53.0,3,1
48,3,Agatha,Ghost,58,43.0,6,28.18,97.23,81.4,0,none,1,32.5,35.0,9,1
48,4,Lance,Dragon,58,43.0,6,40.47,100.0,48.9,0,none,1,33.8,42.4,7,1
49,1,Lorelei,Ice,65,69.7,4,0.0,70.25,100.0,0,none,1,16.7,44.8,6,1
49,2,Bruno,Fighting,65,69.7,4,9.54,86.47,83.3,0,none,1,24.0,68.4,3,1
49,3,Agatha,Ghost,65,69.7,4,17.57,100.0,59.3,0,none,1,38.7,55.3,11,1
49,4,Lance,Dragon,65,69.7,4,28.89,100.0,20.6,0,none,1,53.7,49.0,6,1
50,1,Lorelei,Ice,57,72.2,4,0.0,74.42,100.0,0,none,1,0.0,46.5,8,1
50,2,Bruno,Fighting,57,72.2,4,4.67,86.18,100.0,0,none,1,18.4,56.6,8,1
50,3,Agatha,Ghost,57,72.2,4,12.69,100.0,81.6,0,none,1,33.7,44.2,10,1
50,4,Lance,Dragon,57,72.2,4,24.51,100.0,47.9,0,none,1,30.3,41.6,6,1
51,1,Lorelei,Ice,46,68.7,6,0.0,77.92,100.0,0,none,1,34.0,55.8,4,1
51,2,Bruno,Fighting,46,68.7,6,6.13,96.17,66.0,0,none,1,27.4,26.6,6,1
51,3,Agatha,Ghost,46,68.7,6,17.43,100.0,38.6,0,none,0,28.7,52.9,6,1
51,4,Lance,Dragon,46,68.7,6,36.9,83.16,9.9,0,none,0,0.0,0.0,0,0
52,1,Lorelei,Ice,52,58.1,5,0.0,82.09,100.0,0,none,1,25.1,49.7,3,1
52,2,Bruno,Fighting,52,58.1,5,6.63,88.92,74.9,0,none,1,23.7,34.9,4,1
52,3,Agatha,Ghost,52,58.1,5,17.09,100.0,51.2,0,none,1,19.4,46.1,5,1
52,4,Lance,Dragon,52,58.1,5,27.83,100.0,31.8,0,none,1,42.2,53.9,7,1
53,1,Lorelei,Ice,58,51.0,2,0.0,89.84,100.0,0,none,1,16.9,59.2,6,1
53,2,Bruno,Fighting,58,51.0,2,7.81,100.0,83.1,0,none,1,13.4,23.5,9,1
53,3,Agatha,Ghost,58,51.0,2,18.49,100.0,69.7,0,none,1,49.3,40.2,8,1
53,4,Lance,Dragon,58,51.0,2,31.01,100.0,20.4,0,none,0,22.7,46.1,4,1
54,1,Lorelei,Ice,56,66.2,3,0.0,59.23,100.0,0,none,1,6.6,51.6,3,1
54,2,Bruno,Fighting,56,66.2,3,13.72,64.17,93.4,0,none,1,2.0,54.0,10,1
54,3,Agatha,Ghost,56,66.2,3,25.33,71.48,91.4,0,none,1,38.4,37.7,6,1
54,4,Lance,Dragon,56,66.2,3,35.23,85.55,53.0,0,none,1,32.6,61.5,7,1
55,1,Lorelei,Ice,63,87.3,5,0.0,75.77,100.0,0,none,1,22.0,51.0,7,1
55,2,Bruno,Fighting,63,87.3,5,14.28,91.9,78.0,0,none,1,16.3,38.7,4,1
55,3,Agatha,Ghost,63,87.3,5,26.29,100.0,61.7,0,none,1,25.5,48.5,7,1
55,4,Lance,Dragon,63,87.3,5,39.44,100.0,36.2,1,x_attack,1,9.3,41.8,9,1
56,1,Lorelei,Ice,62,61.9,3,0.0,73.85,100.0,0,none,1,23.6,30.8,6,1
56,2,Bruno,Fighting,62,61.9,3,4.69,80.59,76.4,0,none,0,32.2,52.8,7,1
56,3,Agatha,Ghost,62,61.9,3,17.65,57.84,44.2,0,none,0,0.0,0.0,0,0
56,4,Lance,Dragon,62,61.9,3,17.65,57.84,44.2,0,none,0,0.0,0.0,0,0
57,1,Lorelei,Ice,43,58.0,3,0.0,72.97,100.0,0,none,1,9.0,29.7,7,1
57,2,Bruno,Fighting,43,58.0,3,11.94,83.3,91.0,0,none,1,33.1,14.0,5,1
57,3,Agatha,Ghost,43,58.0,3,21.69,99.66,57.9,0,none,1,22.2,49.7,11,1
57,4,Lance,Dragon,43,58.0,3,35.19,100.0,35.7,0,none,1,14.3,17.3,3,1
58,1,Lorelei,Ice,51,69.8,3,0.0,68.18,100.0,0,none,1,27.3,39.1,7,1
58,2,Bruno,Fighting,51,69.8,3,12.3,81.66,72.7,0,none,0,18.7,61.3,5,1
58,3,Agatha,Ghost,51,69.8,3,23.3,64.14,54.0,0,none,0,0.0,0.0,0,0
58,4,Lance,Dragon,51,69.8,3,23.3,64.14,54.0,0,none,0,0.0,0.0,0,0
59,1,Lorelei,Ice,47,57.3,5,0.0,58.51,100.0,0,none,1,13.9,52.5,13,1
59,2,Bruno,Fighting,47,57.3,5,8.48,68.4,86.1,0,none,1,23.5,39.0,9,1
59,3,Agatha,Ghost,47,57.3,5,16.08,73.3,62.6,0,none,1,36.9,24.6,10,1
59,4,Lance,Dragon,47,57.3,5,24.79,91.55,65.7,1,revive,1,49.1,48.7,4,1
60,1,Lorelei,Ice,63,73.6,4,0.0,45.91,100.0,1,full_restore,1,29.0,31.8,7,1
60,2,Bruno,Fighting,63,73.6,4,15.26,62.01,71.0,0,none,0,28.3,56.6,12,1
60,3,Agatha,Ghost,63,73.6,4,33.24,44.12,42.7,0,none,0,0.0,0.0,0,0
60,4,Lance,Dragon,63,73.6,4,33.24,44.12,42.7,0,none,0,0.0,0.0,0,0
61,1,Lorelei,Ice,68,59.9,3,0.0,71.96,100.0,0,none,1,21.7,57.5,4,1
61,2,Bruno,Fighting,68,59.9,3,5.65,85.28,78.3,0,none,1,26.3,36.6,6,1
61,3,Agatha,Ghost,68,59.9,3,15.01,100.0,52.0,0,none,0,18.3,46.8,3,1
61,4,Lance,Dragon,68,59.9,3,23.78,80.12,33.7,0,none,0,0.0,0.0,0,0
62,1,Lorelei,Ice,61,50.6,3,0.0,56.98,100.0,0,none,1,11.8,53.6,7,1
62,2,Bruno,Fighting,61,50.6,3,13.41,67.65,88.2,0,none,1,15.9,41.6,7,1
62,3,Agatha,Ghost,61,50.6,3,21.53,77.7,72.3,0,none,0,24.2,36.6,6,1
62,4,Lance,Dragon,61,50.6,3,33.16,53.85,48.1,0,none,0,0.0,0.0,0,0
63,1,Lorelei,Ice,49,67.6,5,0.0,80.56,100.0,0,none,1,24.5,41.7,6,1
63,2,Bruno,Fighting,49,67.6,5,6.35,92.98,75.5,0,none,1,29.4,63.2,6,1
63,3,Agatha,Ghost,49,67.6,5,11.82,100.0,46.1,0,none,1,10.6,38.9,9,1
63,4,Lance,Dragon,49,67.6,5,19.81,100.0,35.5,0,none,1,44.7,60.5,9,1
64,1,Lorelei,Ice,58,64.8,5,0.0,60.88,100.0,0,none,1,5.2,32.3,6,1
64,2,Bruno,Fighting,58,64.8,5,6.81,69.5,94.8,0,none,0,38.5,29.8,3,1
64,3,Agatha,Ghost,58,64.8,5,21.96,50.23,56.3,0,none,0,0.0,0.0,0,0
64,4,Lance,Dragon,58,64.8,5,21.96,50.23,56.3,0,none,0,0.0,0.0,0,0
65,1,Lorelei,Ice,51,57.9,1,0.0,69.08,100.0,0,none,1,21.5,54.0,4,1
65,2,Bruno,Fighting,51,57.9,1,12.59,80.93,78.5,0,none,1,33.4,25.1,6,1
65,3,Agatha,Ghost,51,57.9,1,20.91,90.58,75.1,1,potion,1,17.0,47.7,6,1
65,4,Lance,Dragon,51,57.9,1,31.47,100.0,58.1,0,none,1,30.0,36.8,8,1
66,1,Lorelei,Ice,54,77.4,3,0.0,76.6,100.0,0,none,1,2.1,41.1,7,1
66,2,Bruno,Fighting,54,77.4,3,9.72,93.61,97.9,0,none,1,17.9,57.4,4,1
66,3,Agatha,Ghost,54,77.4,3,22.11,100.0,80.0,0,none,1,18.9,47.0,5,1
66,4,Lance,Dragon,54,77.4,3,32.47,100.0,61.1,0,none,1,39.0,45.8,9,1
67,1,Lorelei,Ice,45,51.4,6,0.0,71.86,100.0,0,none,1,24.2,45.5,3,1
67,2,Bruno,Fighting,45,51.4,6,11.08,84.15,75.8,0,none,1,15.5,47.0,8,1
