trainer_id,thunder_training,team_level,trainer_experience,badges_pre,electric_type_count,strategy_score,starter_type,wealth,surge_gym_win,turns_to_win,pokemon_remaining,propensity_true,patience,natural_talent
61,0,40,1.0,0,0,59.8,Fire,2,1,2,2,0.3547,33.23,85.62
62,0,33,1.2,1,3,57.0,Water,3,1,8,2,0.4338,6.11,90.8
63,0,30,0.4,1,3,46.4,Fire,4,1,6,3,0.3848,18.12,87.66
64,0,40,10.2,4,1,65.6,Fire,3,1,5,0,0.6646,12.58,94.14
65,1,33,1.6,0,0,51.7,Grass,4,1,6,3,0.2698,57.99,34.91
66,0,39,1.2,5,1,47.3,Grass,3,1,3,2,0.3495,21.72,80.17
67,0,38,3.7,0,1,43.8,Fire,4,1,6,5,0.3799,6.66,91.02
68,0,44,1.9,3,0,73.3,Water,1,1,4,5,0.5791,87.04,69.18
69,1,28,4.2,5,1,55.2,Fire,3,1,4,4,0.509,98.93,46.58
70,1,41,3.0,5,1,48.7,Grass,4,1,8,3,0.5073,37.69,98.76
71,0,34,2.6,2,0,55.3,Fire,4,1,4,6,0.4598,90.72,65.64
72,1,34,6.4,5,3,35.2,Fire,3,1,2,5,0.5612,36.07,54.14
73,1,42,5.9,5,1,52.4,Fire,3,1,8,6,0.5143,33.48,55.43
74,1,42,1.7,3,0,44.6,Grass,4,0,13,3,0.2746,5.47,79.1
75,1,24,12.0,5,1,33.2,Water,3,1,10,2,0.498,62.86,25.72
76,1,39,4.7,0,1,79.4,Water,3,1,8,5,0.7115,89.24,76.72
77,1,32,3.2,5,2,64.6,Grass,2,1,14,3,0.5075,29.94,95.1
78,1,32,2.8,5,0,39.6,Fire,2,1,6,4,0.2252,13.94,73.15
79,1,40,2.8,1,2,44.9,Water,3,1,2,5,0.4249,2.45,85.38
80,0,25,1.6,3,2,48.7,Fire,2,1,4,6,0.3252,59.93,33.97
81,0,37,0.4,0,2,48.2,Fire,2,1,7,4,0.35,17.77,69.74
82,1,42,3.1,2,3,75.1,Water,3,1,7,6,0.7583,57.28,94.11
83,0,19,1.9,1,1,42.3,Fire,2,0,5,3,0.1169,11.79,15.65
84,0,40,1.5,1,1,51.7,Fire,3,1,5,6,0.4795,43.79,99.44
85,0,20,11.1,2,1,58.8,Fire,3,1,10,5,0.4805,54.48,31.03
86,0,22,4.6,2,4,56.9,Grass,2,1,7,6,0.6018,69.82,46.75
87,0,25,2.2,3,0,41.5,Water,3,1,4,4,0.1526,38.98,17.35
88,0,25,3.8,5,0,35.5,Fire,2,1,6,3,0.1672,45.3,4.97
89,1,36,7.9,5,1,54.6,Water,3,1,7,2,0.5735,24.29,96.32
90,0,26,2.6,3,0,38.9,Fire,4,1,12,3,0.152,23.02,32.96
91,0,25,2.2,2,1,56.3,Water,4,1,6,3,0.3863,81.87,53.44
92,1,32,4.2,4,4,40.2,Grass,3,1,5,1,0.4976,18.15,48.3
93,0,24,2.9,5,0,45.3,Grass,3,1,6,4,0.1948,41.86,39.68
94,0,18,3.6,1,1,35.9,Grass,3,1,7,1,0.1418,30.34,3.1
95,0,28,1.3,1,0,34.5,Grass,3,0,14,0,0.1441,25.65,36.19
96,0,22,1.0,1,0,33.3,Grass,3,1,8,5,0.1093,40.85,9.81
97,1,40,7.0,5,1,63.6,Grass,2,1,2,2,0.6164,36.31,82.81
98,0,42,4.2,0,0,76.9,Fire,2,1,8,5,0.4918,18.7,98.72
99,0,25,3.5,2,2,32.6,Grass,3,1,6,5,0.3083,42.86,41.46
100,1,46,8.3,3,1,58.9,Water,5,1,6,1,0.7878,67.49,97.1
101,0,23,1.7,0,1,36.0,Fire,3,1,3,4,0.2298,77.51,9.59
102,1,35,2.7,5,1,55.4,Water,4,0,5,1,0.4747,51.43,87.96
103,1,47,5.1,3,2,71.3,Fire,2,1,8,4,0.8429,91.96,96.46
104,0,29,1.8,0,2,43.7,Grass,4,1,4,2,0.3886,72.8,32.5
105,1,37,12.0,5,2,67.3,Fire,2,1,4,3,0.8412,61.09,92.64
106,1,39,2.0,1,2,46.7,Water,4,1,2,6,0.5074,32.58,96.46
107,1,40,4.6,2,0,66.5,Water,3,1,9,4,0.6145,85.23,78.33
108,0,19,1.2,2,1,26.9,Grass,2,1,7,5,0.0919,3.5,24.28
109,1,24,2.8,2,1,32.1,Water,3,1,10,6,0.1871,15.49,53.49
110,1,40,3.1,3,4,61.9,Fire,4,1,6,6,0.772,53.08,98.98
111,0,21,9.6,3,2,62.9,Water,4,1,7,6,0.6083,89.88,17.58
112,0,35,2.1,3,1,37.0,Grass,4,1,8,3,0.2761,24.16,53.01
113,0,31,7.1,0,1,46.7,Grass,2,1,4,3,0.371,19.82,46.88
114,1,39,2.7,3,2,61.1,Fire,4,1,5,5,0.6017,49.24,90.85
115,1,44,3.2,4,1,61.7,Fire,4,1,7,4,0.4956,19.84,85.43
116,0,40,2.0,2,0,79.1,Grass,3,1,6,6,0.5697,72.73,97.11
117,0,44,7.2,3,3,55.8,Water,3,1,5,3,0.756,23.04,96.52
118,0,25,2.3,3,1,30.2,Fire,3,1,7,5,0.211,62.25,6.98
119,1,32,1.3,1,0,46.5,Grass,3,1,7,5,0.2511,56.92,40.38
120,1,36,1.5,3,4,47.9,Grass,2,1,4,3,0.5635,34.32,68.08
121,0,22,4.9,3,0,58.3,Grass,3,1,6,1,0.3261,96.56,8.04
122,1,38,5.4,4,4,64.1,Grass,2,1,9,4,0.8238,82.21,68.38
123,0,24,3.1,2,0,45.4,Water,3,1,5,5,0.1452,11.98,37.21
124,0,30,7.5,5,2,35.0,Fire,1,1,5,3,0.4119,40.41,13.64
125,0,26,6.8,3,1,47.5,Grass,2,1,7,3,0.397,62.48,25.19
126,0,27,7.3,2,2,38.1,Fire,3,1,7,4,0.4254,53.86,14.52
127,0,29,2.1,2,1,44.1,Grass,4,1,6,1,0.3121,29.13,88.39
128,1,48,2.5,5,2,62.4,Fire,3,1,4,6,0.5946,14.87,95.08
129,1,30,12.0,5,1,56.5,Fire,3,1,3,3,0.6339,71.72,22.9
130,0,41,4.9,1,1,74.6,Fire,3,1,8,1,0.7486,92.46,88.47
131,0,20,3.3,5,1,54.7,Grass,3,1,6,3,0.3331,84.81,30.62
132,1,29,1.3,3,0,49.1,Fire,3,1,6,2,0.2212,40.36,56.22
133,0,28,5.8,0,0,66.2,Fire,4,1,10,1,0.5642,97.95,75.57
134,0,33,2.6,5,0,55.2,Water,2,1,7,1,0.214,7.0,53.86
135,0,26,1.5,1,2,48.4,Fire,3,1,5,3,0.3087,57.99,24.21
136,0,28,4.0,4,0,45.8,Water,1,1,6,1,0.3581,64.34,73.3
137,1,39,6.4,2,1,52.2,Grass,3,1,9,3,0.5355,23.1,89.38
138,1,33,5.5,5,2,59.4,Water,3,1,4,5,0.6835,97.78,52.81
139,0,22,1.2,5,0,38.5,Water,2,0,13,1,0.1279,47.83,12.22
140,0,23,1.8,2,0,36.5,Fire,3,1,6,4,0.2047,86.79,12.56
141,0,30,0.8,3,4,43.7,Water,4,1,7,2,0.4472,31.32,59.91
142,0,27,2.9,3,1,39.8,Water,3,0,17,1,0.218,20.75,43.43
143,1,19,2.6,1,2,54.0,Grass,4,1,5,4,0.2843,60.26,17.71
144,0,36,2.9,2,0,24.4,Grass,3,1,11,3,0.2042,32.08,27.87
145,0,35,1.4,5,2,56.8,Water,3,1,2,2,0.4343,31.06,78.38
146,0,24,2.8,4,3,41.8,Fire,4,1,7,6,0.3329,33.83,35.6
147,0,14,4.3,3,1,65.9,Water,4,1,5,2,0.3635,95.59,32.22
148,0,32,3.7,5,2,60.5,Water,4,1,3,5,0.5257,65.25,48.86
149,1,28,0.8,2,1,36.6,Fire,2,1,7,6,0.1827,35.4,24.39
150,0,33,7.8,3,0,27.2,Water,2,1,4,3,0.2722,25.78,22.41
151,0,27,2.6,1,2,60.7,Grass,2,1,9,1,0.4765,85.95,34.46
152,0,29,0.5,2,1,39.6,Grass,2,0,17,4,0.1691,5.17,53.77
153,0,31,6.8,3,1,46.6,Water,4,1,7,4,0.4785,56.83,51.23
154,0,37,2.5,1,1,42.7,Grass,4,1,11,4,0.4055,25.92,99.94
155,0,36,4.0,2,2,53.7,Fire,4,1,6,2,0.4921,28.93,70.52
156,0,31,2.7,5,0,36.0,Water,3,1,5,3,0.2498,52.83,42.8
157,1,27,2.8,1,0,50.6,Water,1,1,11,4,0.2394,57.71,28.67
158,1,26,2.6,2,1,37.9,Water,3,1,5,3,0.1739,33.56,0.98
159,1,32,3.2,3,3,55.0,Water,5,1,7,6,0.6328,86.76,48.63
160,0,32,6.1,2,1,68.7,Grass,3,0,11,2,0.5859,61.92,75.64
161,0,32,1.8,1,0,46.1,Water,2,1,2,3,0.2469,46.5,46.24
162,1,28,8.1,4,1,43.0,Grass,3,1,8,5,0.3507,40.44,9.63
163,0,27,2.3,3,0,32.2,Grass,4,1,9,5,0.1411,19.39,35.36
164,1,38,1.2,2,3,34.1,Water,1,1,1,6,0.4516,30.15,67.36
165,0,39,3.9,2,3,44.1,Water,2,1,4,3,0.4817,10.73,53.62
166,0,25,2.5,5,1,53.8,Fire,3,1,8,4,0.3617,94.8,19.56
167,1,28,2.9,3,1,41.3,Water,4,1,4,6,0.3498,78.44,32.23
168,1,43,2.9,4,3,58.4,Water,4,1,2,2,0.6781,37.56,92.77
169,0,35,10.7,3,1,48.2,Fire,3,0,8,0,0.634,41.24,73.58
170,0,27,4.3,2,0,50.6,Water,3,1,4,3,0.1921,8.91,44.31
171,0,35,9.1,2,1,41.2,Grass,4,1,8,5,0.4209,8.69,46.56
172,0,27,1.5,4,1,40.5,Water,3,0,7,3,0.1798,20.36,34.09
173,0,36,2.6,1,1,40.2,Grass,3,1,4,3,0.3824,62.1,40.15
174,1,32,3.7,2,1,69.6,Grass,3,1,7,3,0.6328,98.26,80.62
175,1,18,7.1,3,1,49.0,Water,3,1,3,6,0.3224,69.91,7.05
176,0,26,7.7,0,2,30.7,Water,3,1,6,5,0.3161,6.8,34.48
177,0,27,4.6,3,0,55.6,Fire,4,1,5,6,0.2622,30.64,51.23
178,1,39,1.9,3,1,74.6,Fire,2,1,5,4,0.6328,91.21,76.96
179,0,24,4.2,3,1,39.9,Fire,3,0,5,1,0.2533,9.75,79.87
180,0,31,5.2,4,4,56.6,Water,3,1,5,6,0.6622,38.45,72.72
181,0,26,2.0,5,1,48.7,Water,2,1,4,5,0.2779,79.79,2.55
182,1,41,2.5,1,2,79.3,Water,3,1,7,5,0.7492,80.94,98.76
183,0,27,2.0,2,0,45.0,Water,4,1,5,5,0.1599,14.45,49.69
184,0,31,5.7,3,1,59.9,Fire,3,1,3,4,0.5066,45.19,82.66
185,0,31,1.4,3,1,42.7,Grass,4,0,9,1,0.2217,1.0,74.65
186,1,43,2.9,0,0,73.8,Water,4,1,14,2,0.6427,84.86,95.34
187,0,28,7.0,4,3,57.4,Water,4,1,7,3,0.5564,47.04,28.54
188,1,26,5.9,2,1,54.4,Water,4,1,5,4,0.3346,34.13,38.87
189,0,23,2.3,2,2,40.3,Water,4,1,5,2,0.2156,34.69,11.69
190,0,41,8.9,4,1,71.5,Grass,3,1,4,4,0.6883,37.98,76.66
191,0,28,3.1,5,2,54.2,Grass,2,1,6,1,0.4365,64.1,42.66
192,1,37,3.8,3,1,56.3,Fire,3,1,4,6,0.5301,46.75,95.09
193,1,24,7.8,5,1,61.6,Water,3,1,5,6,0.5318,98.48,16.71
194,1,34,4.2,2,3,69.7,Grass,4,1,9,4,0.739,72.24,89.13
195,1,28,4.5,3,2,70.5,Water,4,1,5,4,0.6738,92.38,81.48
196,0,19,2.6,0,0,48.3,Grass,4,1,7,6,0.2131,92.76,3.21
197,1,32,2.1,0,3,44.9,Water,5,1,5,1,0.4778,57.64,42.3
198,0,38,1.5,1,2,47.6,Water,3,1,4,4,0.4514,37.24,72.76
199,0,22,1.5,1,0,13.5,Fire,4,1,6,6,0.0717,6.95,20.1
200,0,34,0.8,1,1,33.4,Fire,3,0,10,1,0.2519,3.56,97.38
201,0,25,3.2,3,3,36.4,Water,2,1,4,5,0.4324,89.27,1.06
202,0,31,2.1,1,0,41.1,Grass,3,1,8,5,0.3289,84.15,46.77
203,0,33,0.9,1,0,44.0,Water,4,1,7,5,0.2225,26.15,70.88
204,0,35,2.8,3,0,57.9,Water,3,1,10,3,0.367,66.66,42.49
205,1,24,1.5,3,0,43.0,Grass,3,1,2,3,0.192,73.4,13.98
206,0,41,12.0,5,1,66.9,Grass,4,1,7,3,0.8334,95.72,51.54
207,0,27,5.1,5,1,53.0,Grass,3,0,13,2,0.2813,16.15,43.3
208,1,34,4.1,4,1,54.1,Water,3,0,5,3,0.5897,94.95,66.26
209,0,22,7.5,5,2,40.8,Grass,3,1,9,2,0.3602,35.96,25.72
210,0,21,4.0,3,2,25.3,Grass,2,1,4,6,0.1795,3.67,32.88
211,0,26,6.7,2,1,49.8,Fire,3,1,2,2,0.4964,92.82,28.7
212,0,31,3.3,3,2,31.5,Fire,3,1,5,6,0.3088,29.23,36.58
213,1,44,5.6,4,2,67.7,Water,3,1,9,6,0.8363,93.5,99.95
214,0,29,4.1,4,1,36.6,Water,3,1,3,1,0.3317,60.27,32.25
215,0,20,6.4,4,0,51.6,Water,4,1,8,3,0.3169,93.57,3.14
216,1,42,5.0,2,0,62.2,Water,3,1,4,1,0.4766,19.66,96.07
217,1,22,2.6,0,3,45.1,Water,3,1,6,6,0.4055,74.62,22.38
218,0,33,5.2,5,1,66.5,Fire,3,0,11,2,0.4033,13.97,66.46
219,0,25,4.3,3,0,61.3,Grass,3,1,12,6,0.3361,83.87,22.98
220,0,27,3.1,3,0,44.8,Water,3,1,9,1,0.1456,3.24,36.5
221,1,29,9.8,4,2,59.7,Fire,3,1,10,2,0.7378,87.26,56.81
222,1,33,3.3,1,3,52.1,Fire,4,1,5,3,0.6391,76.04,65.24
223,1,40,0.6,2,1,42.4,Fire,4,1,4,1,0.2894,21.9,55.36
224,1,32,2.4,1,2,58.0,Grass,1,1,10,3,0.5312,58.58,84.25
225,0,31,2.6,2,1,43.1,Fire,2,1,6,5,0.4043,83.77,40.52
226,1,47,1.8,2,1,54.3,Water,4,1,3,6,0.4891,21.05,95.62
227,1,22,3.2,2,2,44.7,Fire,3,0,9,1,0.4521,91.69,49.57
228,0,32,1.5,1,1,34.6,Fire,4,1,3,6,0.1802,23.83,11.64
229,1,43,1.8,5,4,78.9,Water,3,1,11,2,0.8196,75.07,85.98
230,0,36,1.9,0,1,58.8,Grass,1,1,4,2,0.3255,17.01,63.9
231,0,24,2.3,1,3,56.7,Water,3,1,3,4,0.4781,92.88,11.83
232,1,38,3.4,4,2,59.6,Grass,2,1,6,3,0.4944,4.49,99.99
233,0,29,0.1,4,1,27.3,Grass,3,1,5,3,0.1152,3.0,22.56
234,0,35,4.8,0,2,58.0,Water,2,1,4,2,0.5561,56.46,48.97
235,1,29,5.4,3,0,52.8,Fire,4,1,13,2,0.4896,87.79,71.13
236,0,41,1.9,3,2,52.3,Water,4,1,10,3,0.5479,47.94,78.21
237,1,21,1.8,3,0,24.4,Water,2,0,11,1,0.0766,12.8,7.05
238,0,30,0.2,3,3,42.2,Fire,3,0,10,0,0.2765,0.39,60.93
239,0,19,1.6,1,0,37.4,Fire,2,1,6,6,0.1004,39.44,0.99
240,1,40,1.6,1,3,56.3,Water,3,1,7,4,0.6119,61.37,58.01
241,1,39,10.7,5,1,58.6,Grass,4,1,5,4,0.7528,67.1,72.33
242,0,37,5.1,3,1,50.5,Grass,2,1,7,5,0.5778,89.94,42.19
243,1,38,6.5,5,3,82.2,Water,4,1,6,3,0.8537,80.79,96.57
244,1,22,1.8,5,2,39.4,Water,3,1,5,4,0.3084,82.65,13.81
245,1,40,12.0,5,1,51.4,Fire,2,1,2,5,0.5912,7.73,52.75
246,0,24,9.7,1,1,37.4,Fire,3,1,6,6,0.4133,53.33,26.44
247,0,41,1.2,2,4,62.9,Water,3,1,4,3,0.7129,52.71,83.01
248,0,27,4.7,3,0,54.8,Water,3,1,10,3,0.2902,58.03,27.17
249,0,38,6.2,5,1,49.7,Fire,2,1,9,2,0.5433,30.89,92.74
250,1,43,5.1,4,2,77.0,Grass,3,1,5,6,0.8031,96.82,67.73
251,1,41,6.4,5,3,75.2,Fire,3,1,3,6,0.815,63.75,82.27
252,1,37,3.5,5,0,61.5,Fire,4,1,8,2,0.4914,62.3,87.89
253,0,34,2.9,2,1,63.6,Fire,3,1,3,6,0.5807,95.02,67.66
254,0,26,3.3,2,2,39.4,Grass,3,1,5,2,0.3139,48.16,26.24
255,1,34,7.0,3,2,66.5,Grass,3,1,10,5,0.6129,27.74,82.71
256,1,36,1.5,4,4,66.2,Fire,3,1,10,4,0.7136,66.6,78.96
257,1,32,12.0,2,1,63.9,Grass,3,1,8,5,0.7584,70.15,80.41
258,0,28,4.3,3,4,66.3,Grass,3,1,10,4,0.693,63.55,69.08
259,0,21,4.2,5,0,50.3,Water,2,1,7,6,0.2563,55.65,52.51
260,0,27,2.2,5,0,52.9,Fire,4,1,9,4,0.3241,94.56,32.14
261,0,39,2.4,3,0,56.2,Grass,3,1,1,3,0.4193,61.13,66.35
262,0,29,2.0,4,0,50.8,Water,4,1,7,3,0.2068,42.49,29.72
263,0,24,8.4,4,1,36.1,Grass,3,0,16,1,0.2764,28.13,8.85
264,1,34,1.7,2,3,63.0,Fire,3,1,8,4,0.6708,81.12,80.52
265,1,28,12.0,5,4,82.4,Fire,2,1,9,4,0.9068,88.84,78.06
266,0,31,8.9,5,0,58.2,Grass,3,1,7,4,0.4816,68.56,26.69
267,0,23,7.4,4,2,48.0,Fire,5,1,2,2,0.3108,10.91,23.08
268,1,21,9.1,5,1,41.2,Grass,3,1,9,4,0.3061,43.08,2.58
269,1,41,3.4,2,0,59.9,Grass,4,1,6,6,0.6123,94.39,84.68
270,0,20,2.6,1,0,35.2,Grass,2,1,2,2,0.1331,51.72,5.18
271,0,18,9.2,3,0,44.1,Grass,4,0,12,0,0.2383,42.62,7.69
272,0,22,3.5,5,2,44.9,Water,3,1,5,6,0.2613,26.12,37.29
273,0,25,2.7,1,4,38.5,Grass,4,1,8,6,0.306,1.4,31.91
274,0,23,3.7,4,1,36.7,Water,4,1,7,4,0.1733,0.75,49.71
275,1,40,2.8,3,3,46.3,Grass,4,1,4,1,0.5548,15.76,91.48
276,0,37,0.1,4,3,40.2,Grass,2,1,9,2,0.3398,1.21,65.92
277,1,39,12.0,3,1,75.3,Fire,2,1,8,3,0.7737,52.65,68.06
278,1,26,3.3,1,0,56.6,Water,2,1,6,6,0.324,82.99,33.33
279,0,29,4.0,4,1,47.3,Water,2,1,2,4,0.2939,48.05,16.71
280,1,39,1.7,3,1,57.8,Water,3,1,8,3,0.4019,22.71,86.01
281,1,40,5.3,0,2,56.7,Water,3,0,15,0,0.6214,40.08,76.43
282,0,29,0.9,3,1,54.3,Fire,2,1,4,4,0.2944,31.92,78.98
283,0,14,3.4,5,1,22.1,Fire,1,0,7,0,0.1043,29.71,0.51
284,1,30,12.0,3,2,64.2,Fire,4,1,1,2,0.7219,66.97,33.53
285,0,32,1.3,2,1,43.5,Grass,3,1,7,5,0.3668,56.84,75.15
286,0,33,2.6,1,0,52.9,Grass,4,1,6,5,0.4852,99.3,73.53
287,0,30,6.2,5,0,59.0,Fire,3,1,6,3,0.4333,82.14,26.48
288,0,40,1.0,4,0,43.6,Water,3,1,11,6,0.209,10.19,48.86
289,1,28,6.4,2,0,46.6,Water,2,1,12,1,0.2375,34.5,8.2
290,0,36,2.2,5,0,79.1,Fire,1,1,8,3,0.5796,95.28,85.35
291,1,44,9.8,3,1,58.6,Fire,1,1,7,3,0.6879,24.24,84.67
292,1,37,2.2,3,4,63.4,Grass,3,1,3,6,0.7465,63.72,92.17
293,0,26,4.6,5,1,49.7,Fire,2,0,6,2,0.1776,0.52,9.0
294,1,30,6.7,3,1,61.9,Fire,4,1,7,4,0.539,92.75,15.05
295,1,37,6.4,0,2,58.9,Fire,3,1,8,3,0.6841,56.39,82.36
296,0,34,3.2,1,3,51.3,Water,4,1,8,4,0.4798,8.08,83.17
297,1,44,2.6,2,2,67.1,Water,3,1,5,1,0.5419,5.34,95.1
298,1,34,7.1,5,2,60.6,Water,2,1,5,1,0.7023,76.61,65.13
299,1,41,0.7,2,0,46.5,Water,2,1,5,3,0.3346,32.63,91.51
300,1,42,12.0,4,2,50.9,Grass,4,1,6,2,0.7392,11.66,84.13
301,0,36,0.6,4,1,42.1,Water,4,1,7,3,0.2198,9.48,48.29
302,0,29,0.4,1,0,32.6,Grass,3,1,6,1,0.1139,10.31,36.3
303,0,33,2.6,0,1,52.3,Grass,3,0,8,1,0.3416,13.98,90.12
304,0,15,2.5,3,0,45.2,Grass,2,1,5,5,0.1401,56.97,18.74
305,1,30,7.8,4,1,45.2,Grass,2,1,11,3,0.3408,12.67,37.55
306,1,28,2.5,4,4,63.7,Water,3,1,1,3,0.6404,45.99,96.0
307,1,19,6.3,3,2,38.8,Water,3,1,3,6,0.2337,15.64,15.11
308,1,36,5.1,2,1,60.2,Water,3,1,3,3,0.6614,99.99,64.45
309,1,19,7.5,4,1,41.0,Water,3,1,2,6,0.2765,19.84,53.77
310,1,41,4.0,3,2,72.0,Grass,1,1,3,5,0.8016,98.71,96.51
311,1,32,4.8,2,1,53.2,Water,2,1,6,3,0.5761,68.4,99.72
312,0,20,2.5,3,2,58.4,Grass,2,1,5,3,0.3741,85.74,21.56
313,0,23,6.2,5,1,61.0,Fire,3,1,8,2,0.5202,99.99,38.39
314,1,30,3.5,5,3,61.1,Fire,3,1,5,3,0.5858,77.39,35.89
315,1,35,3.4,3,1,34.3,Water,2,1,9,4,0.2536,36.79,3.52
316,0,20,2.1,2,1,42.8,Fire,3,1,6,3,0.2153,68.93,12.46
317,1,28,3.7,3,2,49.7,Fire,3,1,1,6,0.4653,73.46,39.82
318,1,15,1.6,1,1,51.1,Fire,2,1,13,3,0.1442,49.8,2.31
319,1,36,4.0,1,3,55.7,Water,3,1,5,4,0.5326,17.38,68.14
320,0,28,1.7,2,1,50.8,Grass,3,1,1,4,0.2744,37.57,55.6
321,0,29,1.2,3,1,48.1,Water,1,1,4,5,0.2335,6.87,80.52
322,0,25,3.4,3,1,41.8,Grass,2,1,3,5,0.2933,67.18,23.56
323,0,33,6.4,1,1,53.9,Fire,4,1,7,2,0.4901,33.71,78.61
324,0,36,6.4,5,2,43.1,Water,3,1,3,6,0.5228,45.63,38.09
