city,period,shadow_surge_adopted,adoption_period,periods_since_adoption,team_rocket_invasion,avg_trainer_level,monthly_battles,pokemon_center_visits,gym_revenue,population,city_fe
Cerulean City,15,1,10.0,5,0,43.8,1703,665,32416,12295,33
Cerulean City,16,1,10.0,6,0,48.6,1798,706,31312,12315,33
Cerulean City,17,1,10.0,7,0,48.4,1850,767,32321,12307,33
Cerulean City,18,1,10.0,8,0,48.5,1725,701,32774,12401,33
Cerulean City,19,1,10.0,9,0,48.2,1889,674,34531,12545,33
Cerulean City,20,1,10.0,10,0,52.5,1817,740,32612,12583,33
Cerulean City,21,1,10.0,11,0,51.4,1796,673,32741,12563,33
Cerulean City,22,1,10.0,12,0,52.0,1915,762,33908,12432,33
Cerulean City,23,1,10.0,13,0,52.7,2001,646,31812,12565,33
Cerulean City,24,1,10.0,14,0,53.0,1994,803,31644,12707,33
Vermilion City,1,0,14.0,0,0,35.7,1087,721,28007,11951,35
Vermilion City,2,0,14.0,0,0,36.0,1282,586,28092,12178,35
Vermilion City,3,0,14.0,0,0,35.7,1197,580,27002,12019,35
Vermilion City,4,0,14.0,0,0,34.7,1370,675,27110,12081,35
Vermilion City,5,0,14.0,0,0,39.1,1290,650,28331,12167,35
Vermilion City,6,0,14.0,0,0,37.1,1548,686,30010,12155,35
Vermilion City,7,0,14.0,0,0,39.8,1418,583,29660,12204,35
Vermilion City,8,0,14.0,0,0,38.4,1465,706,28918,12320,35
Vermilion City,9,0,14.0,0,0,38.9,1442,619,29848,12539,35
Vermilion City,10,0,14.0,0,0,41.9,1490,650,29299,12573,35
Vermilion City,11,0,14.0,0,0,40.5,1428,669,31316,12613,35
Vermilion City,12,0,14.0,0,0,40.7,1432,742,30614,12501,35
Vermilion City,13,0,14.0,0,0,44.1,1562,802,30823,12587,35
Vermilion City,14,1,14.0,0,0,44.8,1792,776,31645,12540,35
Vermilion City,15,1,14.0,1,0,46.8,1792,650,32483,12728,35
Vermilion City,16,1,14.0,2,0,47.6,1724,671,34752,12853,35
Vermilion City,17,1,14.0,3,0,45.6,1809,733,34132,12763,35
Vermilion City,18,1,14.0,4,0,46.4,1754,668,34373,13020,35
Vermilion City,19,1,14.0,5,0,50.0,1759,639,33657,12836,35
Vermilion City,20,1,14.0,6,0,49.9,1854,706,32733,12934,35
Vermilion City,21,1,14.0,7,0,48.7,1905,709,34210,13026,35
Vermilion City,22,1,14.0,8,0,51.0,1882,772,31354,13131,35
Vermilion City,23,1,14.0,9,0,53.6,2027,626,33156,13118,35
Vermilion City,24,1,14.0,10,0,54.5,2158,680,34771,13288,35
Lavender Town,1,0,18.0,0,0,26.9,1151,498,22823,10037,25
Lavender Town,2,0,18.0,0,0,25.9,1155,697,21786,10119,25
Lavender Town,3,0,18.0,0,0,26.5,1064,503,21760,10272,25
Lavender Town,4,0,18.0,0,0,26.4,1172,589,23223,10215,25
Lavender Town,5,0,18.0,0,0,29.6,1207,598,24286,10288,25
Lavender Town,6,0,18.0,0,0,26.7,1284,636,25782,10321,25
Lavender Town,7,0,18.0,0,0,27.2,1254,595,23680,10235,25
Lavender Town,8,0,18.0,0,0,30.2,1370,537,22645,10378,25
Lavender Town,9,0,18.0,0,0,30.5,1124,577,24216,10498,25
Lavender Town,10,0,18.0,0,0,30.3,1432,650,23488,10396,25
Lavender Town,11,0,18.0,0,0,30.6,1269,587,22967,10426,25
Lavender Town,12,0,18.0,0,0,28.3,1489,595,25066,10540,25
Lavender Town,13,0,18.0,0,0,33.8,1439,612,26719,10591,25
Lavender Town,14,0,18.0,0,0,32.4,1448,627,25731,10533,25
Lavender Town,15,0,18.0,0,0,30.6,1561,624,26559,10711,25
Lavender Town,16,0,18.0,0,0,29.9,1431,691,25651,10832,25
Lavender Town,17,0,18.0,0,0,33.2,1479,640,25951,10779,25
Lavender Town,18,1,18.0,0,0,37.1,1612,643,28290,10845,25
Lavender Town,19,1,18.0,1,0,36.1,1691,617,29332,10912,25
Lavender Town,20,1,18.0,2,0,35.6,1548,645,27088,11139,25
Lavender Town,21,1,18.0,3,0,41.9,1693,686,30323,11155,25
Lavender Town,22,1,18.0,4,0,38.8,1713,652,28065,11125,25
Lavender Town,23,1,18.0,5,0,41.8,1815,575,28987,11212,25
Lavender Town,24,1,18.0,6,0,42.9,1703,739,30032,11344,25
Celadon City,1,0,,0,0,38.4,1365,709,28713,12678,38
Celadon City,2,0,,0,0,36.5,1263,642,26709,12741,38
Celadon City,3,0,,0,0,38.7,1342,622,28727,12814,38
Celadon City,4,0,,0,0,41.1,1392,599,28716,12858,38
Celadon City,5,0,,0,0,39.1,1439,717,30330,12955,38
Celadon City,6,0,,0,0,38.4,1583,700,30162,12944,38
Celadon City,7,0,,0,0,41.4,1401,797,30074,13062,38
Celadon City,8,0,,0,0,41.5,1405,676,32742,13126,38
Celadon City,9,0,,0,0,41.0,1679,741,30325,13017,38
Celadon City,10,0,,0,0,42.4,1579,745,30055,13046,38
Celadon City,11,0,,0,0,43.7,1674,786,31008,13004,38
Celadon City,12,0,,0,1,34.4,1491,866,26554,13076,38
Celadon City,13,0,,0,1,38.6,1440,903,27632,13290,38
Celadon City,14,0,,0,0,45.1,1658,767,31173,13391,38
Celadon City,15,0,,0,0,45.1,1718,698,32834,13299,38
Celadon City,16,0,,0,0,48.3,1690,780,32425,13390,38
Celadon City,17,0,,0,0,48.7,1869,761,33839,13278,38
Celadon City,18,0,,0,0,48.7,1871,700,32765,13575,38
Celadon City,19,0,,0,0,49.4,1814,772,30337,13585,38
Celadon City,20,0,,0,0,49.1,1889,853,31629,13493,38
Celadon City,21,0,,0,0,47.7,1774,778,33676,13721,38
Celadon City,22,0,,0,0,48.3,1850,770,33286,13653,38
Celadon City,23,0,,0,0,48.8,1914,742,33161,13758,38
Celadon City,24,0,,0,0,49.4,1981,803,34681,13919,38
Fuchsia City,1,0,,0,0,29.0,1198,645,24721,10964,30
Fuchsia City,2,0,,0,0,32.8,1177,638,25390,11133,30
Fuchsia City,3,0,,0,0,31.4,1244,645,25370,11004,30
Fuchsia City,4,0,,0,0,30.5,1049,671,25075,11274,30
Fuchsia City,5,0,,0,0,33.3,1356,593,25934,11133,30
Fuchsia City,6,0,,0,0,34.4,1227,629,27082,11250,30
Fuchsia City,7,0,,0,0,36.9,1156,617,24923,11264,30
Fuchsia City,8,0,,0,0,34.9,1264,540,26181,11403,30
Fuchsia City,9,0,,0,0,31.6,1451,561,26650,11335,30
Fuchsia City,10,0,,0,0,35.0,1537,620,27705,11717,30
Fuchsia City,11,0,,0,0,36.4,1481,667,26429,11563,30
Fuchsia City,12,0,,0,0,36.3,1415,626,26909,11489,30
Fuchsia City,13,0,,0,0,34.6,1438,623,27384,11715,30
Fuchsia City,14,0,,0,0,36.6,1413,825,26739,11631,30
Fuchsia City,15,0,,0,0,36.3,1420,732,28612,11754,30
Fuchsia City,16,0,,0,0,39.8,1381,718,28922,11986,30
Fuchsia City,17,0,,0,0,39.3,1703,726,28597,11847,30
Fuchsia City,18,0,,0,0,36.4,1662,638,27975,11852,30
Fuchsia City,19,0,,0,0,38.7,1644,746,30049,12039,30
Fuchsia City,20,0,,0,0,39.6,1666,708,28943,11889,30
Fuchsia City,21,0,,0,0,40.8,1798,722,28921,12170,30
Fuchsia City,22,0,,0,0,36.6,1795,733,30023,12027,30
Fuchsia City,23,0,,0,0,43.0,1885,739,29154,12268,30
Fuchsia City,24,0,,0,0,40.9,1789,712,30688,12210,30
Saffron City,1,0,6.0,0,0,44.3,1364,729,32189,13321,42
Saffron City,2,0,6.0,0,0,42.6,1336,718,30076,13644,42
Saffron City,3,0,6.0,0,0,45.6,1372,779,30610,13515,42
Saffron City,4,0,6.0,0,0,47.5,1605,749,31904,13551,42
Saffron City,5,0,6.0,0,0,45.8,1532,754,32349,13657,42
Saffron City,6,1,6.0,0,0,52.8,1472,725,34158,13522,42
Saffron City,7,1,6.0,1,0,50.4,1652,645,34272,13719,42
Saffron City,8,1,6.0,2,1,43.2,1438,939,27974,13928,42
Saffron City,9,1,6.0,3,1,41.8,1483,779,30510,13795,42
Saffron City,10,1,6.0,4,0,52.4,1842,742,35466,13840,42
Saffron City,11,1,6.0,5,0,51.1,1642,678,35186,13919,42
Saffron City,12,1,6.0,6,0,56.1,1890,670,34399,14105,42
Saffron City,13,1,6.0,7,0,55.6,1782,743,35985,14102,42
Saffron City,14,1,6.0,8,0,56.9,1844,791,35695,14146,42
Saffron City,15,1,6.0,9,0,58.9,1828,740,36020,13987,42
Saffron City,16,1,6.0,10,0,60.1,1889,754,34364,14238,42
Saffron City,17,1,6.0,11,0,58.0,1983,792,39228,14255,42
Saffron City,18,1,6.0,12,0,62.1,2154,806,36878,14230,42
Saffron City,19,1,6.0,13,0,60.3,2074,769,35934,14292,42
Saffron City,20,1,6.0,14,0,64.4,2003,748,36685,14242,42
Saffron City,21,1,6.0,15,0,62.0,2102,786,37125,14434,42
Saffron City,22,1,6.0,16,0,65.1,2101,701,37541,14410,42
Saffron City,23,1,6.0,17,0,64.3,1920,843,39318,14480,42
Saffron City,24,1,6.0,18,0,67.9,2029,818,39060,14597,42
Cinnabar Island,1,0,,0,0,36.1,1284,677,28132,12239,36
Cinnabar Island,2,0,,0,0,33.8,1295,682,27980,12247,36
Cinnabar Island,3,0,,0,0,36.7,1331,606,27671,12224,36
Cinnabar Island,4,0,,0,0,39.4,1295,650,29306,12345,36
Cinnabar Island,5,0,,0,0,37.2,1378,680,28943,12297,36
Cinnabar Island,6,0,,0,0,39.4,1362,714,28271,12585,36
Cinnabar Island,7,0,,0,0,38.7,1469,722,29508,12665,36
Cinnabar Island,8,0,,0,0,38.2,1388,759,27719,12726,36
Cinnabar Island,9,0,,0,0,42.5,1515,772,30792,12730,36
Cinnabar Island,10,0,,0,0,41.7,1538,627,30962,12771,36
Cinnabar Island,11,0,,0,0,41.4,1485,630,31686,12652,36
Cinnabar Island,12,0,,0,0,40.6,1570,708,31398,12821,36
Cinnabar Island,13,0,,0,0,40.8,1662,681,29576,12713,36
Cinnabar Island,14,0,,0,0,43.2,1617,680,30653,12832,36
Cinnabar Island,15,0,,0,0,47.4,1643,738,31354,13047,36
Cinnabar Island,16,0,,0,0,45.3,1649,798,31388,13115,36
Cinnabar Island,17,0,,0,0,44.2,1516,839,32554,13140,36
Cinnabar Island,18,0,,0,0,47.7,1832,674,32183,13107,36
Cinnabar Island,19,0,,0,0,45.6,1960,780,31561,12985,36
Cinnabar Island,20,0,,0,0,45.9,1800,753,33404,13255,36
Cinnabar Island,21,0,,0,0,43.9,1883,691,31581,13457,36
Cinnabar Island,22,0,,0,0,47.4,1945,663,30441,13239,36
Cinnabar Island,23,0,,0,0,45.6,1903,796,33206,13469,36
Cinnabar Island,24,0,,0,0,48.6,1867,729,31263,13484,36
