trainer_id,lottery_won,safari_attended,compliance_type,team_level,trainer_experience,badges,strategy_score,battle_wins_pre,battle_wins_post,pokemon_caught_safari,patience,motivation
29,1,1,always_taker,35,0.6,4,48.1,50,62,3,43.3,10.0
30,0,1,always_taker,34,0.2,2,56.5,59,88,11,81.82,73.06
31,1,1,complier,30,1.5,4,23.0,37,46,4,6.45,52.07
32,1,1,always_taker,39,0.0,2,57.7,64,84,6,55.71,79.18
33,1,1,complier,35,7.1,4,46.7,60,81,9,59.91,76.04
34,0,0,complier,46,2.6,3,44.1,45,60,0,41.81,83.87
35,0,0,complier,35,5.2,5,46.1,58,70,0,65.77,50.98
36,0,0,complier,33,2.1,2,50.8,53,77,0,90.64,80.23
37,0,0,never_taker,27,2.9,1,51.8,72,82,0,47.66,67.47
38,0,0,never_taker,26,12.0,4,13.6,39,52,0,9.15,58.4
39,1,1,complier,26,0.7,3,40.4,32,50,6,23.45,71.07
40,1,1,complier,35,0.4,5,52.3,83,111,5,37.63,83.26
41,1,1,complier,42,0.8,0,54.4,72,97,8,39.83,77.9
42,0,1,always_taker,43,1.8,2,50.6,52,64,3,42.49,25.42
43,1,1,complier,21,0.4,0,30.9,50,55,2,19.28,11.86
44,0,1,always_taker,35,0.3,7,55.7,57,73,4,70.31,32.58
45,1,1,complier,24,3.6,3,35.7,61,68,1,42.86,19.48
46,1,0,never_taker,28,1.9,5,57.3,42,36,0,21.09,33.13
47,0,0,never_taker,17,1.8,0,51.2,44,51,0,35.56,61.76
48,0,0,complier,40,0.9,3,45.0,71,90,0,61.99,78.79
49,0,0,complier,38,1.7,1,41.3,64,70,0,65.89,91.11
50,1,1,always_taker,21,5.6,3,60.4,57,86,5,93.33,62.73
51,0,1,always_taker,25,6.7,4,37.9,46,64,10,88.75,39.9
52,1,1,complier,38,4.2,1,46.9,53,64,7,15.58,50.45
53,0,0,complier,25,2.1,4,54.8,62,81,0,91.31,27.63
54,0,0,complier,37,3.2,3,58.0,58,66,0,80.8,38.97
55,0,0,complier,27,5.5,2,82.2,67,89,0,88.89,97.43
56,0,0,complier,33,0.7,8,60.4,63,72,0,22.8,66.22
57,1,1,complier,23,0.2,2,68.0,67,94,5,75.52,84.52
58,0,0,complier,19,0.4,6,36.6,56,72,0,72.86,1.2
59,0,1,always_taker,34,9.8,2,60.3,59,95,10,83.1,88.95
60,0,0,complier,31,0.1,2,38.5,53,62,0,2.66,69.68
61,0,0,complier,24,2.6,3,52.9,41,61,0,52.82,60.87
62,0,0,complier,37,7.6,2,59.4,63,71,0,35.36,23.79
63,1,1,complier,29,2.3,3,36.9,53,63,5,3.4,79.42
64,0,0,never_taker,18,2.2,0,43.6,29,36,0,0.93,81.55
65,1,1,complier,29,0.6,3,45.3,33,50,6,37.57,63.16
66,0,0,never_taker,37,6.5,3,55.8,59,62,0,2.2,97.65
67,1,1,complier,27,0.2,3,29.0,35,51,5,13.75,46.14
68,0,0,complier,26,12.0,3,32.2,47,58,0,8.27,35.05
69,0,0,complier,35,1.0,6,38.8,59,71,0,64.27,18.68
70,1,1,always_taker,32,1.4,3,40.6,57,68,13,72.74,8.58
71,1,1,complier,39,1.7,4,31.8,61,79,9,43.8,3.82
72,1,1,always_taker,27,8.0,4,56.9,65,84,11,90.21,56.34
73,0,0,complier,14,0.2,4,73.6,44,54,0,76.17,96.82
74,0,0,complier,45,6.5,1,45.4,58,75,0,70.77,85.83
75,1,0,never_taker,31,3.8,7,39.6,51,58,0,2.14,91.87
76,0,0,complier,33,4.0,0,61.9,52,62,0,85.45,50.02
77,1,0,never_taker,32,1.3,7,24.0,44,51,0,8.18,24.22
78,1,1,complier,40,5.5,4,45.3,46,65,5,62.12,82.07
79,0,0,complier,27,0.6,4,42.1,46,59,0,55.03,3.78
80,1,1,complier,23,2.4,3,46.8,59,72,9,24.95,83.1
81,1,0,never_taker,28,2.7,4,55.0,63,64,0,55.76,46.05
82,1,1,complier,34,5.9,3,72.4,50,73,1,74.31,78.99
83,1,1,always_taker,40,3.0,3,46.7,66,89,5,79.32,19.61
84,0,0,complier,27,0.9,2,33.4,46,47,0,9.21,7.06
85,1,0,never_taker,42,6.8,2,44.9,55,66,0,39.91,74.0
86,1,1,complier,30,2.9,4,66.1,53,66,5,24.25,79.81
87,0,1,always_taker,36,4.7,4,61.5,65,96,7,97.71,32.98
88,1,1,complier,44,1.8,5,45.6,64,84,4,28.19,43.51
89,0,0,complier,42,2.4,2,60.2,65,81,0,84.01,74.78
90,0,1,always_taker,21,1.0,7,82.5,64,86,9,72.06,92.32
91,0,0,complier,34,0.1,3,37.4,53,68,0,35.6,67.25
92,0,0,never_taker,41,5.5,5,45.7,66,76,0,90.44,55.27
93,1,1,complier,26,12.0,4,54.3,57,64,5,41.84,87.37
94,0,1,always_taker,30,3.4,4,65.9,65,86,7,63.83,74.25
95,1,1,complier,39,6.2,3,59.6,67,97,6,97.16,26.91
96,1,1,complier,25,7.5,2,62.6,50,81,9,66.88,9.32
97,1,1,complier,50,0.7,3,74.0,78,109,6,92.8,99.01
98,1,1,always_taker,32,0.2,1,42.9,54,80,12,84.0,6.2
99,0,0,complier,29,3.2,3,78.5,63,78,0,85.33,73.71
100,1,1,complier,33,2.5,1,42.2,51,68,5,61.67,22.11
101,1,1,always_taker,25,4.5,4,66.6,65,96,8,94.79,54.5
102,1,1,always_taker,15,1.7,0,43.6,60,86,10,64.04,29.8
103,1,1,complier,22,1.8,4,56.2,72,110,5,68.41,49.67
104,0,1,always_taker,30,1.7,2,40.3,48,71,8,72.5,68.98
105,1,1,complier,31,1.8,2,57.0,62,79,6,77.63,25.16
106,1,1,complier,30,0.9,4,44.9,45,64,4,23.92,10.63
107,0,1,always_taker,34,1.7,3,70.3,67,92,9,65.23,70.19
108,0,0,never_taker,24,2.8,3,56.0,49,51,0,8.37,82.52
109,0,1,always_taker,33,1.2,1,65.2,66,96,5,57.78,92.34
110,0,1,always_taker,35,0.6,5,60.9,58,86,8,66.32,44.88
111,0,0,complier,17,4.2,2,35.0,26,29,0,52.12,37.11
112,1,0,never_taker,34,0.7,4,39.1,71,76,0,54.44,56.53
113,1,1,always_taker,32,6.9,5,46.8,62,79,12,66.5,90.3
114,1,1,complier,13,4.9,2,22.9,51,53,6,29.55,4.83
115,0,0,complier,28,3.5,5,46.0,43,53,0,58.56,18.41
116,1,1,complier,50,6.0,6,60.1,58,81,9,96.67,70.42
117,1,1,always_taker,42,6.2,5,64.5,82,98,9,88.76,81.98
118,0,0,complier,22,2.5,5,48.9,61,75,0,65.88,0.02
119,1,1,always_taker,33,5.7,2,46.9,72,94,7,79.33,42.8
120,1,1,complier,44,6.2,3,44.0,85,102,4,50.52,4.91
121,0,1,always_taker,31,7.1,1,40.2,40,61,7,69.97,57.73
122,1,1,always_taker,17,2.1,3,62.8,56,71,5,51.35,72.36
123,1,1,always_taker,21,2.0,4,38.8,46,64,9,80.87,23.76
124,0,1,always_taker,34,2.4,4,56.3,62,80,5,70.22,57.64
125,1,1,complier,43,11.8,0,71.3,58,93,11,61.79,80.94
126,1,1,complier,38,4.6,5,36.3,49,65,4,15.47,66.45
127,1,1,complier,47,4.7,6,60.2,74,87,7,65.57,97.28
128,1,0,never_taker,33,1.2,3,17.3,54,52,0,43.52,19.92
129,1,1,always_taker,25,1.9,2,56.2,58,79,9,46.2,62.54
130,1,1,always_taker,29,2.2,6,58.8,52,65,8,77.37,13.21
131,0,0,complier,36,1.1,2,57.1,52,54,0,47.11,63.13
132,0,0,never_taker,33,0.7,2,77.0,69,85,0,22.15,91.82
133,0,1,always_taker,39,2.4,5,54.5,53,74,7,37.29,38.49
134,1,1,complier,37,4.4,4,38.2,60,70,1,18.55,16.1
135,1,1,always_taker,22,0.6,4,58.9,56,74,6,92.05,42.94
136,0,0,never_taker,26,4.3,2,27.2,47,54,0,13.98,43.5
137,1,1,complier,25,12.0,2,58.9,42,56,9,57.64,70.15
138,1,0,never_taker,23,5.0,5,70.1,64,79,0,72.51,98.16
139,0,1,always_taker,19,1.3,4,46.9,36,48,4,21.66,11.74
140,1,0,never_taker,25,7.7,4,46.7,44,39,0,16.59,63.85
141,0,0,never_taker,6,3.9,1,52.4,23,53,0,90.84,21.71
142,1,1,complier,36,0.7,5,43.5,56,72,8,76.91,7.0
143,1,1,always_taker,34,0.7,1,55.5,59,71,5,43.34,19.73
144,1,1,complier,30,4.9,1,43.8,56,77,2,59.16,40.99
145,0,1,always_taker,26,2.4,5,53.9,63,92,8,88.61,6.73
146,1,1,complier,29,0.9,2,35.5,67,78,5,44.52,41.62
147,1,1,always_taker,22,2.9,6,55.4,69,84,6,64.63,30.55
148,0,0,complier,18,1.4,2,48.2,50,51,0,25.49,67.77
149,1,1,always_taker,27,0.3,3,50.4,50,61,6,38.98,50.2
150,0,1,always_taker,21,5.5,2,54.6,67,96,2,81.23,38.68
151,0,0,complier,22,1.6,2,37.2,32,33,0,24.49,32.1
152,1,1,complier,31,2.3,3,61.3,76,94,12,71.01,38.83
153,1,1,always_taker,31,0.2,1,70.6,44,60,7,89.16,51.99
154,1,1,complier,28,0.6,3,35.9,57,70,6,26.66,44.37
155,0,0,complier,48,1.0,1,51.2,69,71,0,32.56,50.42
156,0,1,always_taker,51,12.0,2,50.2,79,88,6,5.82,74.19
157,1,1,complier,26,5.1,4,18.6,31,40,5,13.78,3.22
158,0,0,complier,37,0.6,3,33.9,49,51,0,7.12,22.75
159,1,1,complier,29,3.2,2,47.2,57,74,9,35.78,24.3
160,0,0,complier,25,0.8,5,55.4,58,76,0,15.91,88.96
161,0,0,never_taker,14,0.3,5,51.8,58,60,0,32.82,95.84
162,1,1,complier,28,0.7,0,32.5,66,85,6,16.67,35.4
163,0,0,complier,23,0.2,5,36.4,57,63,0,74.67,54.31
164,0,1,always_taker,40,9.3,0,64.9,85,105,6,87.56,94.04
165,0,0,complier,40,10.1,3,50.2,64,77,0,29.64,94.14
166,0,0,never_taker,30,2.6,2,54.7,53,65,0,56.56,39.82
167,0,0,never_taker,21,9.1,1,45.2,37,32,0,6.34,18.04
168,1,0,never_taker,20,3.8,1,53.1,37,49,0,48.78,86.83
169,0,0,complier,18,0.7,5,34.8,28,44,0,44.53,25.64
170,1,1,complier,34,1.2,4,49.1,50,73,11,63.2,33.65
171,1,1,complier,38,8.3,0,37.1,61,74,8,34.13,9.32
172,1,1,always_taker,27,5.5,2,41.6,58,77,10,96.45,32.54
173,1,1,always_taker,47,3.1,3,69.6,68,86,4,51.58,46.04
174,0,0,never_taker,25,4.3,1,37.4,46,58,0,42.16,51.57
175,0,0,complier,37,3.7,1,57.0,77,95,0,91.22,85.75
176,1,1,always_taker,29,5.2,4,47.4,69,84,12,87.35,1.96
177,1,1,complier,42,0.7,1,57.5,52,72,5,27.45,71.11
178,1,1,always_taker,35,1.4,2,57.8,70,95,3,87.56,89.36
179,1,1,always_taker,47,3.3,5,40.6,79,95,9,75.95,31.82
180,1,1,complier,43,0.7,2,50.0,62,80,9,36.89,79.91
181,1,1,complier,19,4.6,4,58.9,41,57,5,19.63,94.7
182,1,1,always_taker,38,0.5,5,51.9,50,77,6,92.57,28.32
183,1,1,complier,29,1.1,1,50.8,55,81,6,60.33,99.52
184,1,0,never_taker,38,0.7,3,33.7,41,46,0,22.42,76.56
185,0,1,always_taker,21,0.6,3,53.6,48,69,9,89.63,57.96
186,1,0,never_taker,14,1.3,3,40.6,57,55,0,55.02,16.09
187,0,0,complier,35,4.0,0,74.0,61,75,0,71.46,72.78
188,1,1,always_taker,16,2.6,3,40.0,46,64,12,96.63,2.77
189,1,1,complier,24,12.0,5,41.1,46,57,6,43.78,18.69
190,1,1,complier,34,1.6,1,59.4,56,77,5,31.08,57.89
191,0,0,never_taker,32,4.2,1,57.6,68,81,0,76.54,64.85
192,0,0,complier,40,5.1,5,54.2,70,85,0,38.14,94.88
193,0,1,always_taker,43,4.7,2,47.8,63,86,8,74.8,31.93
194,1,1,complier,28,0.9,7,52.4,49,74,14,48.48,97.72
195,0,0,complier,29,5.6,1,66.9,81,91,0,88.95,62.03
196,0,0,complier,26,4.3,3,40.3,65,73,0,17.16,98.76
197,0,1,always_taker,36,3.0,5,62.2,72,85,6,44.57,98.1
198,0,0,complier,33,10.2,2,51.8,60,75,0,32.64,93.46
199,1,1,always_taker,35,1.2,4,68.8,70,85,6,88.16,47.33
200,1,1,always_taker,31,2.9,3,34.2,54,67,10,47.51,12.14
201,1,1,complier,31,0.8,2,43.0,65,82,7,18.74,69.74
202,1,1,complier,31,7.3,3,43.5,54,68,12,89.7,36.76
203,1,0,never_taker,56,0.4,5,41.3,56,73,0,7.19,99.45
204,0,1,always_taker,39,9.6,0,70.2,73,97,5,98.67,68.74
205,1,1,always_taker,26,0.2,3,53.6,57,79,4,71.19,15.88
206,0,1,always_taker,45,0.9,5,57.0,55,74,7,85.0,17.02
207,1,1,always_taker,35,1.2,2,39.4,66,84,7,59.04,73.76
208,1,0,never_taker,32,5.4,1,25.8,28,40,0,24.29,47.85
209,1,1,always_taker,37,2.8,6,47.5,59,91,7,88.08,51.08
210,0,0,complier,19,2.5,5,59.2,63,75,0,52.63,59.23
211,1,1,complier,13,0.5,5,55.5,52,80,5,46.34,57.24
212,1,0,never_taker,32,3.7,6,44.1,47,54,0,19.14,58.35
213,1,1,always_taker,24,10.4,2,78.8,64,90,8,99.28,90.56
214,0,0,complier,15,1.4,2,54.8,33,39,0,12.02,94.99
215,1,1,complier,29,7.6,3,48.7,40,50,5,29.18,48.07
216,0,0,complier,28,6.6,1,35.2,63,69,0,8.71,65.46
217,0,0,complier,33,0.2,2,32.9,28,34,0,32.07,11.0
218,1,1,complier,34,3.5,3,39.4,51,63,10,35.35,0.3
219,0,1,always_taker,28,1.9,2,43.2,45,68,6,82.54,8.14
220,1,0,never_taker,41,1.8,3,37.5,25,29,0,4.52,71.56
221,0,0,complier,39,0.8,1,61.9,56,63,0,20.88,16.83
222,1,1,complier,31,0.9,5,50.6,51,65,4,28.77,25.79
223,0,0,complier,37,0.6,5,21.3,47,51,0,31.1,44.11
224,1,1,always_taker,15,12.0,1,52.0,48,73,6,57.7,88.54
225,1,1,complier,28,0.9,7,38.1,40,61,7,12.02,73.8
226,1,1,complier,23,3.7,1,25.4,50,60,4,1.51,67.2
227,1,1,always_taker,20,0.5,2,60.6,58,80,4,83.54,59.32
228,1,0,never_taker,37,10.4,2,34.4,54,72,0,49.29,98.07
229,0,0,complier,38,1.7,1,48.7,45,53,0,70.72,17.89
230,0,0,complier,31,5.6,2,23.3,45,51,0,9.29,32.32
231,0,0,complier,31,2.6,2,66.9,72,88,0,88.29,72.78
232,1,1,always_taker,7,10.5,1,48.3,53,85,8,81.17,61.97
233,1,1,complier,31,0.4,3,38.1,52,64,5,6.28,60.44
234,1,1,complier,30,3.6,3,49.5,64,81,6,13.16,70.37
235,0,1,always_taker,33,5.6,5,63.7,70,93,10,94.66,25.66
236,0,0,complier,40,1.9,1,70.8,67,74,0,75.25,18.87
237,0,0,complier,41,5.4,7,65.1,57,56,0,55.3,68.19
238,0,0,complier,30,2.0,4,51.9,52,69,0,97.52,46.39
239,1,1,always_taker,29,3.5,1,24.1,53,75,6,47.95,21.26
240,0,1,always_taker,45,4.4,2,66.9,72,97,12,74.24,60.82
241,1,1,complier,35,2.0,2,38.4,38,58,3,6.62,93.63
242,1,1,complier,29,1.4,0,51.4,58,73,9,59.4,27.81
243,0,0,complier,32,3.4,1,56.7,70,90,0,87.46,83.81
244,0,1,always_taker,48,6.2,3,70.4,74,88,8,83.19,68.06
245,0,1,always_taker,35,0.1,2,56.0,80,102,8,89.76,98.71
246,1,1,complier,23,0.5,2,45.6,45,67,9,82.12,30.07
247,1,1,complier,30,5.0,2,50.8,37,48,6,29.4,54.95
248,0,0,complier,22,3.8,3,35.7,46,58,0,1.98,43.82
249,0,0,complier,40,0.8,1,75.1,58,60,0,90.77,28.55
250,0,0,complier,36,1.6,0,40.7,47,59,0,53.2,13.83
251,1,1,complier,34,5.2,2,37.3,50,55,6,2.39,73.18
252,1,1,always_taker,24,3.5,3,33.4,32,49,8,59.96,10.68
253,1,0,never_taker,19,4.0,2,36.6,32,41,0,10.04,29.48
254,0,1,always_taker,45,0.6,2,51.5,78,112,13,97.84,4.07
255,0,1,always_taker,15,0.0,2,55.9,56,86,3,93.81,92.09
256,1,0,never_taker,29,2.2,3,47.5,67,72,0,28.0,89.67
257,1,1,complier,39,6.9,2,69.6,63,74,6,43.34,39.29
258,1,1,complier,39,2.3,4,43.4,55,67,5,0.81,75.05
259,0,0,complier,28,1.7,0,43.2,58,60,0,14.77,58.7
260,1,0,never_taker,24,3.4,1,34.2,45,44,0,10.15,32.49
261,0,1,always_taker,43,2.8,4,49.4,58,78,11,53.6,7.26
262,0,0,complier,31,9.5,7,46.8,55,74,0,62.47,81.13
263,1,1,complier,37,3.5,4,53.7,69,95,4,72.01,24.1
264,1,1,complier,32,1.1,3,49.4,46,62,2,9.15,29.57
265,0,0,complier,25,2.2,1,26.2,45,57,0,65.54,35.15
266,1,1,complier,34,0.6,5,37.2,58,82,7,22.62,90.0
267,0,0,complier,23,2.4,5,61.2,73,86,0,69.11,89.92
268,1,1,always_taker,38,0.3,4,58.5,67,94,8,92.2,54.31
269,1,1,always_taker,36,2.5,1,41.7,59,85,3,33.78,38.74
270,1,1,complier,22,1.9,2,41.5,40,49,5,21.33,36.84
271,1,1,complier,29,2.0,2,56.7,60,93,8,88.0,87.43
272,0,0,complier,21,0.9,4,40.2,41,46,0,10.22,93.08
273,1,1,always_taker,34,2.7,2,64.4,52,75,13,76.17,93.5
274,1,0,never_taker,34,2.1,4,43.3,48,63,0,21.01,69.04
275,0,0,complier,32,1.4,3,28.6,62,58,0,11.95,66.28
276,0,0,complier,38,12.0,6,55.2,79,105,0,74.72,94.23
277,0,1,always_taker,27,1.6,0,61.2,63,101,12,98.49,78.49
278,1,0,never_taker,29,2.0,3,43.6,45,47,0,10.67,52.33
279,1,1,always_taker,42,4.5,5,54.3,69,89,5,84.82,53.14
280,0,1,always_taker,21,7.8,0,49.1,43,62,5,28.03,31.91
281,0,1,always_taker,34,0.7,2,61.4,73,102,5,66.59,79.15
282,0,0,complier,34,5.6,7,59.0,68,80,0,23.23,18.86
283,1,1,always_taker,30,0.2,4,66.8,67,100,8,70.39,61.06
284,1,1,complier,25,5.5,2,45.8,56,77,2,53.5,48.02
285,1,1,complier,29,1.1,2,32.8,43,61,7,25.49,14.43
286,1,1,always_taker,31,2.4,2,59.0,56,71,3,55.0,88.64
287,1,0,never_taker,32,1.9,5,51.2,40,58,0,6.53,89.86
288,0,0,complier,23,7.1,5,42.4,40,39,0,22.82,77.62
289,1,1,always_taker,19,5.6,6,44.3,52,78,8,76.92,29.38
290,0,0,complier,22,4.5,3,49.3,58,67,0,58.7,83.73
291,1,0,never_taker,39,7.2,7,37.3,47,47,0,3.69,40.04
292,1,1,complier,31,2.6,2,41.2,56,81,5,48.69,18.07
293,0,0,complier,33,5.7,4,52.4,60,74,0,41.27,55.09
294,1,0,never_taker,42,2.4,2,60.4,77,95,0,86.62,99.55
295,0,0,complier,25,3.6,1,29.0,42,46,0,29.19,23.54
296,0,0,complier,37,0.9,1,45.8,47,62,0,58.27,54.62
297,0,0,complier,23,9.4,5,31.1,39,58,0,58.21,39.8
298,0,0,complier,38,0.9,3,59.4,75,85,0,72.2,66.84
299,1,1,always_taker,33,1.2,4,47.0,64,86,10,86.71,2.89
300,1,1,complier,35,0.1,1,61.5,53,83,8,80.64,81.84
301,1,1,complier,35,5.8,4,31.4,47,53,7,0.86,19.18
302,1,1,complier,24,0.0,5,45.0,57,89,9,61.3,45.92
303,1,1,always_taker,19,0.3,3,45.4,59,80,11,44.05,3.15
304,1,1,complier,21,0.2,3,21.4,56,76,10,40.57,32.66
305,1,1,complier,38,10.1,3,57.8,63,81,11,73.16,25.93
306,1,1,always_taker,35,7.0,2,49.5,43,57,9,51.02,62.71
307,1,1,complier,28,3.3,5,59.8,54,76,6,85.12,56.94
308,1,1,always_taker,20,5.4,3,62.3,55,75,9,78.0,66.71
309,1,1,complier,18,2.0,2,68.1,47,81,12,65.88,98.69
310,0,0,never_taker,35,1.0,3,56.6,60,74,0,24.85,99.08
311,1,1,always_taker,38,0.9,4,47.3,62,97,12,53.31,86.71
312,1,1,complier,28,2.3,2,25.0,52,52,6,0.88,17.09
313,1,1,complier,29,6.2,3,34.9,67,89,11,41.61,20.26
314,0,0,never_taker,27,0.1,4,26.2,52,57,0,13.56,71.49
315,0,1,always_taker,28,0.2,4,24.1,69,91,13,98.76,6.75
316,1,0,never_taker,21,0.6,5,55.3,64,62,0,70.53,9.07
317,1,1,complier,15,1.9,0,51.5,43,59,6,35.47,92.27
318,0,0,complier,23,6.9,4,53.7,56,69,0,77.63,51.14
319,1,1,complier,19,2.9,3,34.5,68,85,6,13.8,77.21
320,1,1,always_taker,13,0.2,1,53.0,80,98,9,91.4,42.43
321,0,0,complier,29,2.5,5,19.6,20,23,0,52.79,34.13
322,0,1,always_taker,25,6.7,5,73.8,61,86,9,81.64,65.6
323,0,0,complier,36,0.7,4,52.0,89,107,0,91.69,39.59
324,1,1,complier,34,2.1,3,47.4,34,43,6,19.84,60.18
325,1,1,always_taker,29,5.8,3,57.0,71,92,8,87.78,17.62
326,1,1,always_taker,35,3.6,1,56.3,60,85,12,89.9,66.28
327,0,0,never_taker,27,2.3,1,45.7,52,60,0,54.73,22.26
328,1,0,never_taker,28,0.3,5,37.2,46,44,0,3.21,92.45
329,1,1,always_taker,32,10.0,5,44.9,31,54,6,81.67,67.4
330,0,0,complier,24,0.6,3,47.5,56,63,0,58.38,60.57
331,0,0,never_taker,40,1.7,6,55.2,60,67,0,8.24,96.36
332,1,1,always_taker,39,5.7,5,42.3,65,96,5,81.22,21.5
333,0,1,always_taker,29,0.4,3,37.2,25,35,6,29.89,44.51
334,0,0,never_taker,41,2.3,3,44.8,58,61,0,22.43,69.91
335,1,1,always_taker,24,6.3,2,56.9,61,69,7,68.0,94.01
336,1,0,never_taker,28,7.3,1,35.9,70,78,0,59.73,26.35
337,1,1,always_taker,27,3.3,3,62.1,54,79,9,81.48,87.94
338,1,1,always_taker,30,1.2,1,51.4,50,55,4,7.6,59.22
339,1,1,always_taker,35,3.8,0,42.0,38,46,2,41.74,77.3
340,0,0,complier,29,3.6,5,42.8,46,60,0,5.05,8.45
341,1,1,complier,37,1.7,4,28.4,62,77,6,12.21,30.8
342,1,1,complier,35,5.9,3,41.4,68,88,5,85.79,16.74
343,0,1,always_taker,23,12.0,1,40.7,33,62,3,72.32,21.91
344,1,1,complier,30,0.1,1,65.7,57,81,6,86.83,69.47
345,1,1,complier,42,1.2,1,59.5,64,85,6,25.32,60.49
346,0,0,complier,34,5.6,7,48.3,52,62,0,58.34,90.55
347,1,1,complier,8,5.6,3,32.8,45,61,9,1.35,58.14
348,0,0,complier,14,0.0,6,56.2,34,56,0,46.79,85.64
349,1,1,always_taker,41,1.8,3,51.2,53,62,9,86.08,34.92
350,0,1,always_taker,42,2.7,2,36.7,42,61,7,43.21,98.75
351,0,0,complier,20,1.0,2,32.0,21,22,0,75.02,50.57
352,0,0,never_taker,48,10.5,3,21.0,47,49,0,2.41,28.67
353,1,0,never_taker,28,1.3,2,39.6,55,72,0,71.75,6.1
354,1,1,always_taker,29,0.5,2,51.7,50,61,3,50.21,35.34
355,1,1,always_taker,28,0.1,1,55.1,88,117,10,94.59,53.47
356,1,0,never_taker,29,4.3,3,43.7,28,35,0,1.62,44.4
357,1,1,complier,39,5.2,1,46.6,66,93,5,43.02,85.76
358,0,1,always_taker,33,2.6,2,43.2,44,50,3,6.76,26.79
359,0,0,complier,33,8.6,6,49.0,31,52,0,98.57,62.11
360,1,1,complier,28,0.7,3,65.5,50,78,10,82.52,87.71
361,1,1,complier,24,3.1,3,54.8,69,91,4,35.95,62.66
362,1,1,complier,22,0.2,1,31.0,43,58,11,52.3,94.54
363,1,1,complier,22,3.6,3,50.1,43,57,10,58.69,70.2
364,0,0,complier,37,1.7,2,52.1,78,98,0,47.88,70.13
365,0,1,always_taker,32,0.5,3,25.8,53,67,7,59.67,46.84
366,0,0,complier,29,0.4,3,44.8,49,57,0,43.17,20.12
367,1,1,complier,29,12.0,2,52.2,45,71,8,77.47,71.25
368,0,0,never_taker,27,3.6,1,61.4,34,51,0,65.43,47.28
369,0,1,always_taker,19,5.8,5,53.5,60,83,8,78.95,17.38
370,0,0,complier,30,5.1,2,51.8,62,67,0,32.25,20.22
371,0,1,always_taker,32,10.6,1,64.3,61,71,6,48.45,30.63
372,1,1,always_taker,32,1.9,4,77.0,77,96,11,94.78,83.19
373,1,0,never_taker,30,3.4,2,48.1,49,59,0,3.37,84.8
374,0,1,always_taker,34,5.9,3,50.4,66,92,6,89.48,66.66
375,1,1,always_taker,24,0.7,6,31.7,45,61,4,28.74,15.14
376,0,0,complier,22,0.9,3,49.7,55,71,0,41.32,4.33
377,0,1,always_taker,46,1.7,2,36.9,48,56,8,15.93,21.94
378,1,1,always_taker,32,6.3,4,39.4,63,83,6,67.43,5.15
379,0,0,complier,42,2.6,5,67.4,70,89,0,84.96,83.87
380,0,1,always_taker,33,0.2,2,54.9,48,63,8,67.33,79.2
381,0,1,always_taker,17,1.6,7,77.7,57,81,8,74.96,93.12
382,1,1,complier,37,2.6,7,30.5,53,68,5,15.48,15.92
383,0,1,always_taker,31,6.8,4,65.0,59,81,9,62.76,92.37
384,1,1,complier,31,3.7,6,43.4,47,62,7,12.41,7.38
385,1,1,always_taker,24,3.7,4,29.7,47,63,7,49.09,39.27
